UserKNNCB
|iter   119/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.2500|e: 0.4500|MAP: 0.0574|
|iter   120/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.2500|e: 0.5000|MAP: 0.0573|
|iter   121/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.2500|e: 0.5500|MAP: 0.0568|
|iter   122/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.2500|e: 0.6000|MAP: 0.0564|
|iter   123/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.2500|e: 0.6500|MAP: 0.0553|
|iter   124/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.2500|e: 0.7000|MAP: 0.0540|
|iter   125/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.2500|e: 0.7500|MAP: 0.0532|
|iter   132/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.3000|e: 0.0000|MAP: 0.0551|
|iter   133/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.3000|e: 0.0500|MAP: 0.0556|
|iter   134/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.3000|e: 0.1000|MAP: 0.0562|
|iter   135/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.3000|e: 0.1500|MAP: 0.0567|
|iter   136/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.3000|e: 0.2000|MAP: 0.0571|
|iter   137/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.3000|e: 0.2500|MAP: 0.0574|
|iter   138/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.3000|e: 0.3000|MAP: 0.0574|
|iter   139/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.3000|e: 0.3500|MAP: 0.0577|
|iter   140/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.3000|e: 0.4000|MAP: 0.0579|
|iter   141/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.3000|e: 0.4500|MAP: 0.0576|
|iter   142/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.3000|e: 0.5000|MAP: 0.0574|
|iter   143/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.3000|e: 0.5500|MAP: 0.0570|
|iter   144/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.3000|e: 0.6000|MAP: 0.0562|
|iter   145/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.3000|e: 0.6500|MAP: 0.0552|
|iter   146/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.3000|e: 0.7000|MAP: 0.0538|
|iter   154/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.3500|e: 0.0000|MAP: 0.0553|
|iter   155/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.3500|e: 0.0500|MAP: 0.0562|
|iter   156/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.3500|e: 0.1000|MAP: 0.0566|
|iter   157/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.3500|e: 0.1500|MAP: 0.0571|
|iter   158/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.3500|e: 0.2000|MAP: 0.0575|
|iter   159/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.3500|e: 0.2500|MAP: 0.0573|
|iter   160/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.3500|e: 0.3000|MAP: 0.0581|
|iter   161/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.3500|e: 0.3500|MAP: 0.0582|
|iter   162/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.3500|e: 0.4000|MAP: 0.0583|
|iter   163/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.3500|e: 0.4500|MAP: 0.0576|
|iter   164/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.3500|e: 0.5000|MAP: 0.0576|
|iter   165/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.3500|e: 0.5500|MAP: 0.0566|
|iter   166/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.3500|e: 0.6000|MAP: 0.0558|
|iter   167/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.3500|e: 0.6500|MAP: 0.0546|
|iter   176/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.4000|e: 0.0000|MAP: 0.0561|
|iter   177/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.4000|e: 0.0500|MAP: 0.0572|
|iter   178/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.4000|e: 0.1000|MAP: 0.0571|
|iter   179/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.4000|e: 0.1500|MAP: 0.0575|
|iter   180/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.4000|e: 0.2000|MAP: 0.0583|
|iter   181/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.4000|e: 0.2500|MAP: 0.0587|
|iter   182/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.4000|e: 0.3000|MAP: 0.0585|
|iter   183/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.4000|e: 0.3500|MAP: 0.0583|
|iter   184/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.4000|e: 0.4000|MAP: 0.0581|
|iter   185/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.4000|e: 0.4500|MAP: 0.0576|
|iter   186/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.4000|e: 0.5000|MAP: 0.0570|
|iter   187/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.4000|e: 0.5500|MAP: 0.0561|
|iter   188/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.4000|e: 0.6000|MAP: 0.0550|
|iter   198/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.4500|e: 0.0000|MAP: 0.0562|
|iter   199/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.4500|e: 0.0500|MAP: 0.0568|
|iter   200/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.4500|e: 0.1000|MAP: 0.0573|
|iter   201/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.4500|e: 0.1500|MAP: 0.0576|
|iter   202/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.4500|e: 0.2000|MAP: 0.0582|
|iter   203/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.4500|e: 0.2500|MAP: 0.0587|
|iter   204/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.4500|e: 0.3000|MAP: 0.0583|
|iter   205/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.4500|e: 0.3500|MAP: 0.0580|
|iter   206/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.4500|e: 0.4000|MAP: 0.0576|
|iter   207/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.4500|e: 0.4500|MAP: 0.0569|
|iter   208/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.4500|e: 0.5000|MAP: 0.0564|
|iter   209/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.4500|e: 0.5500|MAP: 0.0554|
|iter   220/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.5000|e: 0.0000|MAP: 0.0565|
|iter   221/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.5000|e: 0.0500|MAP: 0.0567|
|iter   222/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.5000|e: 0.1000|MAP: 0.0569|
|iter   223/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.5000|e: 0.1500|MAP: 0.0576|
|iter   224/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.5000|e: 0.2000|MAP: 0.0583|
|iter   225/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.5000|e: 0.2500|MAP: 0.0584|
|iter   226/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.5000|e: 0.3000|MAP: 0.0585|
|iter   227/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.5000|e: 0.3500|MAP: 0.0582|
|iter   228/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.5000|e: 0.4000|MAP: 0.0573|
|iter   229/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.5000|e: 0.4500|MAP: 0.0567|
|iter   230/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.5000|e: 0.5000|MAP: 0.0555|
|iter   242/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.5500|e: 0.0000|MAP: 0.0561|
|iter   243/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.5500|e: 0.0500|MAP: 0.0562|
|iter   244/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.5500|e: 0.1000|MAP: 0.0571|
|iter   245/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.5500|e: 0.1500|MAP: 0.0577|
|iter   246/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.5500|e: 0.2000|MAP: 0.0578|
|iter   247/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.5500|e: 0.2500|MAP: 0.0580|
|iter   248/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.5500|e: 0.3000|MAP: 0.0581|
|iter   249/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.5500|e: 0.3500|MAP: 0.0576|
|iter   250/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.5500|e: 0.4000|MAP: 0.0570|
|iter   251/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.5500|e: 0.4500|MAP: 0.0557|
|iter   264/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.6000|e: 0.0000|MAP: 0.0559|
|iter   265/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.6000|e: 0.0500|MAP: 0.0560|
|iter   266/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.6000|e: 0.1000|MAP: 0.0565|
|iter   267/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.6000|e: 0.1500|MAP: 0.0570|
|iter   268/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.6000|e: 0.2000|MAP: 0.0576|
|iter   269/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.6000|e: 0.2500|MAP: 0.0578|
|iter   270/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.6000|e: 0.3000|MAP: 0.0575|
|iter   271/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.6000|e: 0.3500|MAP: 0.0569|
|iter   272/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.6000|e: 0.4000|MAP: 0.0560|
|iter   286/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.6500|e: 0.0000|MAP: 0.0555|
|iter   287/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.6500|e: 0.0500|MAP: 0.0563|
|iter   288/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.6500|e: 0.1000|MAP: 0.0565|
|iter   289/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.6500|e: 0.1500|MAP: 0.0568|
|iter   290/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.6500|e: 0.2000|MAP: 0.0577|
|iter   291/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.6500|e: 0.2500|MAP: 0.0572|
|iter   292/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.6500|e: 0.3000|MAP: 0.0567|
|iter   293/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.6500|e: 0.3500|MAP: 0.0560|
|iter   308/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.7000|e: 0.0000|MAP: 0.0555|
|iter   309/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.7000|e: 0.0500|MAP: 0.0561|
|iter   310/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.7000|e: 0.1000|MAP: 0.0564|
|iter   311/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.7000|e: 0.1500|MAP: 0.0563|
|iter   312/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.7000|e: 0.2000|MAP: 0.0564|
|iter   313/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.7000|e: 0.2500|MAP: 0.0563|
