|ItemKNNCF| iter:    85/546 | topk: 350 | shrink:  60 | sim type: splus | avgMAP: 0.0508 |
|ItemKNNCF| iter:    86/546 | topk: 350 | shrink: 110 | sim type: splus | avgMAP: 0.0508 |
|ItemKNNCF| iter:    87/546 | topk: 350 | shrink: 160 | sim type: splus | avgMAP: 0.0508 |
|ItemKNNCF| iter:    88/546 | topk: 350 | shrink: 210 | sim type: splus | avgMAP: 0.0508 |
|ItemKNNCF| iter:    89/546 | topk: 350 | shrink: 260 | sim type: splus | avgMAP: 0.0508 |
|ItemKNNCF| iter:    90/546 | topk: 350 | shrink: 310 | sim type: splus | avgMAP: 0.0508 |
|ItemKNNCF| iter:    91/546 | topk: 350 | shrink: 360 | sim type: splus | avgMAP: 0.0508 |
|ItemKNNCF| iter:    92/546 | topk: 350 | shrink: 410 | sim type: splus | avgMAP: 0.0508 |
|ItemKNNCF| iter:    93/546 | topk: 350 | shrink: 460 | sim type: splus | avgMAP: 0.0508 |
|ItemKNNCF| iter:    94/546 | topk: 350 | shrink: 510 | sim type: splus | avgMAP: 0.0508 |
|ItemKNNCF| iter:    95/546 | topk: 350 | shrink: 560 | sim type: splus | avgMAP: 0.0508 |
|ItemKNNCF| iter:    96/546 | topk: 350 | shrink: 610 | sim type: splus | avgMAP: 0.0508 |
|ItemKNNCF| iter:    97/546 | topk: 350 | shrink: 660 | sim type: splus | avgMAP: 0.0508 |
|ItemKNNCF| iter:    98/546 | topk: 400 | shrink:  10 | sim type: splus | avgMAP: 0.0508 |
|ItemKNNCF| iter:    99/546 | topk: 400 | shrink:  60 | sim type: splus | avgMAP: 0.0508 |
|ItemKNNCF| iter:   100/546 | topk: 400 | shrink: 110 | sim type: splus | avgMAP: 0.0508 |
|ItemKNNCF| iter:   101/546 | topk: 400 | shrink: 160 | sim type: splus | avgMAP: 0.0508 |
|ItemKNNCF| iter:   102/546 | topk: 400 | shrink: 210 | sim type: splus | avgMAP: 0.0508 |
|ItemKNNCF| iter:   103/546 | topk: 400 | shrink: 260 | sim type: splus | avgMAP: 0.0508 |
|ItemKNNCF| iter:   104/546 | topk: 400 | shrink: 310 | sim type: splus | avgMAP: 0.0508 |
|ItemKNNCF| iter:   105/546 | topk: 400 | shrink: 360 | sim type: splus | avgMAP: 0.0508 |
|ItemKNNCF| iter:   106/546 | topk: 400 | shrink: 410 | sim type: splus | avgMAP: 0.0508 |
|ItemKNNCF| iter:   107/546 | topk: 400 | shrink: 460 | sim type: splus | avgMAP: 0.0508 |
|ItemKNNCF| iter:   108/546 | topk: 400 | shrink: 510 | sim type: splus | avgMAP: 0.0508 |
|ItemKNNCF| iter:   109/546 | topk: 400 | shrink: 560 | sim type: splus | avgMAP: 0.0508 |
|ItemKNNCF| iter:   110/546 | topk: 400 | shrink: 610 | sim type: splus | avgMAP: 0.0508 |
|ItemKNNCF| iter:   111/546 | topk: 400 | shrink: 660 | sim type: splus | avgMAP: 0.0508 |
|ItemKNNCF| iter:   112/546 | topk: 450 | shrink:  10 | sim type: splus | avgMAP: 0.0508 |
|ItemKNNCF| iter:   113/546 | topk: 450 | shrink:  60 | sim type: splus | avgMAP: 0.0508 |
|ItemKNNCF| iter:   114/546 | topk: 450 | shrink: 110 | sim type: splus | avgMAP: 0.0508 |
|ItemKNNCF| iter:   115/546 | topk: 450 | shrink: 160 | sim type: splus | avgMAP: 0.0508 |
|ItemKNNCF| iter:   116/546 | topk: 450 | shrink: 210 | sim type: splus | avgMAP: 0.0508 |
|ItemKNNCF| iter:   117/546 | topk: 450 | shrink: 260 | sim type: splus | avgMAP: 0.0508 |
|ItemKNNCF| iter:   118/546 | topk: 450 | shrink: 310 | sim type: splus | avgMAP: 0.0508 |
|ItemKNNCF| iter:   119/546 | topk: 450 | shrink: 360 | sim type: splus | avgMAP: 0.0508 |
|ItemKNNCF| iter:   120/546 | topk: 450 | shrink: 410 | sim type: splus | avgMAP: 0.0508 |
|ItemKNNCF| iter:   121/546 | topk: 450 | shrink: 460 | sim type: splus | avgMAP: 0.0508 |
|ItemKNNCF| iter:   122/546 | topk: 450 | shrink: 510 | sim type: splus | avgMAP: 0.0508 |
|ItemKNNCF| iter:   123/546 | topk: 450 | shrink: 560 | sim type: splus | avgMAP: 0.0508 |
|ItemKNNCF| iter:   124/546 | topk: 450 | shrink: 610 | sim type: splus | avgMAP: 0.0508 |
|ItemKNNCF| iter:   125/546 | topk: 450 | shrink: 660 | sim type: splus | avgMAP: 0.0508 |
|ItemKNNCF| iter:   126/546 | topk: 500 | shrink:  10 | sim type: splus | avgMAP: 0.0508 |
|ItemKNNCF| iter:   127/546 | topk: 500 | shrink:  60 | sim type: splus | avgMAP: 0.0508 |
|ItemKNNCF| iter:   128/546 | topk: 500 | shrink: 110 | sim type: splus | avgMAP: 0.0508 |
|ItemKNNCF| iter:   129/546 | topk: 500 | shrink: 160 | sim type: splus | avgMAP: 0.0508 |
|ItemKNNCF| iter:   130/546 | topk: 500 | shrink: 210 | sim type: splus | avgMAP: 0.0508 |
|ItemKNNCF| iter:   131/546 | topk: 500 | shrink: 260 | sim type: splus | avgMAP: 0.0508 |
|ItemKNNCF| iter:   132/546 | topk: 500 | shrink: 310 | sim type: splus | avgMAP: 0.0508 |
|ItemKNNCF| iter:   133/546 | topk: 500 | shrink: 360 | sim type: splus | avgMAP: 0.0508 |
|ItemKNNCF| iter:   134/546 | topk: 500 | shrink: 410 | sim type: splus | avgMAP: 0.0508 |
|ItemKNNCF| iter:   135/546 | topk: 500 | shrink: 460 | sim type: splus | avgMAP: 0.0508 |
|ItemKNNCF| iter:   136/546 | topk: 500 | shrink: 510 | sim type: splus | avgMAP: 0.0508 |
|ItemKNNCF| iter:   137/546 | topk: 500 | shrink: 560 | sim type: splus | avgMAP: 0.0508 |
|ItemKNNCF| iter:   138/546 | topk: 500 | shrink: 610 | sim type: splus | avgMAP: 0.0508 |
|ItemKNNCF| iter:   139/546 | topk: 500 | shrink: 660 | sim type: splus | avgMAP: 0.0508 |
|ItemKNNCF| iter:   140/546 | topk: 550 | shrink:  10 | sim type: splus | avgMAP: 0.0508 |
|ItemKNNCF| iter:   141/546 | topk: 550 | shrink:  60 | sim type: splus | avgMAP: 0.0508 |
|ItemKNNCF| iter:   142/546 | topk: 550 | shrink: 110 | sim type: splus | avgMAP: 0.0508 |
|ItemKNNCF| iter:   143/546 | topk: 550 | shrink: 160 | sim type: splus | avgMAP: 0.0508 |
|ItemKNNCF| iter:   144/546 | topk: 550 | shrink: 210 | sim type: splus | avgMAP: 0.0508 |
|ItemKNNCF| iter:   145/546 | topk: 550 | shrink: 260 | sim type: splus | avgMAP: 0.0508 |
|ItemKNNCF| iter:   146/546 | topk: 550 | shrink: 310 | sim type: splus | avgMAP: 0.0508 |
|ItemKNNCF| iter:   147/546 | topk: 550 | shrink: 360 | sim type: splus | avgMAP: 0.0508 |
|ItemKNNCF| iter:   148/546 | topk: 550 | shrink: 410 | sim type: splus | avgMAP: 0.0508 |
|ItemKNNCF| iter:   149/546 | topk: 550 | shrink: 460 | sim type: splus | avgMAP: 0.0508 |
|ItemKNNCF| iter:   150/546 | topk: 550 | shrink: 510 | sim type: splus | avgMAP: 0.0508 |
|ItemKNNCF| iter:   151/546 | topk: 550 | shrink: 560 | sim type: splus | avgMAP: 0.0508 |
|ItemKNNCF| iter:   152/546 | topk: 550 | shrink: 610 | sim type: splus | avgMAP: 0.0508 |
|ItemKNNCF| iter:   153/546 | topk: 550 | shrink: 660 | sim type: splus | avgMAP: 0.0508 |
|ItemKNNCF| iter:   154/546 | topk: 600 | shrink:  10 | sim type: splus | avgMAP: 0.0508 |
|ItemKNNCF| iter:   155/546 | topk: 600 | shrink:  60 | sim type: splus | avgMAP: 0.0508 |
|ItemKNNCF| iter:   156/546 | topk: 600 | shrink: 110 | sim type: splus | avgMAP: 0.0508 |
|ItemKNNCF| iter:   157/546 | topk: 600 | shrink: 160 | sim type: splus | avgMAP: 0.0508 |
|ItemKNNCF| iter:   158/546 | topk: 600 | shrink: 210 | sim type: splus | avgMAP: 0.0508 |
|ItemKNNCF| iter:   159/546 | topk: 600 | shrink: 260 | sim type: splus | avgMAP: 0.0508 |
|ItemKNNCF| iter:   160/546 | topk: 600 | shrink: 310 | sim type: splus | avgMAP: 0.0508 |
|ItemKNNCF| iter:   161/546 | topk: 600 | shrink: 360 | sim type: splus | avgMAP: 0.0508 |
|ItemKNNCF| iter:   162/546 | topk: 600 | shrink: 410 | sim type: splus | avgMAP: 0.0508 |
|ItemKNNCF| iter:   163/546 | topk: 600 | shrink: 460 | sim type: splus | avgMAP: 0.0508 |
|ItemKNNCF| iter:   164/546 | topk: 600 | shrink: 510 | sim type: splus | avgMAP: 0.0508 |
