(25975, 19908)
|RP3beta| iter:    74/160 | topk: 290 | alpha: 0.400 | beta: 0.040 | avgMAP: 0.0703 |
|RP3beta| iter:    75/160 | topk: 290 | alpha: 0.450 | beta: 0.040 | avgMAP: 0.0695 |
|RP3beta| iter:    76/160 | topk: 310 | alpha: 0.300 | beta: 0.040 | avgMAP: 0.0706 |
|RP3beta| iter:    77/160 | topk: 310 | alpha: 0.350 | beta: 0.040 | avgMAP: 0.0708 |
|RP3beta| iter:    78/160 | topk: 310 | alpha: 0.400 | beta: 0.040 | avgMAP: 0.0703 |
|RP3beta| iter:    79/160 | topk: 310 | alpha: 0.450 | beta: 0.040 | avgMAP: 0.0695 |
|RP3beta| iter:    80/160 | topk: 330 | alpha: 0.300 | beta: 0.040 | avgMAP: 0.0705 |
|RP3beta| iter:    81/160 | topk: 330 | alpha: 0.350 | beta: 0.040 | avgMAP: 0.0707 |
|RP3beta| iter:    82/160 | topk: 330 | alpha: 0.400 | beta: 0.040 | avgMAP: 0.0704 |
|RP3beta| iter:    83/160 | topk: 330 | alpha: 0.450 | beta: 0.040 | avgMAP: 0.0695 |
|RP3beta| iter:    84/160 | topk: 350 | alpha: 0.300 | beta: 0.040 | avgMAP: 0.0705 |
|RP3beta| iter:    85/160 | topk: 350 | alpha: 0.350 | beta: 0.040 | avgMAP: 0.0707 |
|RP3beta| iter:    86/160 | topk: 350 | alpha: 0.400 | beta: 0.040 | avgMAP: 0.0703 |
|RP3beta| iter:    87/160 | topk: 350 | alpha: 0.450 | beta: 0.040 | avgMAP: 0.0696 |
|RP3beta| iter:    88/160 | topk: 370 | alpha: 0.300 | beta: 0.040 | avgMAP: 0.0705 |
|RP3beta| iter:    89/160 | topk: 370 | alpha: 0.350 | beta: 0.040 | avgMAP: 0.0707 |
|RP3beta| iter:    90/160 | topk: 370 | alpha: 0.400 | beta: 0.040 | avgMAP: 0.0704 |
|RP3beta| iter:    91/160 | topk: 370 | alpha: 0.450 | beta: 0.040 | avgMAP: 0.0696 |
|RP3beta| iter:    92/160 | topk: 390 | alpha: 0.300 | beta: 0.040 | avgMAP: 0.0705 |
