|UserKNNCF| iter:   180/234 | topk: 130 | shrink: 100 | sim type: jaccard | avgMAP: 0.0566 |
|UserKNNCF| iter:   181/234 | topk: 130 | shrink: 150 | sim type: jaccard | avgMAP: 0.0567 |
|UserKNNCF| iter:   182/234 | topk: 130 | shrink: 200 | sim type: jaccard | avgMAP: 0.0567 |
|UserKNNCF| iter:   183/234 | topk: 130 | shrink: 250 | sim type: jaccard | avgMAP: 0.0567 |
|UserKNNCF| iter:   184/234 | topk: 130 | shrink: 300 | sim type: jaccard | avgMAP: 0.0568 |
|UserKNNCF| iter:   185/234 | topk: 130 | shrink: 350 | sim type: jaccard | avgMAP: 0.0568 |
|UserKNNCF| iter:   186/234 | topk: 150 | shrink: 100 | sim type: jaccard | avgMAP: 0.0566 |
|UserKNNCF| iter:   187/234 | topk: 150 | shrink: 150 | sim type: jaccard | avgMAP: 0.0567 |
|UserKNNCF| iter:   188/234 | topk: 150 | shrink: 200 | sim type: jaccard | avgMAP: 0.0568 |
|UserKNNCF| iter:   189/234 | topk: 150 | shrink: 250 | sim type: jaccard | avgMAP: 0.0567 |
|UserKNNCF| iter:   190/234 | topk: 150 | shrink: 300 | sim type: jaccard | avgMAP: 0.0568 |
|UserKNNCF| iter:   191/234 | topk: 150 | shrink: 350 | sim type: jaccard | avgMAP: 0.0568 |
|UserKNNCF| iter:   192/234 | topk: 170 | shrink: 100 | sim type: jaccard | avgMAP: 0.0567 |
|UserKNNCF| iter:   193/234 | topk: 170 | shrink: 150 | sim type: jaccard | avgMAP: 0.0567 |
|UserKNNCF| iter:   194/234 | topk: 170 | shrink: 200 | sim type: jaccard | avgMAP: 0.0568 |
|UserKNNCF| iter:   195/234 | topk: 170 | shrink: 250 | sim type: jaccard | avgMAP: 0.0568 |
|UserKNNCF| iter:   196/234 | topk: 170 | shrink: 300 | sim type: jaccard | avgMAP: 0.0568 |
|UserKNNCF| iter:   197/234 | topk: 170 | shrink: 350 | sim type: jaccard | avgMAP: 0.0568 |
|UserKNNCF| iter:   198/234 | topk: 190 | shrink: 100 | sim type: jaccard | avgMAP: 0.0566 |
|UserKNNCF| iter:   199/234 | topk: 190 | shrink: 150 | sim type: jaccard | avgMAP: 0.0567 |
|UserKNNCF| iter:   200/234 | topk: 190 | shrink: 200 | sim type: jaccard | avgMAP: 0.0568 |
|UserKNNCF| iter:   201/234 | topk: 190 | shrink: 250 | sim type: jaccard | avgMAP: 0.0568 |
|UserKNNCF| iter:   202/234 | topk: 190 | shrink: 300 | sim type: jaccard | avgMAP: 0.0568 |
|UserKNNCF| iter:   203/234 | topk: 190 | shrink: 350 | sim type: jaccard | avgMAP: 0.0568 |
|UserKNNCF| iter:   204/234 | topk: 210 | shrink: 100 | sim type: jaccard | avgMAP: 0.0566 |
|UserKNNCF| iter:   205/234 | topk: 210 | shrink: 150 | sim type: jaccard | avgMAP: 0.0567 |
