| iter:    93/960 | topk: 210 | alpha: 0.520 | norm: l2 | MAP: 0.0595 |
| iter:    94/960 | topk: 210 | alpha: 0.520 | norm: l1 | MAP: 0.0585 |
| iter:    95/960 | topk: 210 | alpha: 0.520 | norm: max | MAP: 0.0589 |
| iter:    96/960 | topk: 210 | alpha: 0.540 | norm: l2 | MAP: 0.0598 |
| iter:    97/960 | topk: 210 | alpha: 0.540 | norm: l1 | MAP: 0.0585 |
| iter:    98/960 | topk: 210 | alpha: 0.540 | norm: max | MAP: 0.0591 |
| iter:    99/960 | topk: 210 | alpha: 0.560 | norm: l2 | MAP: 0.0600 |
| iter:   100/960 | topk: 210 | alpha: 0.560 | norm: l1 | MAP: 0.0585 |
| iter:   101/960 | topk: 210 | alpha: 0.560 | norm: max | MAP: 0.0593 |
| iter:   102/960 | topk: 210 | alpha: 0.580 | norm: l2 | MAP: 0.0601 |
| iter:   103/960 | topk: 210 | alpha: 0.580 | norm: l1 | MAP: 0.0586 |
| iter:   104/960 | topk: 210 | alpha: 0.580 | norm: max | MAP: 0.0593 |
| iter:   105/960 | topk: 210 | alpha: 0.600 | norm: l2 | MAP: 0.0602 |
| iter:   106/960 | topk: 210 | alpha: 0.600 | norm: l1 | MAP: 0.0587 |
| iter:   107/960 | topk: 210 | alpha: 0.600 | norm: max | MAP: 0.0595 |
| iter:   108/960 | topk: 210 | alpha: 0.620 | norm: l2 | MAP: 0.0602 |
| iter:   109/960 | topk: 210 | alpha: 0.620 | norm: l1 | MAP: 0.0590 |
| iter:   110/960 | topk: 210 | alpha: 0.620 | norm: max | MAP: 0.0599 |
| iter:   111/960 | topk: 210 | alpha: 0.640 | norm: l2 | MAP: 0.0602 |
| iter:   112/960 | topk: 210 | alpha: 0.640 | norm: l1 | MAP: 0.0589 |
| iter:   113/960 | topk: 210 | alpha: 0.640 | norm: max | MAP: 0.0597 |
| iter:   114/960 | topk: 210 | alpha: 0.660 | norm: l2 | MAP: 0.0599 |
| iter:   115/960 | topk: 210 | alpha: 0.660 | norm: l1 | MAP: 0.0592 |
| iter:   116/960 | topk: 210 | alpha: 0.660 | norm: max | MAP: 0.0598 |
| iter:   117/960 | topk: 210 | alpha: 0.680 | norm: l2 | MAP: 0.0603 |
| iter:   118/960 | topk: 210 | alpha: 0.680 | norm: l1 | MAP: 0.0591 |
| iter:   119/960 | topk: 210 | alpha: 0.680 | norm: max | MAP: 0.0597 |
| iter:   120/960 | topk: 220 | alpha: 0.500 | norm: l2 | MAP: 0.0590 |
| iter:   121/960 | topk: 220 | alpha: 0.500 | norm: l1 | MAP: 0.0583 |
| iter:   122/960 | topk: 220 | alpha: 0.500 | norm: max | MAP: 0.0588 |
| iter:   123/960 | topk: 220 | alpha: 0.520 | norm: l2 | MAP: 0.0595 |
| iter:   124/960 | topk: 220 | alpha: 0.520 | norm: l1 | MAP: 0.0584 |
| iter:   125/960 | topk: 220 | alpha: 0.520 | norm: max | MAP: 0.0589 |
| iter:   126/960 | topk: 220 | alpha: 0.540 | norm: l2 | MAP: 0.0598 |
| iter:   127/960 | topk: 220 | alpha: 0.540 | norm: l1 | MAP: 0.0585 |
| iter:   128/960 | topk: 220 | alpha: 0.540 | norm: max | MAP: 0.0592 |
| iter:   129/960 | topk: 220 | alpha: 0.560 | norm: l2 | MAP: 0.0601 |
| iter:   130/960 | topk: 220 | alpha: 0.560 | norm: l1 | MAP: 0.0586 |
| iter:   131/960 | topk: 220 | alpha: 0.560 | norm: max | MAP: 0.0594 |
| iter:   132/960 | topk: 220 | alpha: 0.580 | norm: l2 | MAP: 0.0601 |
| iter:   133/960 | topk: 220 | alpha: 0.580 | norm: l1 | MAP: 0.0586 |
| iter:   134/960 | topk: 220 | alpha: 0.580 | norm: max | MAP: 0.0593 |
