| iter: 107/570 | topk: 220 | shrink: 140 | sim type: 'splus' | MAP: 0.0263 |
| iter: 108/570 | topk: 220 | shrink: 160 | sim type: 'splus' | MAP: 0.0260 |
| iter: 109/570 | topk: 220 | shrink: 180 | sim type: 'splus' | MAP: 0.0258 |
| iter: 110/570 | topk: 240 | shrink: 0 | sim type: 'splus' | MAP: 0.0261 |
| iter: 111/570 | topk: 240 | shrink: 20 | sim type: 'splus' | MAP: 0.0305 |
| iter: 112/570 | topk: 240 | shrink: 40 | sim type: 'splus' | MAP: 0.0287 |
| iter: 113/570 | topk: 240 | shrink: 60 | sim type: 'splus' | MAP: 0.0283 |
| iter: 114/570 | topk: 240 | shrink: 80 | sim type: 'splus' | MAP: 0.0275 |
| iter: 115/570 | topk: 240 | shrink: 100 | sim type: 'splus' | MAP: 0.0268 |
| iter: 116/570 | topk: 240 | shrink: 120 | sim type: 'splus' | MAP: 0.0266 |
| iter: 117/570 | topk: 240 | shrink: 140 | sim type: 'splus' | MAP: 0.0261 |
| iter: 118/570 | topk: 240 | shrink: 160 | sim type: 'splus' | MAP: 0.0259 |
| iter: 119/570 | topk: 240 | shrink: 180 | sim type: 'splus' | MAP: 0.0258 |
| iter: 120/570 | topk: 260 | shrink: 0 | sim type: 'splus' | MAP: 0.0261 |
| iter: 121/570 | topk: 260 | shrink: 20 | sim type: 'splus' | MAP: 0.0302 |
| iter: 122/570 | topk: 260 | shrink: 40 | sim type: 'splus' | MAP: 0.0286 |
| iter: 123/570 | topk: 260 | shrink: 60 | sim type: 'splus' | MAP: 0.0281 |
| iter: 124/570 | topk: 260 | shrink: 80 | sim type: 'splus' | MAP: 0.0274 |
| iter: 125/570 | topk: 260 | shrink: 100 | sim type: 'splus' | MAP: 0.0268 |
| iter: 126/570 | topk: 260 | shrink: 120 | sim type: 'splus' | MAP: 0.0265 |
| iter: 127/570 | topk: 260 | shrink: 140 | sim type: 'splus' | MAP: 0.0262 |
| iter: 128/570 | topk: 260 | shrink: 160 | sim type: 'splus' | MAP: 0.0259 |
| iter: 129/570 | topk: 260 | shrink: 180 | sim type: 'splus' | MAP: 0.0258 |
| iter: 130/570 | topk: 280 | shrink: 0 | sim type: 'splus' | MAP: 0.0261 |
| iter: 131/570 | topk: 280 | shrink: 20 | sim type: 'splus' | MAP: 0.0301 |
| iter: 132/570 | topk: 280 | shrink: 40 | sim type: 'splus' | MAP: 0.0284 |
| iter: 133/570 | topk: 280 | shrink: 60 | sim type: 'splus' | MAP: 0.0280 |
| iter: 134/570 | topk: 280 | shrink: 80 | sim type: 'splus' | MAP: 0.0273 |
| iter: 135/570 | topk: 280 | shrink: 100 | sim type: 'splus' | MAP: 0.0267 |
| iter: 136/570 | topk: 280 | shrink: 120 | sim type: 'splus' | MAP: 0.0265 |
| iter: 137/570 | topk: 280 | shrink: 140 | sim type: 'splus' | MAP: 0.0261 |
| iter: 138/570 | topk: 280 | shrink: 160 | sim type: 'splus' | MAP: 0.0258 |
| iter: 139/570 | topk: 280 | shrink: 180 | sim type: 'splus' | MAP: 0.0256 |
| iter: 140/570 | topk: 300 | shrink: 0 | sim type: 'splus' | MAP: 0.0262 |
| iter: 141/570 | topk: 300 | shrink: 20 | sim type: 'splus' | MAP: 0.0302 |
| iter: 142/570 | topk: 300 | shrink: 40 | sim type: 'splus' | MAP: 0.0284 |
| iter: 143/570 | topk: 300 | shrink: 60 | sim type: 'splus' | MAP: 0.0280 |
| iter: 144/570 | topk: 300 | shrink: 80 | sim type: 'splus' | MAP: 0.0273 |
| iter: 145/570 | topk: 300 | shrink: 100 | sim type: 'splus' | MAP: 0.0267 |
| iter: 146/570 | topk: 300 | shrink: 120 | sim type: 'splus' | MAP: 0.0264 |
| iter: 147/570 | topk: 300 | shrink: 140 | sim type: 'splus' | MAP: 0.0260 |
| iter: 148/570 | topk: 300 | shrink: 160 | sim type: 'splus' | MAP: 0.0257 |
| iter: 149/570 | topk: 300 | shrink: 180 | sim type: 'splus' | MAP: 0.0256 |
| iter: 150/570 | topk: 320 | shrink: 0 | sim type: 'splus' | MAP: 0.0261 |
| iter: 151/570 | topk: 320 | shrink: 20 | sim type: 'splus' | MAP: 0.0300 |
| iter: 152/570 | topk: 320 | shrink: 40 | sim type: 'splus' | MAP: 0.0284 |
| iter: 153/570 | topk: 320 | shrink: 60 | sim type: 'splus' | MAP: 0.0278 |
| iter: 154/570 | topk: 320 | shrink: 80 | sim type: 'splus' | MAP: 0.0271 |
| iter: 155/570 | topk: 320 | shrink: 100 | sim type: 'splus' | MAP: 0.0266 |
| iter: 156/570 | topk: 320 | shrink: 120 | sim type: 'splus' | MAP: 0.0262 |
| iter: 157/570 | topk: 320 | shrink: 140 | sim type: 'splus' | MAP: 0.0258 |
| iter: 158/570 | topk: 320 | shrink: 160 | sim type: 'splus' | MAP: 0.0256 |
| iter: 159/570 | topk: 320 | shrink: 180 | sim type: 'splus' | MAP: 0.0255 |
| iter: 160/570 | topk: 340 | shrink: 0 | sim type: 'splus' | MAP: 0.0262 |
| iter: 161/570 | topk: 340 | shrink: 20 | sim type: 'splus' | MAP: 0.0301 |
| iter: 162/570 | topk: 340 | shrink: 40 | sim type: 'splus' | MAP: 0.0284 |
| iter: 163/570 | topk: 340 | shrink: 60 | sim type: 'splus' | MAP: 0.0278 |
| iter: 164/570 | topk: 340 | shrink: 80 | sim type: 'splus' | MAP: 0.0272 |
| iter: 165/570 | topk: 340 | shrink: 100 | sim type: 'splus' | MAP: 0.0266 |
| iter: 166/570 | topk: 340 | shrink: 120 | sim type: 'splus' | MAP: 0.0262 |
| iter: 167/570 | topk: 340 | shrink: 140 | sim type: 'splus' | MAP: 0.0258 |
| iter: 168/570 | topk: 340 | shrink: 160 | sim type: 'splus' | MAP: 0.0256 |
| iter: 169/570 | topk: 340 | shrink: 180 | sim type: 'splus' | MAP: 0.0255 |
| iter: 170/570 | topk: 360 | shrink: 0 | sim type: 'splus' | MAP: 0.0260 |
| iter: 171/570 | topk: 360 | shrink: 20 | sim type: 'splus' | MAP: 0.0300 |
| iter: 172/570 | topk: 360 | shrink: 40 | sim type: 'splus' | MAP: 0.0282 |
| iter: 173/570 | topk: 360 | shrink: 60 | sim type: 'splus' | MAP: 0.0276 |
| iter: 174/570 | topk: 360 | shrink: 80 | sim type: 'splus' | MAP: 0.0270 |
| iter: 175/570 | topk: 360 | shrink: 100 | sim type: 'splus' | MAP: 0.0265 |
| iter: 176/570 | topk: 360 | shrink: 120 | sim type: 'splus' | MAP: 0.0260 |
| iter: 177/570 | topk: 360 | shrink: 140 | sim type: 'splus' | MAP: 0.0257 |
| iter: 178/570 | topk: 360 | shrink: 160 | sim type: 'splus' | MAP: 0.0255 |
| iter: 179/570 | topk: 360 | shrink: 180 | sim type: 'splus' | MAP: 0.0254 |
| iter: 180/570 | topk: 380 | shrink: 0 | sim type: 'splus' | MAP: 0.0261 |
| iter: 181/570 | topk: 380 | shrink: 20 | sim type: 'splus' | MAP: 0.0303 |
| iter: 182/570 | topk: 380 | shrink: 40 | sim type: 'splus' | MAP: 0.0284 |
| iter: 183/570 | topk: 380 | shrink: 60 | sim type: 'splus' | MAP: 0.0277 |
| iter: 184/570 | topk: 380 | shrink: 80 | sim type: 'splus' | MAP: 0.0271 |
| iter: 185/570 | topk: 380 | shrink: 100 | sim type: 'splus' | MAP: 0.0267 |
| iter: 186/570 | topk: 380 | shrink: 120 | sim type: 'splus' | MAP: 0.0263 |
| iter: 187/570 | topk: 380 | shrink: 140 | sim type: 'splus' | MAP: 0.0258 |
| iter: 188/570 | topk: 380 | shrink: 160 | sim type: 'splus' | MAP: 0.0256 |
| iter: 189/570 | topk: 380 | shrink: 180 | sim type: 'splus' | MAP: 0.0255 |
| iter: 190/570 | topk: 20 | shrink: 0 | sim type: 'cosine' | MAP: 0.0247 |
| iter: 191/570 | topk: 20 | shrink: 20 | sim type: 'cosine' | MAP: 0.0295 |
| iter: 192/570 | topk: 20 | shrink: 40 | sim type: 'cosine' | MAP: 0.0287 |
| iter: 193/570 | topk: 20 | shrink: 60 | sim type: 'cosine' | MAP: 0.0280 |
| iter: 194/570 | topk: 20 | shrink: 80 | sim type: 'cosine' | MAP: 0.0273 |
| iter: 195/570 | topk: 20 | shrink: 100 | sim type: 'cosine' | MAP: 0.0270 |
| iter: 196/570 | topk: 20 | shrink: 120 | sim type: 'cosine' | MAP: 0.0267 |
| iter: 197/570 | topk: 20 | shrink: 140 | sim type: 'cosine' | MAP: 0.0265 |
| iter: 198/570 | topk: 20 | shrink: 160 | sim type: 'cosine' | MAP: 0.0264 |
| iter: 199/570 | topk: 20 | shrink: 180 | sim type: 'cosine' | MAP: 0.0263 |
| iter: 200/570 | topk: 40 | shrink: 0 | sim type: 'cosine' | MAP: 0.0246 |
| iter: 201/570 | topk: 40 | shrink: 20 | sim type: 'cosine' | MAP: 0.0297 |
| iter: 202/570 | topk: 40 | shrink: 40 | sim type: 'cosine' | MAP: 0.0290 |
| iter: 203/570 | topk: 40 | shrink: 60 | sim type: 'cosine' | MAP: 0.0280 |
| iter: 204/570 | topk: 40 | shrink: 80 | sim type: 'cosine' | MAP: 0.0275 |
| iter: 205/570 | topk: 40 | shrink: 100 | sim type: 'cosine' | MAP: 0.0272 |
| iter: 206/570 | topk: 40 | shrink: 120 | sim type: 'cosine' | MAP: 0.0268 |
| iter: 207/570 | topk: 40 | shrink: 140 | sim type: 'cosine' | MAP: 0.0265 |
| iter: 208/570 | topk: 40 | shrink: 160 | sim type: 'cosine' | MAP: 0.0264 |
| iter: 209/570 | topk: 40 | shrink: 180 | sim type: 'cosine' | MAP: 0.0262 |
| iter: 210/570 | topk: 60 | shrink: 0 | sim type: 'cosine' | MAP: 0.0248 |
| iter: 211/570 | topk: 60 | shrink: 20 | sim type: 'cosine' | MAP: 0.0296 |
| iter: 212/570 | topk: 60 | shrink: 40 | sim type: 'cosine' | MAP: 0.0284 |
| iter: 213/570 | topk: 60 | shrink: 60 | sim type: 'cosine' | MAP: 0.0274 |
| iter: 214/570 | topk: 60 | shrink: 80 | sim type: 'cosine' | MAP: 0.0269 |
| iter: 215/570 | topk: 60 | shrink: 100 | sim type: 'cosine' | MAP: 0.0265 |
| iter: 216/570 | topk: 60 | shrink: 120 | sim type: 'cosine' | MAP: 0.0262 |
| iter: 217/570 | topk: 60 | shrink: 140 | sim type: 'cosine' | MAP: 0.0260 |
| iter: 218/570 | topk: 60 | shrink: 160 | sim type: 'cosine' | MAP: 0.0259 |
| iter: 219/570 | topk: 60 | shrink: 180 | sim type: 'cosine' | MAP: 0.0258 |
| iter: 220/570 | topk: 80 | shrink: 0 | sim type: 'cosine' | MAP: 0.0250 |
| iter: 221/570 | topk: 80 | shrink: 20 | sim type: 'cosine' | MAP: 0.0300 |
| iter: 222/570 | topk: 80 | shrink: 40 | sim type: 'cosine' | MAP: 0.0284 |
| iter: 223/570 | topk: 80 | shrink: 60 | sim type: 'cosine' | MAP: 0.0279 |
| iter: 224/570 | topk: 80 | shrink: 80 | sim type: 'cosine' | MAP: 0.0274 |
| iter: 225/570 | topk: 80 | shrink: 100 | sim type: 'cosine' | MAP: 0.0269 |
| iter: 226/570 | topk: 80 | shrink: 120 | sim type: 'cosine' | MAP: 0.0266 |
| iter: 227/570 | topk: 80 | shrink: 140 | sim type: 'cosine' | MAP: 0.0264 |
| iter: 228/570 | topk: 80 | shrink: 160 | sim type: 'cosine' | MAP: 0.0261 |
| iter: 229/570 | topk: 80 | shrink: 180 | sim type: 'cosine' | MAP: 0.0261 |
| iter: 230/570 | topk: 100 | shrink: 0 | sim type: 'cosine' | MAP: 0.0252 |
| iter: 231/570 | topk: 100 | shrink: 20 | sim type: 'cosine' | MAP: 0.0300 |
| iter: 232/570 | topk: 100 | shrink: 40 | sim type: 'cosine' | MAP: 0.0287 |
| iter: 233/570 | topk: 100 | shrink: 60 | sim type: 'cosine' | MAP: 0.0283 |
| iter: 234/570 | topk: 100 | shrink: 80 | sim type: 'cosine' | MAP: 0.0275 |
| iter: 235/570 | topk: 100 | shrink: 100 | sim type: 'cosine' | MAP: 0.0271 |
| iter: 236/570 | topk: 100 | shrink: 120 | sim type: 'cosine' | MAP: 0.0268 |
| iter: 237/570 | topk: 100 | shrink: 140 | sim type: 'cosine' | MAP: 0.0266 |
| iter: 238/570 | topk: 100 | shrink: 160 | sim type: 'cosine' | MAP: 0.0264 |
| iter: 239/570 | topk: 100 | shrink: 180 | sim type: 'cosine' | MAP: 0.0263 |
| iter: 240/570 | topk: 120 | shrink: 0 | sim type: 'cosine' | MAP: 0.0255 |
| iter: 241/570 | topk: 120 | shrink: 20 | sim type: 'cosine' | MAP: 0.0301 |
| iter: 242/570 | topk: 120 | shrink: 40 | sim type: 'cosine' | MAP: 0.0288 |
| iter: 243/570 | topk: 120 | shrink: 60 | sim type: 'cosine' | MAP: 0.0281 |
| iter: 244/570 | topk: 120 | shrink: 80 | sim type: 'cosine' | MAP: 0.0275 |
| iter: 245/570 | topk: 120 | shrink: 100 | sim type: 'cosine' | MAP: 0.0273 |
| iter: 246/570 | topk: 120 | shrink: 120 | sim type: 'cosine' | MAP: 0.0269 |
| iter: 247/570 | topk: 120 | shrink: 140 | sim type: 'cosine' | MAP: 0.0266 |
| iter: 248/570 | topk: 120 | shrink: 160 | sim type: 'cosine' | MAP: 0.0264 |
| iter: 249/570 | topk: 120 | shrink: 180 | sim type: 'cosine' | MAP: 0.0263 |
| iter: 250/570 | topk: 140 | shrink: 0 | sim type: 'cosine' | MAP: 0.0258 |
| iter: 251/570 | topk: 140 | shrink: 20 | sim type: 'cosine' | MAP: 0.0302 |
| iter: 252/570 | topk: 140 | shrink: 40 | sim type: 'cosine' | MAP: 0.0286 |
| iter: 253/570 | topk: 140 | shrink: 60 | sim type: 'cosine' | MAP: 0.0281 |
| iter: 254/570 | topk: 140 | shrink: 80 | sim type: 'cosine' | MAP: 0.0275 |
| iter: 255/570 | topk: 140 | shrink: 100 | sim type: 'cosine' | MAP: 0.0272 |
| iter: 256/570 | topk: 140 | shrink: 120 | sim type: 'cosine' | MAP: 0.0268 |
| iter: 257/570 | topk: 140 | shrink: 140 | sim type: 'cosine' | MAP: 0.0266 |
| iter: 258/570 | topk: 140 | shrink: 160 | sim type: 'cosine' | MAP: 0.0264 |
| iter: 259/570 | topk: 140 | shrink: 180 | sim type: 'cosine' | MAP: 0.0262 |
| iter: 260/570 | topk: 160 | shrink: 0 | sim type: 'cosine' | MAP: 0.0263 |
| iter: 261/570 | topk: 160 | shrink: 20 | sim type: 'cosine' | MAP: 0.0303 |
| iter: 262/570 | topk: 160 | shrink: 40 | sim type: 'cosine' | MAP: 0.0288 |
| iter: 263/570 | topk: 160 | shrink: 60 | sim type: 'cosine' | MAP: 0.0283 |
| iter: 264/570 | topk: 160 | shrink: 80 | sim type: 'cosine' | MAP: 0.0276 |
| iter: 265/570 | topk: 160 | shrink: 100 | sim type: 'cosine' | MAP: 0.0271 |
| iter: 266/570 | topk: 160 | shrink: 120 | sim type: 'cosine' | MAP: 0.0267 |
| iter: 267/570 | topk: 160 | shrink: 140 | sim type: 'cosine' | MAP: 0.0265 |
| iter: 268/570 | topk: 160 | shrink: 160 | sim type: 'cosine' | MAP: 0.0263 |
| iter: 269/570 | topk: 160 | shrink: 180 | sim type: 'cosine' | MAP: 0.0262 |
| iter: 270/570 | topk: 180 | shrink: 0 | sim type: 'cosine' | MAP: 0.0263 |
| iter: 271/570 | topk: 180 | shrink: 20 | sim type: 'cosine' | MAP: 0.0303 |
| iter: 272/570 | topk: 180 | shrink: 40 | sim type: 'cosine' | MAP: 0.0290 |
| iter: 273/570 | topk: 180 | shrink: 60 | sim type: 'cosine' | MAP: 0.0282 |
