|UserKNNCB| iter:   179/270 | topk: 180 | shrink: 180 | sim type: 'cosine' | MAP: 0.0264 |
|UserKNNCB| iter:   180/270 | topk:  20 | shrink:   0 | sim type: 'jaccard' | MAP: 0.0498 |
|UserKNNCB| iter:   181/270 | topk:  20 | shrink:  20 | sim type: 'jaccard' | MAP: 0.0495 |
|UserKNNCB| iter:   182/270 | topk:  20 | shrink:  40 | sim type: 'jaccard' | MAP: 0.0475 |
|UserKNNCB| iter:   183/270 | topk:  20 | shrink:  60 | sim type: 'jaccard' | MAP: 0.0464 |
|UserKNNCB| iter:   184/270 | topk:  20 | shrink:  80 | sim type: 'jaccard' | MAP: 0.0454 |
|UserKNNCB| iter:   185/270 | topk:  20 | shrink: 100 | sim type: 'jaccard' | MAP: 0.0445 |
|UserKNNCB| iter:   186/270 | topk:  20 | shrink: 120 | sim type: 'jaccard' | MAP: 0.0429 |
|UserKNNCB| iter:   187/270 | topk:  20 | shrink: 140 | sim type: 'jaccard' | MAP: 0.0420 |
|UserKNNCB| iter:   188/270 | topk:  20 | shrink: 160 | sim type: 'jaccard' | MAP: 0.0416 |
|UserKNNCB| iter:   189/270 | topk:  20 | shrink: 180 | sim type: 'jaccard' | MAP: 0.0409 |
|UserKNNCB| iter:   190/270 | topk:  40 | shrink:   0 | sim type: 'jaccard' | MAP: 0.0509 |
|UserKNNCB| iter:   191/270 | topk:  40 | shrink:  20 | sim type: 'jaccard' | MAP: 0.0493 |
|UserKNNCB| iter:   192/270 | topk:  40 | shrink:  40 | sim type: 'jaccard' | MAP: 0.0468 |
|UserKNNCB| iter:   193/270 | topk:  40 | shrink:  60 | sim type: 'jaccard' | MAP: 0.0450 |
|UserKNNCB| iter:   194/270 | topk:  40 | shrink:  80 | sim type: 'jaccard' | MAP: 0.0441 |
|UserKNNCB| iter:   195/270 | topk:  40 | shrink: 100 | sim type: 'jaccard' | MAP: 0.0418 |
|UserKNNCB| iter:   196/270 | topk:  40 | shrink: 120 | sim type: 'jaccard' | MAP: 0.0404 |
|UserKNNCB| iter:   197/270 | topk:  40 | shrink: 140 | sim type: 'jaccard' | MAP: 0.0396 |
|UserKNNCB| iter:   198/270 | topk:  40 | shrink: 160 | sim type: 'jaccard' | MAP: 0.0382 |
|UserKNNCB| iter:   199/270 | topk:  40 | shrink: 180 | sim type: 'jaccard' | MAP: 0.0368 |
|UserKNNCB| iter:   200/270 | topk:  60 | shrink:   0 | sim type: 'jaccard' | MAP: 0.0501 |
|UserKNNCB| iter:   201/270 | topk:  60 | shrink:  20 | sim type: 'jaccard' | MAP: 0.0476 |
|UserKNNCB| iter:   202/270 | topk:  60 | shrink:  40 | sim type: 'jaccard' | MAP: 0.0449 |
|UserKNNCB| iter:   203/270 | topk:  60 | shrink:  60 | sim type: 'jaccard' | MAP: 0.0432 |
|UserKNNCB| iter:   204/270 | topk:  60 | shrink:  80 | sim type: 'jaccard' | MAP: 0.0413 |
|UserKNNCB| iter:   205/270 | topk:  60 | shrink: 100 | sim type: 'jaccard' | MAP: 0.0391 |
|UserKNNCB| iter:   206/270 | topk:  60 | shrink: 120 | sim type: 'jaccard' | MAP: 0.0376 |
|UserKNNCB| iter:   207/270 | topk:  60 | shrink: 140 | sim type: 'jaccard' | MAP: 0.0364 |
|UserKNNCB| iter:   208/270 | topk:  60 | shrink: 160 | sim type: 'jaccard' | MAP: 0.0350 |
|UserKNNCB| iter:   209/270 | topk:  60 | shrink: 180 | sim type: 'jaccard' | MAP: 0.0339 |
|UserKNNCB| iter:   210/270 | topk:  80 | shrink:   0 | sim type: 'jaccard' | MAP: 0.0488 |
