|UserKNNCF| iter:    79/189 | topk:  60 | shrink:  40 | sim type: 'cosine' | MAP: 0.0556 |
|UserKNNCF| iter:    80/189 | topk:  60 | shrink:  60 | sim type: 'cosine' | MAP: 0.0553 |
|UserKNNCF| iter:    81/189 | topk:  60 | shrink:  80 | sim type: 'cosine' | MAP: 0.0552 |
|UserKNNCF| iter:    82/189 | topk:  60 | shrink: 100 | sim type: 'cosine' | MAP: 0.0551 |
|UserKNNCF| iter:    83/189 | topk:  60 | shrink: 120 | sim type: 'cosine' | MAP: 0.0553 |
|UserKNNCF| iter:    84/189 | topk:  80 | shrink:   0 | sim type: 'cosine' | MAP: 0.0495 |
|UserKNNCF| iter:    85/189 | topk:  80 | shrink:  20 | sim type: 'cosine' | MAP: 0.0548 |
|UserKNNCF| iter:    86/189 | topk:  80 | shrink:  40 | sim type: 'cosine' | MAP: 0.0552 |
|UserKNNCF| iter:    87/189 | topk:  80 | shrink:  60 | sim type: 'cosine' | MAP: 0.0548 |
|UserKNNCF| iter:    88/189 | topk:  80 | shrink:  80 | sim type: 'cosine' | MAP: 0.0548 |
|UserKNNCF| iter:    89/189 | topk:  80 | shrink: 100 | sim type: 'cosine' | MAP: 0.0548 |
|UserKNNCF| iter:    90/189 | topk:  80 | shrink: 120 | sim type: 'cosine' | MAP: 0.0547 |
|UserKNNCF| iter:    91/189 | topk: 100 | shrink:   0 | sim type: 'cosine' | MAP: 0.0493 |
|UserKNNCF| iter:    92/189 | topk: 100 | shrink:  20 | sim type: 'cosine' | MAP: 0.0543 |
|UserKNNCF| iter:    93/189 | topk: 100 | shrink:  40 | sim type: 'cosine' | MAP: 0.0546 |
|UserKNNCF| iter:    94/189 | topk: 100 | shrink:  60 | sim type: 'cosine' | MAP: 0.0543 |
|UserKNNCF| iter:    95/189 | topk: 100 | shrink:  80 | sim type: 'cosine' | MAP: 0.0543 |
|UserKNNCF| iter:    96/189 | topk: 100 | shrink: 100 | sim type: 'cosine' | MAP: 0.0544 |
|UserKNNCF| iter:    97/189 | topk: 100 | shrink: 120 | sim type: 'cosine' | MAP: 0.0542 |
|UserKNNCF| iter:    98/189 | topk: 120 | shrink:   0 | sim type: 'cosine' | MAP: 0.0496 |
|UserKNNCF| iter:    99/189 | topk: 120 | shrink:  20 | sim type: 'cosine' | MAP: 0.0546 |
|UserKNNCF| iter:   100/189 | topk: 120 | shrink:  40 | sim type: 'cosine' | MAP: 0.0549 |
|UserKNNCF| iter:   101/189 | topk: 120 | shrink:  60 | sim type: 'cosine' | MAP: 0.0545 |
|UserKNNCF| iter:   102/189 | topk: 120 | shrink:  80 | sim type: 'cosine' | MAP: 0.0544 |
|UserKNNCF| iter:   103/189 | topk: 120 | shrink: 100 | sim type: 'cosine' | MAP: 0.0544 |
|UserKNNCF| iter:   104/189 | topk: 120 | shrink: 120 | sim type: 'cosine' | MAP: 0.0544 |
|UserKNNCF| iter:   105/189 | topk: 140 | shrink:   0 | sim type: 'cosine' | MAP: 0.0497 |
|UserKNNCF| iter:   106/189 | topk: 140 | shrink:  20 | sim type: 'cosine' | MAP: 0.0544 |
|UserKNNCF| iter:   107/189 | topk: 140 | shrink:  40 | sim type: 'cosine' | MAP: 0.0549 |
|UserKNNCF| iter:   108/189 | topk: 140 | shrink:  60 | sim type: 'cosine' | MAP: 0.0545 |
|UserKNNCF| iter:   109/189 | topk: 140 | shrink:  80 | sim type: 'cosine' | MAP: 0.0546 |
|UserKNNCF| iter:   110/189 | topk: 140 | shrink: 100 | sim type: 'cosine' | MAP: 0.0545 |
|UserKNNCF| iter:   111/189 | topk: 140 | shrink: 120 | sim type: 'cosine' | MAP: 0.0544 |
|UserKNNCF| iter:   112/189 | topk: 160 | shrink:   0 | sim type: 'cosine' | MAP: 0.0497 |
|UserKNNCF| iter:   113/189 | topk: 160 | shrink:  20 | sim type: 'cosine' | MAP: 0.0539 |
|UserKNNCF| iter:   114/189 | topk: 160 | shrink:  40 | sim type: 'cosine' | MAP: 0.0545 |
