| iter:   118/190 | topk:  80 | alpha: 0.900 | norm: l1 | MAP: 0.0558 |
| iter:   119/190 | topk:  80 | alpha: 0.900 | norm: max | MAP: 0.0547 |
| iter:   120/190 | topk: 100 | alpha: 0.000 | norm: l2 | MAP: 0.0503 |
| iter:   121/190 | topk: 100 | alpha: 0.000 | norm: l1 | MAP: 0.0503 |
| iter:   122/190 | topk: 100 | alpha: 0.000 | norm: max | MAP: 0.0502 |
| iter:   123/190 | topk: 100 | alpha: 0.100 | norm: l2 | MAP: 0.0516 |
| iter:   124/190 | topk: 100 | alpha: 0.100 | norm: l1 | MAP: 0.0521 |
| iter:   125/190 | topk: 100 | alpha: 0.100 | norm: max | MAP: 0.0514 |
| iter:   126/190 | topk: 100 | alpha: 0.200 | norm: l2 | MAP: 0.0535 |
| iter:   127/190 | topk: 100 | alpha: 0.200 | norm: l1 | MAP: 0.0536 |
| iter:   128/190 | topk: 100 | alpha: 0.200 | norm: max | MAP: 0.0531 |
| iter:   129/190 | topk: 100 | alpha: 0.300 | norm: l2 | MAP: 0.0544 |
| iter:   130/190 | topk: 100 | alpha: 0.300 | norm: l1 | MAP: 0.0547 |
| iter:   131/190 | topk: 100 | alpha: 0.300 | norm: max | MAP: 0.0545 |
| iter:   132/190 | topk: 100 | alpha: 0.400 | norm: l2 | MAP: 0.0560 |
| iter:   133/190 | topk: 100 | alpha: 0.400 | norm: l1 | MAP: 0.0554 |
| iter:   134/190 | topk: 100 | alpha: 0.400 | norm: max | MAP: 0.0560 |
| iter:   135/190 | topk: 100 | alpha: 0.500 | norm: l2 | MAP: 0.0579 |
| iter:   136/190 | topk: 100 | alpha: 0.500 | norm: l1 | MAP: 0.0568 |
| iter:   137/190 | topk: 100 | alpha: 0.500 | norm: max | MAP: 0.0578 |
| iter:   138/190 | topk: 100 | alpha: 0.600 | norm: l2 | MAP: 0.0585 |
| iter:   139/190 | topk: 100 | alpha: 0.600 | norm: l1 | MAP: 0.0577 |
| iter:   140/190 | topk: 100 | alpha: 0.600 | norm: max | MAP: 0.0583 |
| iter:   141/190 | topk: 100 | alpha: 0.700 | norm: l2 | MAP: 0.0587 |
| iter:   142/190 | topk: 100 | alpha: 0.700 | norm: l1 | MAP: 0.0576 |
| iter:   143/190 | topk: 100 | alpha: 0.700 | norm: max | MAP: 0.0579 |
| iter:   144/190 | topk: 100 | alpha: 0.800 | norm: l2 | MAP: 0.0576 |
| iter:   145/190 | topk: 100 | alpha: 0.800 | norm: l1 | MAP: 0.0574 |
| iter:   146/190 | topk: 100 | alpha: 0.800 | norm: max | MAP: 0.0568 |
| iter:   147/190 | topk: 100 | alpha: 0.900 | norm: l2 | MAP: 0.0571 |
| iter:   148/190 | topk: 100 | alpha: 0.900 | norm: l1 | MAP: 0.0558 |
| iter:   149/190 | topk: 100 | alpha: 0.900 | norm: max | MAP: 0.0563 |
| iter:   150/190 | topk: 120 | alpha: 0.000 | norm: l2 | MAP: 0.0505 |
| iter:   151/190 | topk: 120 | alpha: 0.000 | norm: l1 | MAP: 0.0505 |
| iter:   152/190 | topk: 120 | alpha: 0.000 | norm: max | MAP: 0.0503 |
| iter:   153/190 | topk: 120 | alpha: 0.100 | norm: l2 | MAP: 0.0519 |
| iter:   154/190 | topk: 120 | alpha: 0.100 | norm: l1 | MAP: 0.0525 |
| iter:   155/190 | topk: 120 | alpha: 0.100 | norm: max | MAP: 0.0519 |
| iter:   156/190 | topk: 120 | alpha: 0.200 | norm: l2 | MAP: 0.0541 |
| iter:   157/190 | topk: 120 | alpha: 0.200 | norm: l1 | MAP: 0.0541 |
| iter:   158/190 | topk: 120 | alpha: 0.200 | norm: max | MAP: 0.0536 |
| iter:   159/190 | topk: 120 | alpha: 0.300 | norm: l2 | MAP: 0.0551 |
| iter:   160/190 | topk: 120 | alpha: 0.300 | norm: l1 | MAP: 0.0548 |
| iter:   161/190 | topk: 120 | alpha: 0.300 | norm: max | MAP: 0.0547 |
| iter:   162/190 | topk: 120 | alpha: 0.400 | norm: l2 | MAP: 0.0565 |
| iter:   163/190 | topk: 120 | alpha: 0.400 | norm: l1 | MAP: 0.0560 |
| iter:   164/190 | topk: 120 | alpha: 0.400 | norm: max | MAP: 0.0564 |
| iter:   165/190 | topk: 120 | alpha: 0.500 | norm: l2 | MAP: 0.0582 |
| iter:   166/190 | topk: 120 | alpha: 0.500 | norm: l1 | MAP: 0.0572 |
| iter:   167/190 | topk: 120 | alpha: 0.500 | norm: max | MAP: 0.0580 |
| iter:   168/190 | topk: 120 | alpha: 0.600 | norm: l2 | MAP: 0.0591 |
| iter:   169/190 | topk: 120 | alpha: 0.600 | norm: l1 | MAP: 0.0582 |
| iter:   170/190 | topk: 120 | alpha: 0.600 | norm: max | MAP: 0.0585 |
| iter:   171/190 | topk: 120 | alpha: 0.700 | norm: l2 | MAP: 0.0591 |
| iter:   172/190 | topk: 120 | alpha: 0.700 | norm: l1 | MAP: 0.0582 |
| iter:   173/190 | topk: 120 | alpha: 0.700 | norm: max | MAP: 0.0586 |
| iter:   174/190 | topk: 120 | alpha: 0.800 | norm: l2 | MAP: 0.0577 |
| iter:   175/190 | topk: 120 | alpha: 0.800 | norm: l1 | MAP: 0.0579 |
| iter:   176/190 | topk: 120 | alpha: 0.800 | norm: max | MAP: 0.0578 |
| iter:   177/190 | topk: 120 | alpha: 0.900 | norm: l2 | MAP: 0.0569 |
| iter:   178/190 | topk: 120 | alpha: 0.900 | norm: l1 | MAP: 0.0567 |
| iter:   179/190 | topk: 120 | alpha: 0.900 | norm: max | MAP: 0.0574 |
| iter:   180/190 | topk: 140 | alpha: 0.000 | norm: l2 | MAP: 0.0505 |
| iter:   181/190 | topk: 140 | alpha: 0.000 | norm: l1 | MAP: 0.0506 |
| iter:   182/190 | topk: 140 | alpha: 0.000 | norm: max | MAP: 0.0505 |
| iter:   183/190 | topk: 140 | alpha: 0.100 | norm: l2 | MAP: 0.0522 |
| iter:   184/190 | topk: 140 | alpha: 0.100 | norm: l1 | MAP: 0.0528 |
| iter:   185/190 | topk: 140 | alpha: 0.100 | norm: max | MAP: 0.0522 |
| iter:   186/190 | topk: 140 | alpha: 0.200 | norm: l2 | MAP: 0.0543 |
| iter:   187/190 | topk: 140 | alpha: 0.200 | norm: l1 | MAP: 0.0544 |
| iter:   188/190 | topk: 140 | alpha: 0.200 | norm: max | MAP: 0.0539 |
| iter:   189/190 | topk: 140 | alpha: 0.300 | norm: l2 | MAP: 0.0554 |
| iter:   190/190 | topk: 140 | alpha: 0.300 | norm: l1 | MAP: 0.0555 |
| iter:   191/190 | topk: 140 | alpha: 0.300 | norm: max | MAP: 0.0552 |
| iter:   192/190 | topk: 140 | alpha: 0.400 | norm: l2 | MAP: 0.0569 |
| iter:   193/190 | topk: 140 | alpha: 0.400 | norm: l1 | MAP: 0.0570 |
| iter:   194/190 | topk: 140 | alpha: 0.400 | norm: max | MAP: 0.0566 |
| iter:   195/190 | topk: 140 | alpha: 0.500 | norm: l2 | MAP: 0.0586 |
| iter:   196/190 | topk: 140 | alpha: 0.500 | norm: l1 | MAP: 0.0580 |
| iter:   197/190 | topk: 140 | alpha: 0.500 | norm: max | MAP: 0.0582 |
| iter:   198/190 | topk: 140 | alpha: 0.600 | norm: l2 | MAP: 0.0596 |
| iter:   199/190 | topk: 140 | alpha: 0.600 | norm: l1 | MAP: 0.0587 |
| iter:   200/190 | topk: 140 | alpha: 0.600 | norm: max | MAP: 0.0589 |
| iter:   201/190 | topk: 140 | alpha: 0.700 | norm: l2 | MAP: 0.0597 |
| iter:   202/190 | topk: 140 | alpha: 0.700 | norm: l1 | MAP: 0.0583 |
| iter:   203/190 | topk: 140 | alpha: 0.700 | norm: max | MAP: 0.0590 |
| iter:   204/190 | topk: 140 | alpha: 0.800 | norm: l2 | MAP: 0.0584 |
| iter:   205/190 | topk: 140 | alpha: 0.800 | norm: l1 | MAP: 0.0579 |
| iter:   206/190 | topk: 140 | alpha: 0.800 | norm: max | MAP: 0.0582 |
| iter:   207/190 | topk: 140 | alpha: 0.900 | norm: l2 | MAP: 0.0572 |
| iter:   208/190 | topk: 140 | alpha: 0.900 | norm: l1 | MAP: 0.0566 |
| iter:   209/190 | topk: 140 | alpha: 0.900 | norm: max | MAP: 0.0577 |
| iter:   210/190 | topk: 160 | alpha: 0.000 | norm: l2 | MAP: 0.0506 |
| iter:   211/190 | topk: 160 | alpha: 0.000 | norm: l1 | MAP: 0.0506 |
| iter:   212/190 | topk: 160 | alpha: 0.000 | norm: max | MAP: 0.0506 |
| iter:   213/190 | topk: 160 | alpha: 0.100 | norm: l2 | MAP: 0.0522 |
| iter:   214/190 | topk: 160 | alpha: 0.100 | norm: l1 | MAP: 0.0528 |
| iter:   215/190 | topk: 160 | alpha: 0.100 | norm: max | MAP: 0.0522 |
| iter:   216/190 | topk: 160 | alpha: 0.200 | norm: l2 | MAP: 0.0545 |
| iter:   217/190 | topk: 160 | alpha: 0.200 | norm: l1 | MAP: 0.0543 |
| iter:   218/190 | topk: 160 | alpha: 0.200 | norm: max | MAP: 0.0540 |
| iter:   219/190 | topk: 160 | alpha: 0.300 | norm: l2 | MAP: 0.0557 |
| iter:   220/190 | topk: 160 | alpha: 0.300 | norm: l1 | MAP: 0.0556 |
| iter:   221/190 | topk: 160 | alpha: 0.300 | norm: max | MAP: 0.0553 |
| iter:   222/190 | topk: 160 | alpha: 0.400 | norm: l2 | MAP: 0.0571 |
| iter:   223/190 | topk: 160 | alpha: 0.400 | norm: l1 | MAP: 0.0570 |
| iter:   224/190 | topk: 160 | alpha: 0.400 | norm: max | MAP: 0.0569 |
| iter:   225/190 | topk: 160 | alpha: 0.500 | norm: l2 | MAP: 0.0588 |
| iter:   226/190 | topk: 160 | alpha: 0.500 | norm: l1 | MAP: 0.0583 |
| iter:   227/190 | topk: 160 | alpha: 0.500 | norm: max | MAP: 0.0585 |
| iter:   228/190 | topk: 160 | alpha: 0.600 | norm: l2 | MAP: 0.0599 |
| iter:   229/190 | topk: 160 | alpha: 0.600 | norm: l1 | MAP: 0.0588 |
| iter:   230/190 | topk: 160 | alpha: 0.600 | norm: max | MAP: 0.0592 |
| iter:   231/190 | topk: 160 | alpha: 0.700 | norm: l2 | MAP: 0.0599 |
| iter:   232/190 | topk: 160 | alpha: 0.700 | norm: l1 | MAP: 0.0586 |
| iter:   233/190 | topk: 160 | alpha: 0.700 | norm: max | MAP: 0.0592 |
| iter:   234/190 | topk: 160 | alpha: 0.800 | norm: l2 | MAP: 0.0586 |
| iter:   235/190 | topk: 160 | alpha: 0.800 | norm: l1 | MAP: 0.0581 |
| iter:   236/190 | topk: 160 | alpha: 0.800 | norm: max | MAP: 0.0586 |
| iter:   237/190 | topk: 160 | alpha: 0.900 | norm: l2 | MAP: 0.0577 |
| iter:   238/190 | topk: 160 | alpha: 0.900 | norm: l1 | MAP: 0.0566 |
| iter:   239/190 | topk: 160 | alpha: 0.900 | norm: max | MAP: 0.0579 |
| iter:   240/190 | topk: 180 | alpha: 0.000 | norm: l2 | MAP: 0.0506 |
| iter:   241/190 | topk: 180 | alpha: 0.000 | norm: l1 | MAP: 0.0506 |
| iter:   242/190 | topk: 180 | alpha: 0.000 | norm: max | MAP: 0.0506 |
