| iter:    99/190 | topk:  80 | alpha: 0.300 | norm: l2 | MAP: 0.0429 |
| iter:   100/190 | topk:  80 | alpha: 0.300 | norm: l1 | MAP: 0.0467 |
| iter:   101/190 | topk:  80 | alpha: 0.300 | norm: max | MAP: 0.0396 |
| iter:   102/190 | topk:  80 | alpha: 0.400 | norm: l2 | MAP: 0.0506 |
| iter:   103/190 | topk:  80 | alpha: 0.400 | norm: l1 | MAP: 0.0529 |
| iter:   104/190 | topk:  80 | alpha: 0.400 | norm: max | MAP: 0.0418 |
| iter:   105/190 | topk:  80 | alpha: 0.500 | norm: l2 | MAP: 0.0565 |
| iter:   106/190 | topk:  80 | alpha: 0.500 | norm: l1 | MAP: 0.0571 |
| iter:   107/190 | topk:  80 | alpha: 0.500 | norm: max | MAP: 0.0430 |
| iter:   108/190 | topk:  80 | alpha: 0.600 | norm: l2 | MAP: 0.0570 |
| iter:   109/190 | topk:  80 | alpha: 0.600 | norm: l1 | MAP: 0.0570 |
| iter:   110/190 | topk:  80 | alpha: 0.600 | norm: max | MAP: 0.0427 |
| iter:   111/190 | topk:  80 | alpha: 0.700 | norm: l2 | MAP: 0.0543 |
| iter:   112/190 | topk:  80 | alpha: 0.700 | norm: l1 | MAP: 0.0557 |
| iter:   113/190 | topk:  80 | alpha: 0.700 | norm: max | MAP: 0.0410 |
| iter:   114/190 | topk:  80 | alpha: 0.800 | norm: l2 | MAP: 0.0510 |
| iter:   115/190 | topk:  80 | alpha: 0.800 | norm: l1 | MAP: 0.0527 |
| iter:   116/190 | topk:  80 | alpha: 0.800 | norm: max | MAP: 0.0383 |
| iter:   117/190 | topk:  80 | alpha: 0.900 | norm: l2 | MAP: 0.0481 |
| iter:   118/190 | topk:  80 | alpha: 0.900 | norm: l1 | MAP: 0.0508 |
| iter:   119/190 | topk:  80 | alpha: 0.900 | norm: max | MAP: 0.0361 |
| iter:   120/190 | topk: 100 | alpha: 0.000 | norm: l2 | MAP: 0.0311 |
| iter:   121/190 | topk: 100 | alpha: 0.000 | norm: l1 | MAP: 0.0318 |
| iter:   122/190 | topk: 100 | alpha: 0.000 | norm: max | MAP: 0.0292 |
| iter:   123/190 | topk: 100 | alpha: 0.100 | norm: l2 | MAP: 0.0344 |
| iter:   124/190 | topk: 100 | alpha: 0.100 | norm: l1 | MAP: 0.0361 |
| iter:   125/190 | topk: 100 | alpha: 0.100 | norm: max | MAP: 0.0319 |
| iter:   126/190 | topk: 100 | alpha: 0.200 | norm: l2 | MAP: 0.0382 |
| iter:   127/190 | topk: 100 | alpha: 0.200 | norm: l1 | MAP: 0.0407 |
| iter:   128/190 | topk: 100 | alpha: 0.200 | norm: max | MAP: 0.0355 |
| iter:   129/190 | topk: 100 | alpha: 0.300 | norm: l2 | MAP: 0.0434 |
| iter:   130/190 | topk: 100 | alpha: 0.300 | norm: l1 | MAP: 0.0467 |
| iter:   131/190 | topk: 100 | alpha: 0.300 | norm: max | MAP: 0.0388 |
| iter:   132/190 | topk: 100 | alpha: 0.400 | norm: l2 | MAP: 0.0507 |
