| iter:   174/2000 | topk: 130 | alpha: 0.480 | norm: non | MAP: 0.0516 |
| iter:   175/2000 | topk: 130 | alpha: 0.500 | norm: non | MAP: 0.0530 |
| iter:   176/2000 | topk: 130 | alpha: 0.520 | norm: non | MAP: 0.0542 |
| iter:   177/2000 | topk: 130 | alpha: 0.540 | norm: non | MAP: 0.0553 |
| iter:   178/2000 | topk: 130 | alpha: 0.560 | norm: non | MAP: 0.0559 |
| iter:   179/2000 | topk: 130 | alpha: 0.580 | norm: non | MAP: 0.0572 |
| iter:   180/2000 | topk: 130 | alpha: 0.600 | norm: non | MAP: 0.0584 |
| iter:   181/2000 | topk: 130 | alpha: 0.620 | norm: non | MAP: 0.0590 |
| iter:   182/2000 | topk: 130 | alpha: 0.640 | norm: non | MAP: 0.0599 |
| iter:   183/2000 | topk: 130 | alpha: 0.660 | norm: non | MAP: 0.0610 |
| iter:   184/2000 | topk: 130 | alpha: 0.680 | norm: non | MAP: 0.0617 |
| iter:   185/2000 | topk: 130 | alpha: 0.700 | norm: non | MAP: 0.0620 |
| iter:   186/2000 | topk: 130 | alpha: 0.720 | norm: non | MAP: 0.0623 |
| iter:   187/2000 | topk: 130 | alpha: 0.740 | norm: non | MAP: 0.0625 |
| iter:   188/2000 | topk: 130 | alpha: 0.760 | norm: non | MAP: 0.0623 |
| iter:   189/2000 | topk: 130 | alpha: 0.780 | norm: non | MAP: 0.0622 |
| iter:   190/2000 | topk: 130 | alpha: 0.800 | norm: non | MAP: 0.0618 |
| iter:   191/2000 | topk: 130 | alpha: 0.820 | norm: non | MAP: 0.0609 |
| iter:   192/2000 | topk: 130 | alpha: 0.840 | norm: non | MAP: 0.0605 |
| iter:   193/2000 | topk: 130 | alpha: 0.860 | norm: non | MAP: 0.0594 |
| iter:   194/2000 | topk: 130 | alpha: 0.880 | norm: non | MAP: 0.0587 |
| iter:   195/2000 | topk: 130 | alpha: 0.900 | norm: non | MAP: 0.0571 |
| iter:   196/2000 | topk: 130 | alpha: 0.920 | norm: non | MAP: 0.0556 |
| iter:   197/2000 | topk: 130 | alpha: 0.940 | norm: non | MAP: 0.0543 |
| iter:   198/2000 | topk: 130 | alpha: 0.960 | norm: non | MAP: 0.0535 |
| iter:   199/2000 | topk: 130 | alpha: 0.980 | norm: non | MAP: 0.0526 |
| iter:   200/2000 | topk: 140 | alpha: 0.000 | norm: non | MAP: 0.0285 |
| iter:   201/2000 | topk: 140 | alpha: 0.020 | norm: non | MAP: 0.0289 |
| iter:   202/2000 | topk: 140 | alpha: 0.040 | norm: non | MAP: 0.0291 |
| iter:   203/2000 | topk: 140 | alpha: 0.060 | norm: non | MAP: 0.0295 |
| iter:   204/2000 | topk: 140 | alpha: 0.080 | norm: non | MAP: 0.0298 |
| iter:   205/2000 | topk: 140 | alpha: 0.100 | norm: non | MAP: 0.0303 |
| iter:   206/2000 | topk: 140 | alpha: 0.120 | norm: non | MAP: 0.0310 |
| iter:   207/2000 | topk: 140 | alpha: 0.140 | norm: non | MAP: 0.0317 |
| iter:   208/2000 | topk: 140 | alpha: 0.160 | norm: non | MAP: 0.0324 |
| iter:   209/2000 | topk: 140 | alpha: 0.180 | norm: non | MAP: 0.0331 |
| iter:   210/2000 | topk: 140 | alpha: 0.200 | norm: non | MAP: 0.0341 |
| iter:   211/2000 | topk: 140 | alpha: 0.220 | norm: non | MAP: 0.0351 |
| iter:   212/2000 | topk: 140 | alpha: 0.240 | norm: non | MAP: 0.0361 |
| iter:   213/2000 | topk: 140 | alpha: 0.260 | norm: non | MAP: 0.0375 |
| iter:   214/2000 | topk: 140 | alpha: 0.280 | norm: non | MAP: 0.0389 |
| iter:   215/2000 | topk: 140 | alpha: 0.300 | norm: non | MAP: 0.0401 |
| iter:   216/2000 | topk: 140 | alpha: 0.320 | norm: non | MAP: 0.0414 |
| iter:   217/2000 | topk: 140 | alpha: 0.340 | norm: non | MAP: 0.0428 |
| iter:   218/2000 | topk: 140 | alpha: 0.360 | norm: non | MAP: 0.0441 |
| iter:   219/2000 | topk: 140 | alpha: 0.380 | norm: non | MAP: 0.0453 |
| iter:   220/2000 | topk: 140 | alpha: 0.400 | norm: non | MAP: 0.0467 |
| iter:   221/2000 | topk: 140 | alpha: 0.420 | norm: non | MAP: 0.0480 |
| iter:   222/2000 | topk: 140 | alpha: 0.440 | norm: non | MAP: 0.0493 |
| iter:   223/2000 | topk: 140 | alpha: 0.460 | norm: non | MAP: 0.0505 |
