13-12-2020-10:49:37
HMS(ItemKNNCF,ItemKNNCB,RP3beta,P3alpha,SLIM_MSE,SLIM_BPR)
|iter:     0/100 | vec: [2.22110132e-01 5.24449717e-01 4.70811414e-05 1.48186834e-01
|iter:    65/100 | vec: [0.04784768 0.32188489 0.07087966 0.00562309 0.1807807  0.37298397] | norm: none | MAP: 0.0484 |
|iter:    66/100 | vec: [0.0585402  0.16911576 0.08734265 0.09502122 0.39112137 0.1988588 ] | norm: none | MAP: 0.0696 |
|iter:    67/100 | vec: [0.00608126 0.22871829 0.11576753 0.54560018 0.04632614 0.0575066 ] | norm: none | MAP: 0.0679 |
|iter:    68/100 | vec: [0.01854603 0.12214138 0.02519036 0.21921764 0.35448029 0.2604243 ] | norm: none | MAP: 0.0687 |
|iter:    69/100 | vec: [0.2068946  0.05968236 0.26618691 0.07971508 0.24732283 0.14019822] | norm: none | MAP: 0.0665 |
|iter:    70/100 | vec: [0.14634341 0.07716487 0.01749072 0.06527825 0.58000672 0.11371603] | norm: none | MAP: 0.0681 |
|iter:    71/100 | vec: [0.00624658 0.31168647 0.11135233 0.30463458 0.13350826 0.13257177] | norm: none | MAP: 0.0699 |
|iter:    72/100 | vec: [0.11169907 0.11036514 0.2792158  0.08843846 0.40379403 0.0064875 ] | norm: none | MAP: 0.0697 |
|iter:    73/100 | vec: [0.4409375  0.03982225 0.28582284 0.00309003 0.22943092 0.00089646] | norm: none | MAP: 0.0623 |
|iter:    74/100 | vec: [0.30926401 0.24149211 0.16277601 0.25277932 0.01610961 0.01757895] | norm: none | MAP: 0.0698 |
|iter:    75/100 | vec: [0.01941546 0.09101974 0.22072888 0.42985586 0.11602034 0.12295972] | norm: none | MAP: 0.0651 |
|iter:    76/100 | vec: [0.46226059 0.09866503 0.05536885 0.03668445 0.02450175 0.32251933] | norm: none | MAP: 0.0664 |
|iter:    77/100 | vec: [0.02301321 0.0444934  0.2478506  0.05391392 0.5857734  0.04495545] | norm: none | MAP: 0.0665 |
|iter:    78/100 | vec: [0.14392889 0.07123721 0.45595482 0.08614773 0.10725265 0.1354787 ] | norm: none | MAP: 0.0669 |
|iter:    79/100 | vec: [0.39528859 0.00444615 0.17846251 0.31348206 0.00391275 0.10440794] | norm: none | MAP: 0.0614 |
|iter:    80/100 | vec: [0.06642426 0.33042439 0.13766305 0.19731769 0.10153455 0.16663605] | norm: none | MAP: 0.0666 |
|iter:    81/100 | vec: [0.07145412 0.0019588  0.17931088 0.07782155 0.15188401 0.51757063] | norm: none | MAP: 0.0608 |
|iter:    82/100 | vec: [0.06454803 0.03299844 0.05388253 0.31187758 0.32073932 0.2159541 ] | norm: none | MAP: 0.0638 |
|iter:    83/100 | vec: [0.68224104 0.06979194 0.02470326 0.06958563 0.10184499 0.05183314] | norm: none | MAP: 0.0629 |
|iter:    84/100 | vec: [0.19251523 0.10999012 0.34924728 0.04218981 0.24940565 0.05665191] | norm: none | MAP: 0.0682 |
|iter:    85/100 | vec: [0.25260167 0.12698466 0.01735169 0.07686808 0.32275222 0.20344168] | norm: none | MAP: 0.0691 |
|iter:    86/100 | vec: [0.07247151 0.01901421 0.08373105 0.56737386 0.16806571 0.08934366] | norm: none | MAP: 0.0623 |
|iter:    87/100 | vec: [0.52144378 0.32416231 0.12659389 0.00460917 0.01373776 0.0094531 ] | norm: none | MAP: 0.0560 |
|iter:    88/100 | vec: [0.05997089 0.04696938 0.3695067  0.01835098 0.35963808 0.14556398] | norm: none | MAP: 0.0670 |
|iter:    89/100 | vec: [0.351849   0.20264478 0.22358681 0.13112681 0.00267605 0.08811656] | norm: none | MAP: 0.0691 |
|iter:    90/100 | vec: [0.19983756 0.38635315 0.18652668 0.18036069 0.04369212 0.00322979] | norm: none | MAP: 0.0645 |
|iter:    91/100 | vec: [0.19268367 0.05232336 0.56441629 0.03375591 0.05611832 0.10070245] | norm: none | MAP: 0.0647 |
|iter:    92/100 | vec: [0.32248538 0.1429697  0.03057957 0.08593823 0.1610591  0.25696802] | norm: none | MAP: 0.0689 |
|iter:    93/100 | vec: [0.36407122 0.03457858 0.00574009 0.1812668  0.41120263 0.00314068] | norm: none | MAP: 0.0634 |
|iter:    94/100 | vec: [0.17507814 0.18209968 0.09355931 0.3862755  0.16216332 0.00082406] | norm: none | MAP: 0.0680 |
|iter:    95/100 | vec: [0.08917094 0.26398817 0.23882545 0.14098314 0.15074511 0.1162872 ] | norm: none | MAP: 0.0671 |
|iter:    96/100 | vec: [0.06612782 0.16970787 0.22992452 0.08969115 0.39976589 0.04478275] | norm: none | MAP: 0.0689 |
|iter:    97/100 | vec: [0.23527261 0.05847991 0.2542051  0.09546074 0.2819729  0.07460875] | norm: none | MAP: 0.0661 |
|iter:    98/100 | vec: [0.04804754 0.29138081 0.0737671  0.26409744 0.27269191 0.0500152 ] | norm: none | MAP: 0.0699 |
|iter:    99/100 | vec: [0.195185   0.1797026  0.1245564  0.383451   0.02186349 0.09524152] | norm: none | MAP: 0.0679 |
|HMS(ItemKNNCF,ItemKNNCB,RP3beta,P3alpha,SLIM_MSE,SLIM_BPR)| best results | vec: [0.03682021 0.26476198 0.0653956  0.39181106 0.12744777 0.11376338] | norm: none | MAP: 0.0701 |
