| iter:   124/460 | topk: 200 | alpha: 0.400 | MAP: 0.0581 |
| iter:   125/460 | topk: 200 | alpha: 0.500 | MAP: 0.0582 |
| iter:   126/460 | topk: 200 | alpha: 0.600 | MAP: 0.0577 |
| iter:   127/460 | topk: 200 | alpha: 0.700 | MAP: 0.0554 |
| iter:   128/460 | topk: 200 | alpha: 0.800 | MAP: 0.0511 |
| iter:   129/460 | topk: 200 | alpha: 0.900 | MAP: 0.0456 |
| iter:   130/460 | topk: 215 | alpha: 0.000 | MAP: 0.0447 |
| iter:   131/460 | topk: 215 | alpha: 0.100 | MAP: 0.0505 |
| iter:   132/460 | topk: 215 | alpha: 0.200 | MAP: 0.0526 |
| iter:   133/460 | topk: 215 | alpha: 0.300 | MAP: 0.0563 |
| iter:   134/460 | topk: 215 | alpha: 0.400 | MAP: 0.0584 |
| iter:   135/460 | topk: 215 | alpha: 0.500 | MAP: 0.0585 |
| iter:   136/460 | topk: 215 | alpha: 0.600 | MAP: 0.0581 |
| iter:   137/460 | topk: 215 | alpha: 0.700 | MAP: 0.0551 |
| iter:   138/460 | topk: 215 | alpha: 0.800 | MAP: 0.0511 |
| iter:   139/460 | topk: 215 | alpha: 0.900 | MAP: 0.0456 |
| iter:   140/460 | topk: 230 | alpha: 0.000 | MAP: 0.0456 |
| iter:   141/460 | topk: 230 | alpha: 0.100 | MAP: 0.0502 |
| iter:   142/460 | topk: 230 | alpha: 0.200 | MAP: 0.0530 |
| iter:   143/460 | topk: 230 | alpha: 0.300 | MAP: 0.0558 |
| iter:   144/460 | topk: 230 | alpha: 0.400 | MAP: 0.0575 |
| iter:   145/460 | topk: 230 | alpha: 0.500 | MAP: 0.0588 |
| iter:   146/460 | topk: 230 | alpha: 0.600 | MAP: 0.0579 |
| iter:   147/460 | topk: 230 | alpha: 0.700 | MAP: 0.0553 |
| iter:   148/460 | topk: 230 | alpha: 0.800 | MAP: 0.0516 |
| iter:   149/460 | topk: 230 | alpha: 0.900 | MAP: 0.0460 |
| iter:   150/460 | topk: 245 | alpha: 0.000 | MAP: 0.0452 |
| iter:   151/460 | topk: 245 | alpha: 0.100 | MAP: 0.0503 |
| iter:   152/460 | topk: 245 | alpha: 0.200 | MAP: 0.0526 |
| iter:   153/460 | topk: 245 | alpha: 0.300 | MAP: 0.0556 |
| iter:   154/460 | topk: 245 | alpha: 0.400 | MAP: 0.0580 |
| iter:   155/460 | topk: 245 | alpha: 0.500 | MAP: 0.0581 |
| iter:   156/460 | topk: 245 | alpha: 0.600 | MAP: 0.0582 |
| iter:   157/460 | topk: 245 | alpha: 0.700 | MAP: 0.0556 |
| iter:   158/460 | topk: 245 | alpha: 0.800 | MAP: 0.0520 |
| iter:   159/460 | topk: 245 | alpha: 0.900 | MAP: 0.0467 |
| iter:   160/460 | topk: 260 | alpha: 0.000 | MAP: 0.0456 |
| iter:   161/460 | topk: 260 | alpha: 0.100 | MAP: 0.0505 |
| iter:   162/460 | topk: 260 | alpha: 0.200 | MAP: 0.0527 |
| iter:   163/460 | topk: 260 | alpha: 0.300 | MAP: 0.0561 |
| iter:   164/460 | topk: 260 | alpha: 0.400 | MAP: 0.0576 |
| iter:   165/460 | topk: 260 | alpha: 0.500 | MAP: 0.0585 |
| iter:   166/460 | topk: 260 | alpha: 0.600 | MAP: 0.0581 |
| iter:   167/460 | topk: 260 | alpha: 0.700 | MAP: 0.0558 |
| iter:   168/460 | topk: 260 | alpha: 0.800 | MAP: 0.0523 |
| iter:   169/460 | topk: 260 | alpha: 0.900 | MAP: 0.0473 |
| iter:   170/460 | topk: 275 | alpha: 0.000 | MAP: 0.0456 |
| iter:   171/460 | topk: 275 | alpha: 0.100 | MAP: 0.0505 |
| iter:   172/460 | topk: 275 | alpha: 0.200 | MAP: 0.0528 |
| iter:   173/460 | topk: 275 | alpha: 0.300 | MAP: 0.0560 |
| iter:   174/460 | topk: 275 | alpha: 0.400 | MAP: 0.0577 |
| iter:   175/460 | topk: 275 | alpha: 0.500 | MAP: 0.0584 |
| iter:   176/460 | topk: 275 | alpha: 0.600 | MAP: 0.0583 |
| iter:   177/460 | topk: 275 | alpha: 0.700 | MAP: 0.0559 |
| iter:   178/460 | topk: 275 | alpha: 0.800 | MAP: 0.0529 |
| iter:   179/460 | topk: 275 | alpha: 0.900 | MAP: 0.0480 |
| iter:   180/460 | topk: 290 | alpha: 0.000 | MAP: 0.0459 |
| iter:   181/460 | topk: 290 | alpha: 0.100 | MAP: 0.0505 |
| iter:   182/460 | topk: 290 | alpha: 0.200 | MAP: 0.0528 |
| iter:   183/460 | topk: 290 | alpha: 0.300 | MAP: 0.0561 |
| iter:   184/460 | topk: 290 | alpha: 0.400 | MAP: 0.0577 |
| iter:   185/460 | topk: 290 | alpha: 0.500 | MAP: 0.0581 |
| iter:   186/460 | topk: 290 | alpha: 0.600 | MAP: 0.0585 |
| iter:   187/460 | topk: 290 | alpha: 0.700 | MAP: 0.0565 |
| iter:   188/460 | topk: 290 | alpha: 0.800 | MAP: 0.0528 |
| iter:   189/460 | topk: 290 | alpha: 0.900 | MAP: 0.0484 |
| iter:   190/460 | topk: 305 | alpha: 0.000 | MAP: 0.0449 |
| iter:   191/460 | topk: 305 | alpha: 0.100 | MAP: 0.0506 |
| iter:   192/460 | topk: 305 | alpha: 0.200 | MAP: 0.0527 |
| iter:   193/460 | topk: 305 | alpha: 0.300 | MAP: 0.0558 |
| iter:   194/460 | topk: 305 | alpha: 0.400 | MAP: 0.0580 |
| iter:   195/460 | topk: 305 | alpha: 0.500 | MAP: 0.0583 |
| iter:   196/460 | topk: 305 | alpha: 0.600 | MAP: 0.0582 |
| iter:   197/460 | topk: 305 | alpha: 0.700 | MAP: 0.0561 |
| iter:   198/460 | topk: 305 | alpha: 0.800 | MAP: 0.0532 |
| iter:   199/460 | topk: 305 | alpha: 0.900 | MAP: 0.0481 |
| iter:   200/460 | topk: 320 | alpha: 0.000 | MAP: 0.0456 |
| iter:   201/460 | topk: 320 | alpha: 0.100 | MAP: 0.0506 |
| iter:   202/460 | topk: 320 | alpha: 0.200 | MAP: 0.0529 |
| iter:   203/460 | topk: 320 | alpha: 0.300 | MAP: 0.0555 |
| iter:   204/460 | topk: 320 | alpha: 0.400 | MAP: 0.0575 |
| iter:   205/460 | topk: 320 | alpha: 0.500 | MAP: 0.0584 |
| iter:   206/460 | topk: 320 | alpha: 0.600 | MAP: 0.0582 |
| iter:   207/460 | topk: 320 | alpha: 0.700 | MAP: 0.0563 |
| iter:   208/460 | topk: 320 | alpha: 0.800 | MAP: 0.0530 |
| iter:   209/460 | topk: 320 | alpha: 0.900 | MAP: 0.0485 |
| iter:   210/460 | topk: 335 | alpha: 0.000 | MAP: 0.0453 |
| iter:   211/460 | topk: 335 | alpha: 0.100 | MAP: 0.0502 |
| iter:   212/460 | topk: 335 | alpha: 0.200 | MAP: 0.0524 |
| iter:   213/460 | topk: 335 | alpha: 0.300 | MAP: 0.0557 |
| iter:   214/460 | topk: 335 | alpha: 0.400 | MAP: 0.0574 |
| iter:   215/460 | topk: 335 | alpha: 0.500 | MAP: 0.0582 |
| iter:   216/460 | topk: 335 | alpha: 0.600 | MAP: 0.0582 |
| iter:   217/460 | topk: 335 | alpha: 0.700 | MAP: 0.0562 |
| iter:   218/460 | topk: 335 | alpha: 0.800 | MAP: 0.0530 |
| iter:   219/460 | topk: 335 | alpha: 0.900 | MAP: 0.0485 |
| iter:   220/460 | topk: 350 | alpha: 0.000 | MAP: 0.0453 |
| iter:   221/460 | topk: 350 | alpha: 0.100 | MAP: 0.0499 |
| iter:   222/460 | topk: 350 | alpha: 0.200 | MAP: 0.0522 |
| iter:   223/460 | topk: 350 | alpha: 0.300 | MAP: 0.0556 |
| iter:   224/460 | topk: 350 | alpha: 0.400 | MAP: 0.0573 |
| iter:   225/460 | topk: 350 | alpha: 0.500 | MAP: 0.0583 |
| iter:   226/460 | topk: 350 | alpha: 0.600 | MAP: 0.0582 |
| iter:   227/460 | topk: 350 | alpha: 0.700 | MAP: 0.0565 |
| iter:   228/460 | topk: 350 | alpha: 0.800 | MAP: 0.0532 |
| iter:   229/460 | topk: 350 | alpha: 0.900 | MAP: 0.0494 |
| iter:   230/460 | topk: 365 | alpha: 0.000 | MAP: 0.0454 |
| iter:   231/460 | topk: 365 | alpha: 0.100 | MAP: 0.0502 |
| iter:   232/460 | topk: 365 | alpha: 0.200 | MAP: 0.0524 |
| iter:   233/460 | topk: 365 | alpha: 0.300 | MAP: 0.0554 |
| iter:   234/460 | topk: 365 | alpha: 0.400 | MAP: 0.0574 |
| iter:   235/460 | topk: 365 | alpha: 0.500 | MAP: 0.0583 |
| iter:   236/460 | topk: 365 | alpha: 0.600 | MAP: 0.0581 |
| iter:   237/460 | topk: 365 | alpha: 0.700 | MAP: 0.0566 |
| iter:   238/460 | topk: 365 | alpha: 0.800 | MAP: 0.0536 |
| iter:   239/460 | topk: 365 | alpha: 0.900 | MAP: 0.0493 |
| iter:   240/460 | topk: 380 | alpha: 0.000 | MAP: 0.0460 |
| iter:   241/460 | topk: 380 | alpha: 0.100 | MAP: 0.0501 |
| iter:   242/460 | topk: 380 | alpha: 0.200 | MAP: 0.0524 |
| iter:   243/460 | topk: 380 | alpha: 0.300 | MAP: 0.0558 |
| iter:   244/460 | topk: 380 | alpha: 0.400 | MAP: 0.0575 |
| iter:   245/460 | topk: 380 | alpha: 0.500 | MAP: 0.0587 |
| iter:   246/460 | topk: 380 | alpha: 0.600 | MAP: 0.0582 |
| iter:   247/460 | topk: 380 | alpha: 0.700 | MAP: 0.0570 |
| iter:   248/460 | topk: 380 | alpha: 0.800 | MAP: 0.0537 |
| iter:   249/460 | topk: 380 | alpha: 0.900 | MAP: 0.0494 |
| iter:   250/460 | topk: 395 | alpha: 0.000 | MAP: 0.0452 |
| iter:   251/460 | topk: 395 | alpha: 0.100 | MAP: 0.0497 |
| iter:   252/460 | topk: 395 | alpha: 0.200 | MAP: 0.0523 |
| iter:   253/460 | topk: 395 | alpha: 0.300 | MAP: 0.0555 |
| iter:   254/460 | topk: 395 | alpha: 0.400 | MAP: 0.0575 |
| iter:   255/460 | topk: 395 | alpha: 0.500 | MAP: 0.0585 |
| iter:   256/460 | topk: 395 | alpha: 0.600 | MAP: 0.0583 |
| iter:   257/460 | topk: 395 | alpha: 0.700 | MAP: 0.0567 |
| iter:   258/460 | topk: 395 | alpha: 0.800 | MAP: 0.0533 |
| iter:   259/460 | topk: 395 | alpha: 0.900 | MAP: 0.0495 |
| iter:   260/460 | topk: 410 | alpha: 0.000 | MAP: 0.0455 |
| iter:   261/460 | topk: 410 | alpha: 0.100 | MAP: 0.0499 |
| iter:   262/460 | topk: 410 | alpha: 0.200 | MAP: 0.0522 |
| iter:   263/460 | topk: 410 | alpha: 0.300 | MAP: 0.0554 |
| iter:   264/460 | topk: 410 | alpha: 0.400 | MAP: 0.0574 |
| iter:   265/460 | topk: 410 | alpha: 0.500 | MAP: 0.0583 |
| iter:   266/460 | topk: 410 | alpha: 0.600 | MAP: 0.0581 |
| iter:   267/460 | topk: 410 | alpha: 0.700 | MAP: 0.0565 |
| iter:   268/460 | topk: 410 | alpha: 0.800 | MAP: 0.0536 |
| iter:   269/460 | topk: 410 | alpha: 0.900 | MAP: 0.0496 |
| iter:   270/460 | topk: 425 | alpha: 0.000 | MAP: 0.0454 |
| iter:   271/460 | topk: 425 | alpha: 0.100 | MAP: 0.0499 |
| iter:   272/460 | topk: 425 | alpha: 0.200 | MAP: 0.0523 |
| iter:   273/460 | topk: 425 | alpha: 0.300 | MAP: 0.0556 |
| iter:   274/460 | topk: 425 | alpha: 0.400 | MAP: 0.0575 |
| iter:   275/460 | topk: 425 | alpha: 0.500 | MAP: 0.0585 |
| iter:   276/460 | topk: 425 | alpha: 0.600 | MAP: 0.0583 |
| iter:   277/460 | topk: 425 | alpha: 0.700 | MAP: 0.0563 |
| iter:   278/460 | topk: 425 | alpha: 0.800 | MAP: 0.0537 |
| iter:   279/460 | topk: 425 | alpha: 0.900 | MAP: 0.0499 |
| iter:   280/460 | topk: 440 | alpha: 0.000 | MAP: 0.0451 |
| iter:   281/460 | topk: 440 | alpha: 0.100 | MAP: 0.0500 |
| iter:   282/460 | topk: 440 | alpha: 0.200 | MAP: 0.0522 |
| iter:   283/460 | topk: 440 | alpha: 0.300 | MAP: 0.0553 |
| iter:   284/460 | topk: 440 | alpha: 0.400 | MAP: 0.0573 |
| iter:   285/460 | topk: 440 | alpha: 0.500 | MAP: 0.0580 |
| iter:   286/460 | topk: 440 | alpha: 0.600 | MAP: 0.0584 |
| iter:   287/460 | topk: 440 | alpha: 0.700 | MAP: 0.0564 |
| iter:   288/460 | topk: 440 | alpha: 0.800 | MAP: 0.0540 |
| iter:   289/460 | topk: 440 | alpha: 0.900 | MAP: 0.0494 |
| iter:   290/460 | topk: 455 | alpha: 0.000 | MAP: 0.0453 |
| iter:   291/460 | topk: 455 | alpha: 0.100 | MAP: 0.0498 |
| iter:   292/460 | topk: 455 | alpha: 0.200 | MAP: 0.0523 |
| iter:   293/460 | topk: 455 | alpha: 0.300 | MAP: 0.0555 |
| iter:   294/460 | topk: 455 | alpha: 0.400 | MAP: 0.0570 |
| iter:   295/460 | topk: 455 | alpha: 0.500 | MAP: 0.0581 |
| iter:   296/460 | topk: 455 | alpha: 0.600 | MAP: 0.0581 |
| iter:   297/460 | topk: 455 | alpha: 0.700 | MAP: 0.0569 |
| iter:   298/460 | topk: 455 | alpha: 0.800 | MAP: 0.0541 |
| iter:   299/460 | topk: 455 | alpha: 0.900 | MAP: 0.0498 |
| iter:   300/460 | topk: 470 | alpha: 0.000 | MAP: 0.0458 |
| iter:   301/460 | topk: 470 | alpha: 0.100 | MAP: 0.0498 |
| iter:   302/460 | topk: 470 | alpha: 0.200 | MAP: 0.0525 |
| iter:   303/460 | topk: 470 | alpha: 0.300 | MAP: 0.0552 |
| iter:   304/460 | topk: 470 | alpha: 0.400 | MAP: 0.0572 |
| iter:   305/460 | topk: 470 | alpha: 0.500 | MAP: 0.0584 |
| iter:   306/460 | topk: 470 | alpha: 0.600 | MAP: 0.0584 |
| iter:   307/460 | topk: 470 | alpha: 0.700 | MAP: 0.0569 |
