14-12-2020-21:17:51
HMR(ItemKNNCF,P3alpha,UserKNNCF,IALS)
|iter:   144/2500 | vec: [0.17796677 0.40646224 0.3157201  0.09985089] | norm: none | MAP: 0.0588 |
|iter:   145/2500 | vec: [0.09583073 0.20420462 0.00087315 0.6990915 ] | norm: none | MAP: 0.0603 |
|iter:   146/2500 | vec: [0.08208348 0.18143092 0.25803369 0.47845191] | norm: none | MAP: 0.0601 |
|iter:   147/2500 | vec: [0.45574256 0.23076521 0.27508217 0.03841006] | norm: none | MAP: 0.0580 |
|iter:   148/2500 | vec: [0.20577757 0.11541982 0.66992342 0.00887919] | norm: none | MAP: 0.0590 |
|iter:   149/2500 | vec: [0.33028568 0.41215787 0.24189007 0.01566638] | norm: none | MAP: 0.0583 |
|iter:   150/2500 | vec: [0.24549113 0.23058204 0.26460887 0.25931796] | norm: none | MAP: 0.0590 |
|iter:   151/2500 | vec: [0.41715904 0.18141417 0.25663454 0.14479224] | norm: none | MAP: 0.0575 |
|iter:   152/2500 | vec: [0.10286418 0.68746567 0.16010587 0.04956428] | norm: none | MAP: 0.0587 |
|iter:   153/2500 | vec: [0.27896138 0.06404292 0.36919339 0.28780231] | norm: none | MAP: 0.0585 |
|iter:   154/2500 | vec: [0.10335144 0.18559072 0.37858597 0.33247187] | norm: none | MAP: 0.0597 |
|iter:   155/2500 | vec: [0.29122607 0.09385218 0.15272426 0.4621975 ] | norm: none | MAP: 0.0586 |
|iter:   156/2500 | vec: [0.17607811 0.36487955 0.33230268 0.12673966] | norm: none | MAP: 0.0587 |
|iter:   157/2500 | vec: [0.04144532 0.45349421 0.17450803 0.33055244] | norm: none | MAP: 0.0592 |
|iter:   158/2500 | vec: [0.06849149 0.0809679  0.2828218  0.56771881] | norm: none | MAP: 0.0611 |
|iter:   159/2500 | vec: [0.02694737 0.32115229 0.4110918  0.24080853] | norm: none | MAP: 0.0595 |
|iter:   160/2500 | vec: [0.64048421 0.12601215 0.04886997 0.18463367] | norm: none | MAP: 0.0560 |
|iter:   161/2500 | vec: [0.05509984 0.22125796 0.58808919 0.13555301] | norm: none | MAP: 0.0595 |
|iter:   162/2500 | vec: [0.51721805 0.16109894 0.04716554 0.27451747] | norm: none | MAP: 0.0572 |
|iter:   163/2500 | vec: [0.08986125 0.06240307 0.11310246 0.73463322] | norm: none | MAP: 0.0620 |
|iter:   164/2500 | vec: [0.30511784 0.07607156 0.57425438 0.04455622] | norm: none | MAP: 0.0583 |
|iter:   165/2500 | vec: [0.10004659 0.08892077 0.81016881 0.00086384] | norm: none | MAP: 0.0586 |
|iter:   166/2500 | vec: [0.35465688 0.24054648 0.05738451 0.34741214] | norm: none | MAP: 0.0586 |
|iter:   167/2500 | vec: [0.34565266 0.30523447 0.01693223 0.33218065] | norm: none | MAP: 0.0590 |
|iter:   168/2500 | vec: [0.13069162 0.5894378  0.25422272 0.02564786] | norm: none | MAP: 0.0591 |
|iter:   169/2500 | vec: [0.35816661 0.21749002 0.15749084 0.26685252] | norm: none | MAP: 0.0587 |
|iter:   170/2500 | vec: [0.17239014 0.01105964 0.71678262 0.0997676 ] | norm: none | MAP: 0.0588 |
|iter:   171/2500 | vec: [0.08100325 0.01261139 0.31247361 0.59391176] | norm: none | MAP: 0.0622 |
|iter:   172/2500 | vec: [0.19495716 0.52768964 0.12503623 0.15231697] | norm: none | MAP: 0.0586 |
|iter:   173/2500 | vec: [0.18032786 0.18270619 0.43074999 0.20621596] | norm: none | MAP: 0.0597 |
|iter:   174/2500 | vec: [0.03229829 0.55619816 0.17515305 0.2363505 ] | norm: none | MAP: 0.0591 |
|iter:   175/2500 | vec: [0.11029086 0.02708375 0.56823103 0.29439437] | norm: none | MAP: 0.0603 |
|iter:   176/2500 | vec: [0.60212014 0.00427019 0.3894272  0.00418247] | norm: none | MAP: 0.0544 |
|iter:   177/2500 | vec: [0.14042138 0.01030192 0.52652672 0.32274997] | norm: none | MAP: 0.0604 |
|iter:   178/2500 | vec: [0.05096732 0.48739159 0.11475358 0.34688751] | norm: none | MAP: 0.0591 |
|iter:   179/2500 | vec: [0.56504568 0.10665584 0.27251538 0.05578309] | norm: none | MAP: 0.0564 |
|iter:   180/2500 | vec: [0.17914072 0.45463107 0.3312682  0.03496001] | norm: none | MAP: 0.0588 |
