18-12-2020-18:26:05
HMR(ItemKNNCB,P3alpha,IALS)
|iter:   130/2500 | vec: [0.19674469 0.1531244  0.65013091] | norm: none | MAP: 0.0710 |
|iter:   131/2500 | vec: [0.27045333 0.53745529 0.19209138] | norm: none | MAP: 0.0654 |
|iter:   132/2500 | vec: [0.27697904 0.23825754 0.48476342] | norm: none | MAP: 0.0706 |
|iter:   133/2500 | vec: [0.50732737 0.47805385 0.01461877] | norm: none | MAP: 0.0703 |
|iter:   134/2500 | vec: [0.01765978 0.82031666 0.16202356] | norm: none | MAP: 0.0600 |
|iter:   135/2500 | vec: [0.13331731 0.11734682 0.74933587] | norm: none | MAP: 0.0700 |
|iter:   136/2500 | vec: [0.28505685 0.48580513 0.22913802] | norm: none | MAP: 0.0664 |
|iter:   137/2500 | vec: [0.22314654 0.66268969 0.11416376] | norm: none | MAP: 0.0633 |
|iter:   138/2500 | vec: [0.24156434 0.07694436 0.6814913 ] | norm: none | MAP: 0.0768 |
|iter:   139/2500 | vec: [0.47994921 0.35813752 0.16191328] | norm: none | MAP: 0.0720 |
|iter:   140/2500 | vec: [0.38707808 0.10531421 0.50760771] | norm: none | MAP: 0.0762 |
|iter:   141/2500 | vec: [0.11885045 0.37998479 0.50116475] | norm: none | MAP: 0.0639 |
|iter:   142/2500 | vec: [0.10116733 0.10963905 0.78919362] | norm: none | MAP: 0.0683 |
|iter:   143/2500 | vec: [0.11273391 0.78321376 0.10405234] | norm: none | MAP: 0.0617 |
|iter:   144/2500 | vec: [0.61605222 0.3348365  0.04911128] | norm: none | MAP: 0.0742 |
|iter:   145/2500 | vec: [0.55424742 0.41143979 0.03431279] | norm: none | MAP: 0.0722 |
|iter:   146/2500 | vec: [0.12102694 0.40025326 0.4787198 ] | norm: none | MAP: 0.0640 |
|iter:   147/2500 | vec: [0.33896865 0.11118292 0.54984843] | norm: none | MAP: 0.0772 |
|iter:   148/2500 | vec: [0.60253401 0.30725986 0.09020613] | norm: none | MAP: 0.0748 |
|iter:   149/2500 | vec: [0.15141981 0.59093276 0.25764743] | norm: none | MAP: 0.0627 |
|iter:   150/2500 | vec: [0.51798724 0.06919852 0.41281424] | norm: none | MAP: 0.0672 |
