13-12-2020-01:00:35
HMR(Hsim(ItemKNNCF, ItemKNNCB),P3alpha,Hsim(UserKNNCF, UserKNNCB),Hsim(SLIM_MSE, SLIM_BPR),PureSVD,IALS)
|iter:    64/2500 | vec: [0.04400957 0.13079471 0.19251395 0.04696115 0.48251724 0.10320339] | norm: l2 | MAP: 0.0564 |
|iter:    65/2500 | vec: [0.1039228  0.18761812 0.08242909 0.18627083 0.04803712 0.39172203] | norm: l2 | MAP: 0.0657 |
|iter:    66/2500 | vec: [0.1260407  0.04465144 0.09279058 0.36396519 0.26559934 0.10695275] | norm: l2 | MAP: 0.0624 |
|iter:    67/2500 | vec: [0.04738887 0.05160912 0.43448311 0.01301412 0.24037971 0.21312507] | norm: l2 | MAP: 0.0614 |
|iter:    68/2500 | vec: [0.02318952 0.03922333 0.07692748 0.14797593 0.2742076  0.43847614] | norm: l2 | MAP: 0.0595 |
|iter:    69/2500 | vec: [0.10283241 0.06653051 0.20829981 0.25394159 0.33294768 0.035448  ] | norm: l2 | MAP: 0.0602 |
|iter:    70/2500 | vec: [0.07060451 0.17273852 0.1676004  0.19551059 0.17357346 0.21997252] | norm: l2 | MAP: 0.0630 |
|iter:    71/2500 | vec: [0.00718135 0.35637109 0.04551446 0.0556235  0.08827771 0.44703189] | norm: l2 | MAP: 0.0617 |
|iter:    72/2500 | vec: [0.15327288 0.07175128 0.07731438 0.38819556 0.28505627 0.02440962] | norm: l2 | MAP: 0.0621 |
|iter:    73/2500 | vec: [0.09748928 0.15858985 0.08329411 0.28263005 0.08630963 0.29168709] | norm: l2 | MAP: 0.0650 |
|iter:    74/2500 | vec: [0.42005034 0.2885123  0.01597272 0.03541783 0.08132896 0.15871786] | norm: l2 | MAP: 0.0718 |
|iter:    75/2500 | vec: [0.10615056 0.06295707 0.09179605 0.04956321 0.42998998 0.25954314] | norm: l2 | MAP: 0.0574 |
