| iter: 98/360 | topk: 110 | shrink: 40 | sim type: jaccard | MAP: 0.0306 |
| iter: 99/360 | topk: 110 | shrink: 45 | sim type: jaccard | MAP: 0.0303 |
| iter: 100/360 | topk: 120 | shrink: 0 | sim type: jaccard | MAP: 0.0262 |
| iter: 101/360 | topk: 120 | shrink: 5 | sim type: jaccard | MAP: 0.0313 |
| iter: 102/360 | topk: 120 | shrink: 10 | sim type: jaccard | MAP: 0.0318 |
| iter: 103/360 | topk: 120 | shrink: 15 | sim type: jaccard | MAP: 0.0315 |
| iter: 104/360 | topk: 120 | shrink: 20 | sim type: jaccard | MAP: 0.0313 |
| iter: 105/360 | topk: 120 | shrink: 25 | sim type: jaccard | MAP: 0.0311 |
| iter: 106/360 | topk: 120 | shrink: 30 | sim type: jaccard | MAP: 0.0306 |
| iter: 107/360 | topk: 120 | shrink: 35 | sim type: jaccard | MAP: 0.0303 |
| iter: 108/360 | topk: 120 | shrink: 40 | sim type: jaccard | MAP: 0.0302 |
| iter: 109/360 | topk: 120 | shrink: 45 | sim type: jaccard | MAP: 0.0299 |
| iter: 110/360 | topk: 130 | shrink: 0 | sim type: jaccard | MAP: 0.0263 |
| iter: 111/360 | topk: 130 | shrink: 5 | sim type: jaccard | MAP: 0.0314 |
| iter: 112/360 | topk: 130 | shrink: 10 | sim type: jaccard | MAP: 0.0316 |
| iter: 113/360 | topk: 130 | shrink: 15 | sim type: jaccard | MAP: 0.0314 |
| iter: 114/360 | topk: 130 | shrink: 20 | sim type: jaccard | MAP: 0.0311 |
| iter: 115/360 | topk: 130 | shrink: 25 | sim type: jaccard | MAP: 0.0309 |
| iter: 116/360 | topk: 130 | shrink: 30 | sim type: jaccard | MAP: 0.0305 |
| iter: 117/360 | topk: 130 | shrink: 35 | sim type: jaccard | MAP: 0.0301 |
| iter: 118/360 | topk: 130 | shrink: 40 | sim type: jaccard | MAP: 0.0300 |
| iter: 119/360 | topk: 130 | shrink: 45 | sim type: jaccard | MAP: 0.0298 |
| iter: 120/360 | topk: 140 | shrink: 0 | sim type: jaccard | MAP: 0.0259 |
| iter: 121/360 | topk: 140 | shrink: 5 | sim type: jaccard | MAP: 0.0311 |
| iter: 122/360 | topk: 140 | shrink: 10 | sim type: jaccard | MAP: 0.0316 |
| iter: 123/360 | topk: 140 | shrink: 15 | sim type: jaccard | MAP: 0.0314 |
| iter: 124/360 | topk: 140 | shrink: 20 | sim type: jaccard | MAP: 0.0310 |
| iter: 125/360 | topk: 140 | shrink: 25 | sim type: jaccard | MAP: 0.0309 |
| iter: 126/360 | topk: 140 | shrink: 30 | sim type: jaccard | MAP: 0.0304 |
| iter: 127/360 | topk: 140 | shrink: 35 | sim type: jaccard | MAP: 0.0301 |
| iter: 128/360 | topk: 140 | shrink: 40 | sim type: jaccard | MAP: 0.0299 |
| iter: 129/360 | topk: 140 | shrink: 45 | sim type: jaccard | MAP: 0.0298 |
| iter: 130/360 | topk: 150 | shrink: 0 | sim type: jaccard | MAP: 0.0259 |
| iter: 131/360 | topk: 150 | shrink: 5 | sim type: jaccard | MAP: 0.0312 |
| iter: 132/360 | topk: 150 | shrink: 10 | sim type: jaccard | MAP: 0.0316 |
| iter: 133/360 | topk: 150 | shrink: 15 | sim type: jaccard | MAP: 0.0314 |
| iter: 134/360 | topk: 150 | shrink: 20 | sim type: jaccard | MAP: 0.0309 |
| iter: 135/360 | topk: 150 | shrink: 25 | sim type: jaccard | MAP: 0.0307 |
| iter: 136/360 | topk: 150 | shrink: 30 | sim type: jaccard | MAP: 0.0303 |
| iter: 137/360 | topk: 150 | shrink: 35 | sim type: jaccard | MAP: 0.0301 |
| iter: 138/360 | topk: 150 | shrink: 40 | sim type: jaccard | MAP: 0.0300 |
| iter: 139/360 | topk: 150 | shrink: 45 | sim type: jaccard | MAP: 0.0298 |
| iter: 140/360 | topk: 160 | shrink: 0 | sim type: jaccard | MAP: 0.0259 |
| iter: 141/360 | topk: 160 | shrink: 5 | sim type: jaccard | MAP: 0.0312 |
| iter: 142/360 | topk: 160 | shrink: 10 | sim type: jaccard | MAP: 0.0317 |
| iter: 143/360 | topk: 160 | shrink: 15 | sim type: jaccard | MAP: 0.0312 |
| iter: 144/360 | topk: 160 | shrink: 20 | sim type: jaccard | MAP: 0.0307 |
