12-12-2020-01:12:31
HMR(Hsim(ItemKNNCF, ItemKNNCB),Hsim(UserKNNCF, UserKNNCB),Hsim(P3alpha, RP3beta),Hsim(SLIM_MSE, SLIM_BPR),PureSVD)
|iter:    76/2500 | vec: [0.0890714  0.1330613  0.69956628 0.03482652 0.0434745 ] | norm: none | MAP: 0.0603 |
|iter:    77/2500 | vec: [0.09901936 0.45170234 0.19885567 0.01908901 0.23133362] | norm: none | MAP: 0.0635 |
|iter:    78/2500 | vec: [0.07631014 0.5133599  0.11304282 0.00896802 0.28831911] | norm: none | MAP: 0.0623 |
|iter:    79/2500 | vec: [0.35595792 0.09195251 0.26564    0.13719419 0.14925538] | norm: none | MAP: 0.0672 |
|iter:    80/2500 | vec: [0.47631526 0.24217414 0.00488334 0.1836642  0.09296305] | norm: none | MAP: 0.0723 |
|iter:    81/2500 | vec: [0.70972138 0.06026144 0.07480508 0.02046074 0.13475137] | norm: none | MAP: 0.0719 |
|iter:    82/2500 | vec: [0.02141181 0.18633506 0.30130836 0.22136074 0.26958403] | norm: none | MAP: 0.0615 |
|iter:    83/2500 | vec: [0.07525149 0.33562615 0.10051007 0.31184106 0.17677123] | norm: none | MAP: 0.0633 |
|iter:    84/2500 | vec: [0.16512023 0.08706563 0.0197349  0.07365387 0.65442537] | norm: none | MAP: 0.0591 |
|iter:    85/2500 | vec: [0.03506343 0.00821282 0.40979628 0.1464028  0.40052467] | norm: none | MAP: 0.0610 |
|iter:    86/2500 | vec: [0.1462306  0.14520487 0.15788779 0.15600228 0.39467445] | norm: none | MAP: 0.0635 |
|iter:    87/2500 | vec: [0.11379537 0.51956908 0.00834758 0.32861029 0.02967768] | norm: none | MAP: 0.0645 |
|iter:    88/2500 | vec: [0.20200531 0.00218388 0.16215032 0.00063358 0.63302691] | norm: none | MAP: 0.0616 |
|iter:    89/2500 | vec: [0.34961564 0.23565589 0.36595649 0.02332238 0.02544959] | norm: none | MAP: 0.0654 |
|iter:    90/2500 | vec: [0.02213748 0.10378057 0.25167473 0.490121   0.13228622] | norm: none | MAP: 0.0618 |
|iter:    91/2500 | vec: [0.27962528 0.50997182 0.10884852 0.06108363 0.04047075] | norm: none | MAP: 0.0673 |
|iter:    92/2500 | vec: [0.03198634 0.42103986 0.03991545 0.07717193 0.42988642] | norm: none | MAP: 0.0596 |
|iter:    93/2500 | vec: [0.06343141 0.68918058 0.05289149 0.1301026  0.06439393] | norm: none | MAP: 0.0624 |
|iter:    94/2500 | vec: [0.34747501 0.06565164 0.08173532 0.10324589 0.40189213] | norm: none | MAP: 0.0687 |
|iter:    95/2500 | vec: [0.00735252 0.29512012 0.51839945 0.00647044 0.17265746] | norm: none | MAP: 0.0602 |
|iter:    96/2500 | vec: [0.07970619 0.3964947  0.16518959 0.23677253 0.12183699] | norm: none | MAP: 0.0640 |
|iter:    97/2500 | vec: [0.38439482 0.13307562 0.00364805 0.33394724 0.14493427] | norm: none | MAP: 0.0718 |
|iter:    98/2500 | vec: [0.16132892 0.54975575 0.12315288 0.06295858 0.10280388] | norm: none | MAP: 0.0652 |
|iter:    99/2500 | vec: [0.26607407 0.27363434 0.18423827 0.25043437 0.02561895] | norm: none | MAP: 0.0668 |
|iter:   100/2500 | vec: [0.04940179 0.13915792 0.20367046 0.10365634 0.50411349] | norm: none | MAP: 0.0597 |
|iter:   101/2500 | vec: [0.13621324 0.43251254 0.05224843 0.30886731 0.07015848] | norm: none | MAP: 0.0654 |
|iter:   102/2500 | vec: [0.31711636 0.15941665 0.02178333 0.09650025 0.40518341] | norm: none | MAP: 0.0685 |
|iter:   103/2500 | vec: [0.08399026 0.08939597 0.02345465 0.10328498 0.69987415] | norm: none | MAP: 0.0551 |
|iter:   104/2500 | vec: [0.17768581 0.0944577  0.39038907 0.24269044 0.09477699] | norm: none | MAP: 0.0630 |
|iter:   105/2500 | vec: [0.02594521 0.07733047 0.05321192 0.4730322  0.37048021] | norm: none | MAP: 0.0583 |
|iter:   106/2500 | vec: [0.34645024 0.01720591 0.3371974  0.13648109 0.16266536] | norm: none | MAP: 0.0661 |
|iter:   107/2500 | vec: [0.31265057 0.34496098 0.20230904 0.00412874 0.13595066] | norm: none | MAP: 0.0675 |
|iter:   108/2500 | vec: [0.20048508 0.38760504 0.18713107 0.18094511 0.0438337 ] | norm: none | MAP: 0.0661 |
|iter:   109/2500 | vec: [0.00175887 0.22811848 0.0619457  0.66821327 0.03996367] | norm: none | MAP: 0.0604 |
|iter:   110/2500 | vec: [0.12462561 0.22363648 0.42371223 0.18784731 0.04017837] | norm: none | MAP: 0.0619 |
|iter:   111/2500 | vec: [0.09841518 0.18444248 0.29427596 0.38618727 0.0366791 ] | norm: none | MAP: 0.0625 |
|iter:   112/2500 | vec: [0.00653971 0.206518   0.46848483 0.00357819 0.31487927] | norm: none | MAP: 0.0613 |
|iter:   113/2500 | vec: [0.22074779 0.11341597 0.46825707 0.19658022 0.00099895] | norm: none | MAP: 0.0627 |
|iter:   114/2500 | vec: [0.10090488 0.2987262  0.27025233 0.15953502 0.17058156] | norm: none | MAP: 0.0637 |
|iter:   115/2500 | vec: [0.24302389 0.09011982 0.23128002 0.31334404 0.12223223] | norm: none | MAP: 0.0663 |
|iter:   116/2500 | vec: [0.36149539 0.0404956  0.25676281 0.06382156 0.27742463] | norm: none | MAP: 0.0675 |
|iter:   117/2500 | vec: [0.12856527 0.3797574  0.10048209 0.05537536 0.33581988] | norm: none | MAP: 0.0637 |
|iter:   118/2500 | vec: [0.10408414 0.37263703 0.38476369 0.07057061 0.06794453] | norm: none | MAP: 0.0619 |
|iter:   119/2500 | vec: [0.22328436 0.15476401 0.47644613 0.02716586 0.11833964] | norm: none | MAP: 0.0631 |
|iter:   120/2500 | vec: [0.33903134 0.48572633 0.02535581 0.07960274 0.07028378] | norm: none | MAP: 0.0701 |
|iter:   121/2500 | vec: [0.37171398 0.18525261 0.12035549 0.05414807 0.26852985] | norm: none | MAP: 0.0700 |
|iter:   122/2500 | vec: [0.11094852 0.49893282 0.23770228 0.12622319 0.02619319] | norm: none | MAP: 0.0631 |
|iter:   123/2500 | vec: [0.71565595 0.03340071 0.04342083 0.10820504 0.09931747] | norm: none | MAP: 0.0717 |
|iter:   124/2500 | vec: [0.03860585 0.31789069 0.05088263 0.25116975 0.34145109] | norm: none | MAP: 0.0605 |
|iter:   125/2500 | vec: [0.05302251 0.20583438 0.30964739 0.22779985 0.20369588] | norm: none | MAP: 0.0630 |
|iter:   126/2500 | vec: [0.05266758 0.19778827 0.4369964  0.08336215 0.22918559] | norm: none | MAP: 0.0616 |
|iter:   127/2500 | vec: [0.0196913  0.61462999 0.07276311 0.17131899 0.12159661] | norm: none | MAP: 0.0616 |
|iter:   128/2500 | vec: [0.01926614 0.54225818 0.10667023 0.17456261 0.15724285] | norm: none | MAP: 0.0618 |
