13-12-2020-12:00:20
| iter:   109/420 | topk: 180 | alpha: 0.200 | norm: l1 | MAP: 0.0418 |
| iter:   110/420 | topk: 180 | alpha: 0.200 | norm: max | MAP: 0.0513 |
| iter:   111/420 | topk: 180 | alpha: 0.400 | norm: l2 | MAP: 0.0530 |
| iter:   112/420 | topk: 180 | alpha: 0.400 | norm: l1 | MAP: 0.0416 |
| iter:   113/420 | topk: 180 | alpha: 0.400 | norm: max | MAP: 0.0518 |
| iter:   114/420 | topk: 180 | alpha: 0.600 | norm: l2 | MAP: 0.0521 |
| iter:   115/420 | topk: 180 | alpha: 0.600 | norm: l1 | MAP: 0.0398 |
| iter:   116/420 | topk: 180 | alpha: 0.600 | norm: max | MAP: 0.0507 |
| iter:   117/420 | topk: 180 | alpha: 0.800 | norm: l2 | MAP: 0.0500 |
| iter:   118/420 | topk: 180 | alpha: 0.800 | norm: l1 | MAP: 0.0360 |
| iter:   119/420 | topk: 180 | alpha: 0.800 | norm: max | MAP: 0.0476 |
| iter:   120/420 | topk: 200 | alpha: 0.000 | norm: l2 | MAP: 0.0498 |
| iter:   121/420 | topk: 200 | alpha: 0.000 | norm: l1 | MAP: 0.0395 |
| iter:   122/420 | topk: 200 | alpha: 0.000 | norm: max | MAP: 0.0496 |
| iter:   123/420 | topk: 200 | alpha: 0.200 | norm: l2 | MAP: 0.0521 |
| iter:   124/420 | topk: 200 | alpha: 0.200 | norm: l1 | MAP: 0.0418 |
| iter:   125/420 | topk: 200 | alpha: 0.200 | norm: max | MAP: 0.0514 |
| iter:   126/420 | topk: 200 | alpha: 0.400 | norm: l2 | MAP: 0.0532 |
| iter:   127/420 | topk: 200 | alpha: 0.400 | norm: l1 | MAP: 0.0421 |
| iter:   128/420 | topk: 200 | alpha: 0.400 | norm: max | MAP: 0.0521 |
| iter:   129/420 | topk: 200 | alpha: 0.600 | norm: l2 | MAP: 0.0524 |
| iter:   130/420 | topk: 200 | alpha: 0.600 | norm: l1 | MAP: 0.0399 |
| iter:   131/420 | topk: 200 | alpha: 0.600 | norm: max | MAP: 0.0511 |
| iter:   132/420 | topk: 200 | alpha: 0.800 | norm: l2 | MAP: 0.0505 |
| iter:   133/420 | topk: 200 | alpha: 0.800 | norm: l1 | MAP: 0.0361 |
| iter:   134/420 | topk: 200 | alpha: 0.800 | norm: max | MAP: 0.0482 |
| iter:   135/420 | topk: 220 | alpha: 0.000 | norm: l2 | MAP: 0.0498 |
| iter:   136/420 | topk: 220 | alpha: 0.000 | norm: l1 | MAP: 0.0395 |
| iter:   137/420 | topk: 220 | alpha: 0.000 | norm: max | MAP: 0.0496 |
| iter:   138/420 | topk: 220 | alpha: 0.200 | norm: l2 | MAP: 0.0522 |
| iter:   139/420 | topk: 220 | alpha: 0.200 | norm: l1 | MAP: 0.0419 |
| iter:   140/420 | topk: 220 | alpha: 0.200 | norm: max | MAP: 0.0514 |
| iter:   141/420 | topk: 220 | alpha: 0.400 | norm: l2 | MAP: 0.0533 |
| iter:   142/420 | topk: 220 | alpha: 0.400 | norm: l1 | MAP: 0.0422 |
| iter:   143/420 | topk: 220 | alpha: 0.400 | norm: max | MAP: 0.0522 |
| iter:   144/420 | topk: 220 | alpha: 0.600 | norm: l2 | MAP: 0.0526 |
| iter:   145/420 | topk: 220 | alpha: 0.600 | norm: l1 | MAP: 0.0399 |
| iter:   146/420 | topk: 220 | alpha: 0.600 | norm: max | MAP: 0.0511 |
| iter:   147/420 | topk: 220 | alpha: 0.800 | norm: l2 | MAP: 0.0504 |
| iter:   148/420 | topk: 220 | alpha: 0.800 | norm: l1 | MAP: 0.0361 |
| iter:   149/420 | topk: 220 | alpha: 0.800 | norm: max | MAP: 0.0483 |
| iter:   150/420 | topk: 240 | alpha: 0.000 | norm: l2 | MAP: 0.0498 |
| iter:   151/420 | topk: 240 | alpha: 0.000 | norm: l1 | MAP: 0.0395 |
| iter:   152/420 | topk: 240 | alpha: 0.000 | norm: max | MAP: 0.0496 |
| iter:   153/420 | topk: 240 | alpha: 0.200 | norm: l2 | MAP: 0.0522 |
| iter:   154/420 | topk: 240 | alpha: 0.200 | norm: l1 | MAP: 0.0418 |
| iter:   155/420 | topk: 240 | alpha: 0.200 | norm: max | MAP: 0.0515 |
| iter:   156/420 | topk: 240 | alpha: 0.400 | norm: l2 | MAP: 0.0532 |
| iter:   157/420 | topk: 240 | alpha: 0.400 | norm: l1 | MAP: 0.0422 |
| iter:   158/420 | topk: 240 | alpha: 0.400 | norm: max | MAP: 0.0520 |
| iter:   159/420 | topk: 240 | alpha: 0.600 | norm: l2 | MAP: 0.0527 |
| iter:   160/420 | topk: 240 | alpha: 0.600 | norm: l1 | MAP: 0.0397 |
| iter:   161/420 | topk: 240 | alpha: 0.600 | norm: max | MAP: 0.0511 |
| iter:   162/420 | topk: 240 | alpha: 0.800 | norm: l2 | MAP: 0.0505 |
| iter:   163/420 | topk: 240 | alpha: 0.800 | norm: l1 | MAP: 0.0361 |
| iter:   164/420 | topk: 240 | alpha: 0.800 | norm: max | MAP: 0.0483 |
| iter:   165/420 | topk: 260 | alpha: 0.000 | norm: l2 | MAP: 0.0498 |
| iter:   166/420 | topk: 260 | alpha: 0.000 | norm: l1 | MAP: 0.0395 |
| iter:   167/420 | topk: 260 | alpha: 0.000 | norm: max | MAP: 0.0496 |
| iter:   168/420 | topk: 260 | alpha: 0.200 | norm: l2 | MAP: 0.0521 |
| iter:   169/420 | topk: 260 | alpha: 0.200 | norm: l1 | MAP: 0.0418 |
| iter:   170/420 | topk: 260 | alpha: 0.200 | norm: max | MAP: 0.0516 |
| iter:   171/420 | topk: 260 | alpha: 0.400 | norm: l2 | MAP: 0.0533 |
| iter:   172/420 | topk: 260 | alpha: 0.400 | norm: l1 | MAP: 0.0422 |
| iter:   173/420 | topk: 260 | alpha: 0.400 | norm: max | MAP: 0.0520 |
| iter:   174/420 | topk: 260 | alpha: 0.600 | norm: l2 | MAP: 0.0528 |
| iter:   175/420 | topk: 260 | alpha: 0.600 | norm: l1 | MAP: 0.0399 |
| iter:   176/420 | topk: 260 | alpha: 0.600 | norm: max | MAP: 0.0512 |
| iter:   177/420 | topk: 260 | alpha: 0.800 | norm: l2 | MAP: 0.0508 |
| iter:   178/420 | topk: 260 | alpha: 0.800 | norm: l1 | MAP: 0.0362 |
| iter:   179/420 | topk: 260 | alpha: 0.800 | norm: max | MAP: 0.0485 |
| iter:   180/420 | topk: 280 | alpha: 0.000 | norm: l2 | MAP: 0.0498 |
| iter:   181/420 | topk: 280 | alpha: 0.000 | norm: l1 | MAP: 0.0395 |
| iter:   182/420 | topk: 280 | alpha: 0.000 | norm: max | MAP: 0.0496 |
| iter:   183/420 | topk: 280 | alpha: 0.200 | norm: l2 | MAP: 0.0522 |
| iter:   184/420 | topk: 280 | alpha: 0.200 | norm: l1 | MAP: 0.0418 |
| iter:   185/420 | topk: 280 | alpha: 0.200 | norm: max | MAP: 0.0517 |
| iter:   186/420 | topk: 280 | alpha: 0.400 | norm: l2 | MAP: 0.0534 |
| iter:   187/420 | topk: 280 | alpha: 0.400 | norm: l1 | MAP: 0.0422 |
| iter:   188/420 | topk: 280 | alpha: 0.400 | norm: max | MAP: 0.0521 |
| iter:   189/420 | topk: 280 | alpha: 0.600 | norm: l2 | MAP: 0.0527 |
| iter:   190/420 | topk: 280 | alpha: 0.600 | norm: l1 | MAP: 0.0399 |
| iter:   191/420 | topk: 280 | alpha: 0.600 | norm: max | MAP: 0.0514 |
| iter:   192/420 | topk: 280 | alpha: 0.800 | norm: l2 | MAP: 0.0511 |
| iter:   193/420 | topk: 280 | alpha: 0.800 | norm: l1 | MAP: 0.0364 |
| iter:   194/420 | topk: 280 | alpha: 0.800 | norm: max | MAP: 0.0486 |
| iter:   195/420 | topk: 300 | alpha: 0.000 | norm: l2 | MAP: 0.0498 |
| iter:   196/420 | topk: 300 | alpha: 0.000 | norm: l1 | MAP: 0.0395 |
| iter:   197/420 | topk: 300 | alpha: 0.000 | norm: max | MAP: 0.0496 |
| iter:   198/420 | topk: 300 | alpha: 0.200 | norm: l2 | MAP: 0.0522 |
| iter:   199/420 | topk: 300 | alpha: 0.200 | norm: l1 | MAP: 0.0418 |
| iter:   200/420 | topk: 300 | alpha: 0.200 | norm: max | MAP: 0.0516 |
| iter:   201/420 | topk: 300 | alpha: 0.400 | norm: l2 | MAP: 0.0534 |
| iter:   202/420 | topk: 300 | alpha: 0.400 | norm: l1 | MAP: 0.0422 |
| iter:   203/420 | topk: 300 | alpha: 0.400 | norm: max | MAP: 0.0522 |
| iter:   204/420 | topk: 300 | alpha: 0.600 | norm: l2 | MAP: 0.0527 |
| iter:   205/420 | topk: 300 | alpha: 0.600 | norm: l1 | MAP: 0.0401 |
| iter:   206/420 | topk: 300 | alpha: 0.600 | norm: max | MAP: 0.0513 |
| iter:   207/420 | topk: 300 | alpha: 0.800 | norm: l2 | MAP: 0.0511 |
| iter:   208/420 | topk: 300 | alpha: 0.800 | norm: l1 | MAP: 0.0362 |
| iter:   209/420 | topk: 300 | alpha: 0.800 | norm: max | MAP: 0.0486 |
| iter:   210/420 | topk: 320 | alpha: 0.000 | norm: l2 | MAP: 0.0498 |
| iter:   211/420 | topk: 320 | alpha: 0.000 | norm: l1 | MAP: 0.0395 |
| iter:   212/420 | topk: 320 | alpha: 0.000 | norm: max | MAP: 0.0496 |
| iter:   213/420 | topk: 320 | alpha: 0.200 | norm: l2 | MAP: 0.0522 |
| iter:   214/420 | topk: 320 | alpha: 0.200 | norm: l1 | MAP: 0.0419 |
| iter:   215/420 | topk: 320 | alpha: 0.200 | norm: max | MAP: 0.0517 |
| iter:   216/420 | topk: 320 | alpha: 0.400 | norm: l2 | MAP: 0.0535 |
| iter:   217/420 | topk: 320 | alpha: 0.400 | norm: l1 | MAP: 0.0421 |
| iter:   218/420 | topk: 320 | alpha: 0.400 | norm: max | MAP: 0.0522 |
| iter:   219/420 | topk: 320 | alpha: 0.600 | norm: l2 | MAP: 0.0528 |
| iter:   220/420 | topk: 320 | alpha: 0.600 | norm: l1 | MAP: 0.0401 |
| iter:   221/420 | topk: 320 | alpha: 0.600 | norm: max | MAP: 0.0513 |
| iter:   222/420 | topk: 320 | alpha: 0.800 | norm: l2 | MAP: 0.0514 |
| iter:   223/420 | topk: 320 | alpha: 0.800 | norm: l1 | MAP: 0.0363 |
| iter:   224/420 | topk: 320 | alpha: 0.800 | norm: max | MAP: 0.0487 |
| iter:   225/420 | topk: 340 | alpha: 0.000 | norm: l2 | MAP: 0.0498 |
| iter:   226/420 | topk: 340 | alpha: 0.000 | norm: l1 | MAP: 0.0395 |
