| iter:    97/240 | topk:  80 | alpha: 0.200 | norm: l1 | MAP: 0.0532 |
| iter:    98/240 | topk:  80 | alpha: 0.200 | norm: max | MAP: 0.0526 |
| iter:    99/240 | topk:  80 | alpha: 0.300 | norm: l2 | MAP: 0.0540 |
| iter:   100/240 | topk:  80 | alpha: 0.300 | norm: l1 | MAP: 0.0544 |
| iter:   101/240 | topk:  80 | alpha: 0.300 | norm: max | MAP: 0.0539 |
| iter:   102/240 | topk:  80 | alpha: 0.400 | norm: l2 | MAP: 0.0554 |
| iter:   103/240 | topk:  80 | alpha: 0.400 | norm: l1 | MAP: 0.0557 |
| iter:   104/240 | topk:  80 | alpha: 0.400 | norm: max | MAP: 0.0551 |
| iter:   105/240 | topk:  80 | alpha: 0.500 | norm: l2 | MAP: 0.0567 |
| iter:   106/240 | topk:  80 | alpha: 0.500 | norm: l1 | MAP: 0.0569 |
| iter:   107/240 | topk:  80 | alpha: 0.500 | norm: max | MAP: 0.0564 |
| iter:   108/240 | topk:  80 | alpha: 0.600 | norm: l2 | MAP: 0.0579 |
| iter:   109/240 | topk:  80 | alpha: 0.600 | norm: l1 | MAP: 0.0578 |
| iter:   110/240 | topk:  80 | alpha: 0.600 | norm: max | MAP: 0.0570 |
| iter:   111/240 | topk:  80 | alpha: 0.700 | norm: l2 | MAP: 0.0582 |
| iter:   112/240 | topk:  80 | alpha: 0.700 | norm: l1 | MAP: 0.0576 |
| iter:   113/240 | topk:  80 | alpha: 0.700 | norm: max | MAP: 0.0574 |
| iter:   114/240 | topk:  80 | alpha: 0.800 | norm: l2 | MAP: 0.0579 |
| iter:   115/240 | topk:  80 | alpha: 0.800 | norm: l1 | MAP: 0.0578 |
| iter:   116/240 | topk:  80 | alpha: 0.800 | norm: max | MAP: 0.0573 |
| iter:   117/240 | topk:  80 | alpha: 0.900 | norm: l2 | MAP: 0.0567 |
| iter:   118/240 | topk:  80 | alpha: 0.900 | norm: l1 | MAP: 0.0565 |
| iter:   119/240 | topk:  80 | alpha: 0.900 | norm: max | MAP: 0.0565 |
| iter:   120/240 | topk: 100 | alpha: 0.000 | norm: l2 | MAP: 0.0492 |
| iter:   121/240 | topk: 100 | alpha: 0.000 | norm: l1 | MAP: 0.0494 |
| iter:   122/240 | topk: 100 | alpha: 0.000 | norm: max | MAP: 0.0490 |
| iter:   123/240 | topk: 100 | alpha: 0.100 | norm: l2 | MAP: 0.0511 |
| iter:   124/240 | topk: 100 | alpha: 0.100 | norm: l1 | MAP: 0.0516 |
| iter:   125/240 | topk: 100 | alpha: 0.100 | norm: max | MAP: 0.0510 |
| iter:   126/240 | topk: 100 | alpha: 0.200 | norm: l2 | MAP: 0.0524 |
| iter:   127/240 | topk: 100 | alpha: 0.200 | norm: l1 | MAP: 0.0527 |
| iter:   128/240 | topk: 100 | alpha: 0.200 | norm: max | MAP: 0.0524 |
| iter:   129/240 | topk: 100 | alpha: 0.300 | norm: l2 | MAP: 0.0542 |
| iter:   130/240 | topk: 100 | alpha: 0.300 | norm: l1 | MAP: 0.0547 |
| iter:   131/240 | topk: 100 | alpha: 0.300 | norm: max | MAP: 0.0540 |
| iter:   132/240 | topk: 100 | alpha: 0.400 | norm: l2 | MAP: 0.0556 |
| iter:   133/240 | topk: 100 | alpha: 0.400 | norm: l1 | MAP: 0.0555 |
| iter:   134/240 | topk: 100 | alpha: 0.400 | norm: max | MAP: 0.0548 |
| iter:   135/240 | topk: 100 | alpha: 0.500 | norm: l2 | MAP: 0.0569 |
| iter:   136/240 | topk: 100 | alpha: 0.500 | norm: l1 | MAP: 0.0571 |
| iter:   137/240 | topk: 100 | alpha: 0.500 | norm: max | MAP: 0.0564 |
| iter:   138/240 | topk: 100 | alpha: 0.600 | norm: l2 | MAP: 0.0586 |
| iter:   139/240 | topk: 100 | alpha: 0.600 | norm: l1 | MAP: 0.0580 |
| iter:   140/240 | topk: 100 | alpha: 0.600 | norm: max | MAP: 0.0574 |
| iter:   141/240 | topk: 100 | alpha: 0.700 | norm: l2 | MAP: 0.0586 |
| iter:   142/240 | topk: 100 | alpha: 0.700 | norm: l1 | MAP: 0.0577 |
| iter:   143/240 | topk: 100 | alpha: 0.700 | norm: max | MAP: 0.0578 |
| iter:   144/240 | topk: 100 | alpha: 0.800 | norm: l2 | MAP: 0.0577 |
| iter:   145/240 | topk: 100 | alpha: 0.800 | norm: l1 | MAP: 0.0576 |
| iter:   146/240 | topk: 100 | alpha: 0.800 | norm: max | MAP: 0.0580 |
| iter:   147/240 | topk: 100 | alpha: 0.900 | norm: l2 | MAP: 0.0575 |
| iter:   148/240 | topk: 100 | alpha: 0.900 | norm: l1 | MAP: 0.0567 |
| iter:   149/240 | topk: 100 | alpha: 0.900 | norm: max | MAP: 0.0571 |
| iter:   150/240 | topk: 120 | alpha: 0.000 | norm: l2 | MAP: 0.0493 |
| iter:   151/240 | topk: 120 | alpha: 0.000 | norm: l1 | MAP: 0.0493 |
| iter:   152/240 | topk: 120 | alpha: 0.000 | norm: max | MAP: 0.0492 |
| iter:   153/240 | topk: 120 | alpha: 0.100 | norm: l2 | MAP: 0.0516 |
| iter:   154/240 | topk: 120 | alpha: 0.100 | norm: l1 | MAP: 0.0518 |
| iter:   155/240 | topk: 120 | alpha: 0.100 | norm: max | MAP: 0.0514 |
| iter:   156/240 | topk: 120 | alpha: 0.200 | norm: l2 | MAP: 0.0526 |
| iter:   157/240 | topk: 120 | alpha: 0.200 | norm: l1 | MAP: 0.0533 |
| iter:   158/240 | topk: 120 | alpha: 0.200 | norm: max | MAP: 0.0527 |
| iter:   159/240 | topk: 120 | alpha: 0.300 | norm: l2 | MAP: 0.0546 |
| iter:   160/240 | topk: 120 | alpha: 0.300 | norm: l1 | MAP: 0.0548 |
| iter:   161/240 | topk: 120 | alpha: 0.300 | norm: max | MAP: 0.0541 |
| iter:   162/240 | topk: 120 | alpha: 0.400 | norm: l2 | MAP: 0.0559 |
