19-12-2020-03:18:06
|UserKNNCB| iter:   101/2340 | topk:  60 | shrink:  10 | sim type: splus | MAP: 0.0523 |
|UserKNNCB| iter:   102/2340 | topk:  60 | shrink:  20 | sim type: splus | MAP: 0.0527 |
|UserKNNCB| iter:   103/2340 | topk:  60 | shrink:  30 | sim type: splus | MAP: 0.0533 |
|UserKNNCB| iter:   104/2340 | topk:  60 | shrink:  40 | sim type: splus | MAP: 0.0534 |
|UserKNNCB| iter:   105/2340 | topk:  60 | shrink:  50 | sim type: splus | MAP: 0.0529 |
|UserKNNCB| iter:   106/2340 | topk:  60 | shrink:  60 | sim type: splus | MAP: 0.0528 |
|UserKNNCB| iter:   107/2340 | topk:  60 | shrink:  70 | sim type: splus | MAP: 0.0523 |
|UserKNNCB| iter:   108/2340 | topk:  60 | shrink:  80 | sim type: splus | MAP: 0.0524 |
|UserKNNCB| iter:   109/2340 | topk:  60 | shrink:  90 | sim type: splus | MAP: 0.0527 |
|UserKNNCB| iter:   110/2340 | topk:  60 | shrink: 100 | sim type: splus | MAP: 0.0528 |
|UserKNNCB| iter:   111/2340 | topk:  60 | shrink: 110 | sim type: splus | MAP: 0.0531 |
|UserKNNCB| iter:   112/2340 | topk:  60 | shrink: 120 | sim type: splus | MAP: 0.0526 |
|UserKNNCB| iter:   113/2340 | topk:  60 | shrink: 130 | sim type: splus | MAP: 0.0526 |
|UserKNNCB| iter:   114/2340 | topk:  60 | shrink: 140 | sim type: splus | MAP: 0.0523 |
|UserKNNCB| iter:   115/2340 | topk:  60 | shrink: 150 | sim type: splus | MAP: 0.0524 |
|UserKNNCB| iter:   116/2340 | topk:  60 | shrink: 160 | sim type: splus | MAP: 0.0522 |
|UserKNNCB| iter:   117/2340 | topk:  60 | shrink: 170 | sim type: splus | MAP: 0.0521 |
|UserKNNCB| iter:   118/2340 | topk:  60 | shrink: 180 | sim type: splus | MAP: 0.0522 |
|UserKNNCB| iter:   119/2340 | topk:  60 | shrink: 190 | sim type: splus | MAP: 0.0525 |
|UserKNNCB| iter:   120/2340 | topk:  70 | shrink:   0 | sim type: splus | MAP: 0.0526 |
|UserKNNCB| iter:   121/2340 | topk:  70 | shrink:  10 | sim type: splus | MAP: 0.0524 |
|UserKNNCB| iter:   122/2340 | topk:  70 | shrink:  20 | sim type: splus | MAP: 0.0527 |
|UserKNNCB| iter:   123/2340 | topk:  70 | shrink:  30 | sim type: splus | MAP: 0.0532 |
|UserKNNCB| iter:   124/2340 | topk:  70 | shrink:  40 | sim type: splus | MAP: 0.0532 |
|UserKNNCB| iter:   125/2340 | topk:  70 | shrink:  50 | sim type: splus | MAP: 0.0532 |
|UserKNNCB| iter:   126/2340 | topk:  70 | shrink:  60 | sim type: splus | MAP: 0.0533 |
|UserKNNCB| iter:   127/2340 | topk:  70 | shrink:  70 | sim type: splus | MAP: 0.0530 |
|UserKNNCB| iter:   128/2340 | topk:  70 | shrink:  80 | sim type: splus | MAP: 0.0526 |
