19-12-2020-01:05:37
|UserKNNCF| iter:    80/1740 | topk:  50 | shrink:   0 | sim type: splus | MAP: 0.0485 |
|UserKNNCF| iter:    81/1740 | topk:  50 | shrink:  10 | sim type: splus | MAP: 0.0526 |
|UserKNNCF| iter:    82/1740 | topk:  50 | shrink:  20 | sim type: splus | MAP: 0.0537 |
|UserKNNCF| iter:    83/1740 | topk:  50 | shrink:  30 | sim type: splus | MAP: 0.0542 |
|UserKNNCF| iter:    84/1740 | topk:  50 | shrink:  40 | sim type: splus | MAP: 0.0543 |
|UserKNNCF| iter:    85/1740 | topk:  50 | shrink:  50 | sim type: splus | MAP: 0.0547 |
|UserKNNCF| iter:    86/1740 | topk:  50 | shrink:  60 | sim type: splus | MAP: 0.0553 |
|UserKNNCF| iter:    87/1740 | topk:  50 | shrink:  70 | sim type: splus | MAP: 0.0551 |
|UserKNNCF| iter:    88/1740 | topk:  50 | shrink:  80 | sim type: splus | MAP: 0.0551 |
|UserKNNCF| iter:    89/1740 | topk:  50 | shrink:  90 | sim type: splus | MAP: 0.0553 |
|UserKNNCF| iter:    90/1740 | topk:  50 | shrink: 100 | sim type: splus | MAP: 0.0553 |
|UserKNNCF| iter:    91/1740 | topk:  50 | shrink: 110 | sim type: splus | MAP: 0.0553 |
|UserKNNCF| iter:    92/1740 | topk:  50 | shrink: 120 | sim type: splus | MAP: 0.0554 |
|UserKNNCF| iter:    93/1740 | topk:  50 | shrink: 130 | sim type: splus | MAP: 0.0557 |
|UserKNNCF| iter:    94/1740 | topk:  50 | shrink: 140 | sim type: splus | MAP: 0.0556 |
|UserKNNCF| iter:    95/1740 | topk:  50 | shrink: 150 | sim type: splus | MAP: 0.0556 |
|UserKNNCF| iter:    96/1740 | topk:  50 | shrink: 160 | sim type: splus | MAP: 0.0555 |
|UserKNNCF| iter:    97/1740 | topk:  50 | shrink: 170 | sim type: splus | MAP: 0.0556 |
|UserKNNCF| iter:    98/1740 | topk:  50 | shrink: 180 | sim type: splus | MAP: 0.0558 |
|UserKNNCF| iter:    99/1740 | topk:  50 | shrink: 190 | sim type: splus | MAP: 0.0557 |
|UserKNNCF| iter:   100/1740 | topk:  60 | shrink:   0 | sim type: splus | MAP: 0.0497 |
|UserKNNCF| iter:   101/1740 | topk:  60 | shrink:  10 | sim type: splus | MAP: 0.0534 |
|UserKNNCF| iter:   102/1740 | topk:  60 | shrink:  20 | sim type: splus | MAP: 0.0541 |
|UserKNNCF| iter:   103/1740 | topk:  60 | shrink:  30 | sim type: splus | MAP: 0.0549 |
|UserKNNCF| iter:   104/1740 | topk:  60 | shrink:  40 | sim type: splus | MAP: 0.0549 |
|UserKNNCF| iter:   105/1740 | topk:  60 | shrink:  50 | sim type: splus | MAP: 0.0555 |
|UserKNNCF| iter:   106/1740 | topk:  60 | shrink:  60 | sim type: splus | MAP: 0.0558 |
|UserKNNCF| iter:   107/1740 | topk:  60 | shrink:  70 | sim type: splus | MAP: 0.0558 |
|UserKNNCF| iter:   108/1740 | topk:  60 | shrink:  80 | sim type: splus | MAP: 0.0558 |
|UserKNNCF| iter:   109/1740 | topk:  60 | shrink:  90 | sim type: splus | MAP: 0.0559 |
|UserKNNCF| iter:   110/1740 | topk:  60 | shrink: 100 | sim type: splus | MAP: 0.0559 |
|UserKNNCF| iter:   111/1740 | topk:  60 | shrink: 110 | sim type: splus | MAP: 0.0558 |
|UserKNNCF| iter:   112/1740 | topk:  60 | shrink: 120 | sim type: splus | MAP: 0.0560 |
