18-12-2020-09:11:05
HMR(ItemKNNCB,RP3beta,P3alpha,UserKNNCF,UserKNNCB,IALS)
|iter:    67/2500 | vec: [0.01418829 0.65906216 0.13017363 0.02620697 0.02306756 0.14730138] | norm: none | MAP: 0.0601 |
|iter:    68/2500 | vec: [0.19100563 0.32551932 0.15353657 0.07362463 0.21864683 0.03766702] | norm: none | MAP: 0.0645 |
|iter:    69/2500 | vec: [0.12293884 0.03915914 0.34682996 0.23568965 0.17587133 0.07951109] | norm: none | MAP: 0.0639 |
|iter:    70/2500 | vec: [0.24867167 0.06765731 0.32610386 0.04249702 0.13587008 0.17920006] | norm: none | MAP: 0.0667 |
|iter:    71/2500 | vec: [0.06961431 0.07544378 0.54305243 0.03516052 0.24427613 0.03245283] | norm: none | MAP: 0.0620 |
|iter:    72/2500 | vec: [0.37998113 0.20652722 0.03029185 0.2123875  0.15766365 0.01314865] | norm: none | MAP: 0.0735 |
|iter:    73/2500 | vec: [0.08154553 0.26968265 0.32255183 0.11057835 0.03627009 0.17937155] | norm: none | MAP: 0.0621 |
|iter:    74/2500 | vec: [0.30125052 0.15362152 0.0451006  0.07571405 0.29548255 0.12883076] | norm: none | MAP: 0.0730 |
|iter:    75/2500 | vec: [0.20870303 0.02788088 0.16632761 0.23147734 0.31458946 0.05102168] | norm: none | MAP: 0.0699 |
|iter:    76/2500 | vec: [0.3130383  0.11340658 0.04483838 0.00404733 0.14063037 0.38403904] | norm: none | MAP: 0.0751 |
|iter:    77/2500 | vec: [0.12237675 0.05113914 0.05730398 0.09662256 0.59191573 0.08064184] | norm: none | MAP: 0.0695 |
|iter:    78/2500 | vec: [0.08650667 0.12051951 0.04427792 0.06068401 0.2934329  0.39457899] | norm: none | MAP: 0.0669 |
|iter:    79/2500 | vec: [0.05444161 0.07746877 0.27530877 0.14714211 0.07206173 0.373577  ] | norm: none | MAP: 0.0623 |
|iter:    80/2500 | vec: [0.26409726 0.0756764  0.02619882 0.22039288 0.27778299 0.13585166] | norm: none | MAP: 0.0756 |
|iter:    81/2500 | vec: [0.34271173 0.00402063 0.20294189 0.34447504 0.07049418 0.03535653] | norm: none | MAP: 0.0726 |
|iter:    82/2500 | vec: [0.38777924 0.26737878 0.07776934 0.15114723 0.04535697 0.07056844] | norm: none | MAP: 0.0709 |
|iter:    83/2500 | vec: [0.15263222 0.18838656 0.27850003 0.14149061 0.21134247 0.02764811] | norm: none | MAP: 0.0640 |
|iter:    84/2500 | vec: [0.10584773 0.32977244 0.19960476 0.12785984 0.18630496 0.05061027] | norm: none | MAP: 0.0628 |
|iter:    85/2500 | vec: [0.10875775 0.28972471 0.25051161 0.01171842 0.08948641 0.2498011 ] | norm: none | MAP: 0.0629 |
|iter:    86/2500 | vec: [0.02804636 0.02708754 0.19736908 0.0539886  0.22389105 0.46961736] | norm: none | MAP: 0.0623 |
|iter:    87/2500 | vec: [0.15301051 0.00448795 0.63163772 0.06917434 0.00177563 0.13991386] | norm: none | MAP: 0.0626 |
|iter:    88/2500 | vec: [0.22398841 0.31959233 0.01683995 0.00843575 0.21207133 0.21907224] | norm: none | MAP: 0.0675 |
|iter:    89/2500 | vec: [0.31693668 0.20105973 0.23286526 0.21899457 0.00522587 0.02491789] | norm: none | MAP: 0.0676 |
|iter:    90/2500 | vec: [3.67301564e-03 7.47691707e-05 3.09509250e-01 6.06703026e-01
 6.68388991e-02 1.32010403e-02] | norm: none | MAP: 0.0607 |
|iter:    91/2500 | vec: [0.01797325 0.29772294 0.30669394 0.10791306 0.15731264 0.11238416] | norm: none | MAP: 0.0611 |
|iter:    92/2500 | vec: [0.18158517 0.55743844 0.08301556 0.01169032 0.01180104 0.15446947] | norm: none | MAP: 0.0634 |
|iter:    93/2500 | vec: [0.01109114 0.02088864 0.39220035 0.50817135 0.02202436 0.04562416] | norm: none | MAP: 0.0608 |
|iter:    94/2500 | vec: [0.42276951 0.22804694 0.0894854  0.05810109 0.1410905  0.06050656] | norm: none | MAP: 0.0723 |
|iter:    95/2500 | vec: [0.48198328 0.18964592 0.13145369 0.01541816 0.16529121 0.01620774] | norm: none | MAP: 0.0736 |
|iter:    96/2500 | vec: [0.02296962 0.28807258 0.12369091 0.12019567 0.17406234 0.27100888] | norm: none | MAP: 0.0615 |
|iter:    97/2500 | vec: [0.38082675 0.00867371 0.00532695 0.01048197 0.49552627 0.09916436] | norm: none | MAP: 0.0618 |
|iter:    98/2500 | vec: [0.13428845 0.26797981 0.03686292 0.14039285 0.10011653 0.32035944] | norm: none | MAP: 0.0651 |
|iter:    99/2500 | vec: [0.01956707 0.41524416 0.00482898 0.01248052 0.02075693 0.52712233] | norm: none | MAP: 0.0612 |
|iter:   100/2500 | vec: [0.06237298 0.24242568 0.23658636 0.09927907 0.0738569  0.285479  ] | norm: none | MAP: 0.0621 |
|iter:   101/2500 | vec: [0.07238946 0.01876867 0.44015816 0.33026733 0.06206317 0.07635321] | norm: none | MAP: 0.0622 |
|iter:   102/2500 | vec: [0.10236743 0.45737218 0.1772623  0.02923519 0.06533766 0.16842524] | norm: none | MAP: 0.0623 |
|iter:   103/2500 | vec: [0.02129671 0.05786724 0.01906179 0.16823886 0.20827305 0.52526236] | norm: none | MAP: 0.0650 |
|iter:   104/2500 | vec: [0.00534621 0.02452171 0.05356893 0.0881797  0.0598421  0.76854136] | norm: none | MAP: 0.0633 |
|iter:   105/2500 | vec: [0.0424962  0.23169952 0.48953333 0.03357074 0.01632808 0.18637213] | norm: none | MAP: 0.0611 |
|iter:   106/2500 | vec: [0.01037895 0.09466961 0.15406452 0.01646328 0.71267446 0.01174919] | norm: none | MAP: 0.0619 |
|iter:   107/2500 | vec: [0.07279228 0.18548468 0.25393292 0.02962768 0.17647655 0.2816859 ] | norm: none | MAP: 0.0625 |
|iter:   108/2500 | vec: [0.02189639 0.28840725 0.21424874 0.0347336  0.40344134 0.03727268] | norm: none | MAP: 0.0615 |
|iter:   109/2500 | vec: [0.16830201 0.10200891 0.29109903 0.09485662 0.27918237 0.06455106] | norm: none | MAP: 0.0651 |
|iter:   110/2500 | vec: [0.14893024 0.21129201 0.26942538 0.08355947 0.01149518 0.27529773] | norm: none | MAP: 0.0638 |
|iter:   111/2500 | vec: [0.21279418 0.31547546 0.13983886 0.23900977 0.03005813 0.06282361] | norm: none | MAP: 0.0648 |
