12-12-2020-20:29:40
HMR(ItemKNNCF,ItemKNNCB,P3alpha,UserKNNCF,UserKNNCB,PureSVD)
|iter:     0/2500 | vec: [2.22110132e-01 5.24449717e-01 4.70811414e-05 1.48186834e-01
|iter:   178/2500 | vec: [0.29760721 0.07906981 0.00961647 0.32818682 0.03283174 0.25268795] | norm: none | MAP: 0.0694 |
|iter:   179/2500 | vec: [0.28949053 0.09043406 0.12371548 0.10158343 0.13292073 0.26185577] | norm: none | MAP: 0.0684 |
|iter:   180/2500 | vec: [0.07193245 0.46700541 0.18198235 0.02653613 0.05587368 0.19666998] | norm: none | MAP: 0.0615 |
|iter:   181/2500 | vec: [0.04092097 0.02106394 0.02639604 0.27860499 0.13780906 0.495205  ] | norm: none | MAP: 0.0611 |
|iter:   182/2500 | vec: [0.09125132 0.19478638 0.19658154 0.20574325 0.01312336 0.29851415] | norm: none | MAP: 0.0720 |
|iter:   183/2500 | vec: [0.5155281  0.13321632 0.03724377 0.24344909 0.00127916 0.06928356] | norm: none | MAP: 0.0693 |
|iter:   184/2500 | vec: [0.24741186 0.08797555 0.19152053 0.09198129 0.17138962 0.20972116] | norm: none | MAP: 0.0676 |
|iter:   185/2500 | vec: [0.11375451 0.03855251 0.3754354  0.17056341 0.03982204 0.26187213] | norm: none | MAP: 0.0641 |
|iter:   186/2500 | vec: [0.01663761 0.10116721 0.70318488 0.00551216 0.16371177 0.00978637] | norm: none | MAP: 0.0640 |
|iter:   187/2500 | vec: [0.53617286 0.07814378 0.03110691 0.23687929 0.06337605 0.0543211 ] | norm: none | MAP: 0.0676 |
|iter:   188/2500 | vec: [0.27868282 0.09642766 0.11451968 0.14608673 0.088126   0.27615711] | norm: none | MAP: 0.0692 |
|iter:   189/2500 | vec: [0.12880497 0.00808038 0.38345749 0.15136128 0.17755961 0.15073627] | norm: none | MAP: 0.0625 |
|iter:   190/2500 | vec: [0.01958491 0.154241   0.13847094 0.26196424 0.13977194 0.28596697] | norm: none | MAP: 0.0717 |
|iter:   191/2500 | vec: [0.1783949  0.18617595 0.15023413 0.02551003 0.22295139 0.2367336 ] | norm: none | MAP: 0.0707 |
|iter:   192/2500 | vec: [0.43596062 0.04951364 0.03615072 0.09225071 0.07186915 0.31425516] | norm: none | MAP: 0.0658 |
|iter:   193/2500 | vec: [0.26188018 0.39311998 0.15371697 0.02885177 0.03366358 0.12876753] | norm: none | MAP: 0.0642 |
|iter:   194/2500 | vec: [0.0450319  0.35922967 0.19129775 0.2439786  0.14117189 0.0192902 ] | norm: none | MAP: 0.0683 |
|iter:   195/2500 | vec: [0.07180403 0.16589983 0.05931876 0.00691468 0.35023165 0.34583105] | norm: none | MAP: 0.0693 |
|iter:   196/2500 | vec: [0.05936865 0.27454272 0.08280566 0.29608036 0.15842237 0.12878024] | norm: none | MAP: 0.0690 |
