13-12-2020-11:52:44
| iter:   159/320 | topk: 110 | alpha: 0.440 | beta: 0.120 | MAP: 0.0572 |
| iter:   160/320 | topk: 120 | alpha: 0.350 | beta: 0.000 | MAP: 0.0585 |
| iter:   161/320 | topk: 120 | alpha: 0.350 | beta: 0.030 | MAP: 0.0588 |
| iter:   162/320 | topk: 120 | alpha: 0.350 | beta: 0.060 | MAP: 0.0589 |
| iter:   163/320 | topk: 120 | alpha: 0.350 | beta: 0.090 | MAP: 0.0587 |
| iter:   164/320 | topk: 120 | alpha: 0.350 | beta: 0.120 | MAP: 0.0586 |
| iter:   165/320 | topk: 120 | alpha: 0.380 | beta: 0.000 | MAP: 0.0585 |
| iter:   166/320 | topk: 120 | alpha: 0.380 | beta: 0.030 | MAP: 0.0588 |
| iter:   167/320 | topk: 120 | alpha: 0.380 | beta: 0.060 | MAP: 0.0586 |
| iter:   168/320 | topk: 120 | alpha: 0.380 | beta: 0.090 | MAP: 0.0587 |
| iter:   169/320 | topk: 120 | alpha: 0.380 | beta: 0.120 | MAP: 0.0582 |
| iter:   170/320 | topk: 120 | alpha: 0.410 | beta: 0.000 | MAP: 0.0584 |
| iter:   171/320 | topk: 120 | alpha: 0.410 | beta: 0.030 | MAP: 0.0584 |
| iter:   172/320 | topk: 120 | alpha: 0.410 | beta: 0.060 | MAP: 0.0584 |
| iter:   173/320 | topk: 120 | alpha: 0.410 | beta: 0.090 | MAP: 0.0582 |
| iter:   174/320 | topk: 120 | alpha: 0.410 | beta: 0.120 | MAP: 0.0577 |
| iter:   175/320 | topk: 120 | alpha: 0.440 | beta: 0.000 | MAP: 0.0579 |
| iter:   176/320 | topk: 120 | alpha: 0.440 | beta: 0.030 | MAP: 0.0581 |
| iter:   177/320 | topk: 120 | alpha: 0.440 | beta: 0.060 | MAP: 0.0583 |
| iter:   178/320 | topk: 120 | alpha: 0.440 | beta: 0.090 | MAP: 0.0575 |
| iter:   179/320 | topk: 120 | alpha: 0.440 | beta: 0.120 | MAP: 0.0572 |
| iter:   180/320 | topk: 130 | alpha: 0.350 | beta: 0.000 | MAP: 0.0586 |
| iter:   181/320 | topk: 130 | alpha: 0.350 | beta: 0.030 | MAP: 0.0586 |
| iter:   182/320 | topk: 130 | alpha: 0.350 | beta: 0.060 | MAP: 0.0587 |
| iter:   183/320 | topk: 130 | alpha: 0.350 | beta: 0.090 | MAP: 0.0588 |
| iter:   184/320 | topk: 130 | alpha: 0.350 | beta: 0.120 | MAP: 0.0587 |
| iter:   185/320 | topk: 130 | alpha: 0.380 | beta: 0.000 | MAP: 0.0589 |
| iter:   186/320 | topk: 130 | alpha: 0.380 | beta: 0.030 | MAP: 0.0585 |
