20-12-2020-09:20:18
HMR(ItemKNNCB,RP3beta,UserKNNCF,UserKNNCB,IALS)
|iter:   201/2500 | vec: [0.12408835 0.01910209 0.5801     0.04402488 0.23268469] | norm: none | MAP: 0.0775 |
|iter:   202/2500 | vec: [0.08247007 0.09222139 0.26292452 0.55575994 0.00662407] | norm: none | MAP: 0.0678 |
|iter:   203/2500 | vec: [0.31076023 0.24165234 0.1775475  0.11141895 0.15862098] | norm: none | MAP: 0.0723 |
|iter:   204/2500 | vec: [0.06970242 0.59239447 0.03148842 0.03635449 0.27006021] | norm: none | MAP: 0.0622 |
|iter:   205/2500 | vec: [0.15639771 0.25162377 0.23691479 0.3166437  0.03842003] | norm: none | MAP: 0.0674 |
|iter:   206/2500 | vec: [0.24442096 0.0806182  0.23702491 0.08690691 0.35102902] | norm: none | MAP: 0.0774 |
|iter:   207/2500 | vec: [0.44972539 0.24176882 0.07455617 0.12583359 0.10811602] | norm: none | MAP: 0.0749 |
|iter:   208/2500 | vec: [0.10513018 0.03600157 0.50863625 0.31388269 0.03634931] | norm: none | MAP: 0.0739 |
|iter:   209/2500 | vec: [0.29285345 0.26890684 0.2187375  0.03440261 0.1850996 ] | norm: none | MAP: 0.0707 |
|iter:   210/2500 | vec: [0.06591312 0.01189445 0.02704799 0.5516425  0.34350195] | norm: none | MAP: 0.0689 |
|iter:   211/2500 | vec: [0.45808723 0.13736699 0.26824277 0.02285554 0.11344747] | norm: none | MAP: 0.0749 |
|iter:   212/2500 | vec: [0.224155   0.06928103 0.34726538 0.2971496  0.06214899] | norm: none | MAP: 0.0764 |
|iter:   213/2500 | vec: [0.01287347 0.28075665 0.07608863 0.39542579 0.23485546] | norm: none | MAP: 0.0621 |
|iter:   214/2500 | vec: [0.31696589 0.01224217 0.09227632 0.30611551 0.27240011] | norm: none | MAP: 0.0660 |
|iter:   215/2500 | vec: [0.42624064 0.01931041 0.15482887 0.21529501 0.18432507] | norm: none | MAP: 0.0588 |
|iter:   216/2500 | vec: [0.00313237 0.39909225 0.36860332 0.1852798  0.04389227] | norm: none | MAP: 0.0609 |
