09-01-2021-00:22:31
HMR(ItemKNNCF,RP3beta,UserKNNCF,IALS)
|iter:    75/2000 | vec: [0.4044138  0.50628458 0.00103166 0.08826995] | norm: none | MAP: 0.0742 |
|iter:    76/2000 | vec: [0.39494297 0.19363969 0.21290315 0.19851418] | norm: none | MAP: 0.0738 |
|iter:    77/2000 | vec: [0.03237033 0.00325077 0.16187541 0.80250349] | norm: none | MAP: 0.0719 |
|iter:    78/2000 | vec: [0.0139409  0.69878377 0.2802461  0.00702922] | norm: none | MAP: 0.0733 |
|iter:    79/2000 | vec: [0.05578503 0.58319963 0.08640977 0.27460557] | norm: none | MAP: 0.0741 |
|iter:    80/2000 | vec: [0.06669494 0.73199377 0.1316338  0.06967749] | norm: none | MAP: 0.0737 |
|iter:    81/2000 | vec: [0.36611823 0.44743585 0.16709159 0.01935432] | norm: none | MAP: 0.0745 |
|iter:    82/2000 | vec: [0.39335313 0.10377272 0.27497721 0.22789694] | norm: none | MAP: 0.0726 |
|iter:    83/2000 | vec: [0.22036691 0.30313129 0.34762685 0.12887495] | norm: none | MAP: 0.0740 |
|iter:    84/2000 | vec: [0.19487313 0.03012258 0.13623759 0.63876671] | norm: none | MAP: 0.0733 |
|iter:    85/2000 | vec: [0.07123547 0.39566255 0.47044066 0.06266132] | norm: none | MAP: 0.0728 |
|iter:    86/2000 | vec: [0.21536427 0.15946476 0.55199196 0.07317901] | norm: none | MAP: 0.0723 |
|iter:    87/2000 | vec: [0.3533272  0.46428332 0.11910523 0.06328425] | norm: none | MAP: 0.0747 |
|iter:    88/2000 | vec: [0.12180978 0.28060452 0.0789293  0.5186564 ] | norm: none | MAP: 0.0745 |
|iter:    89/2000 | vec: [0.12134509 0.50090413 0.13430742 0.24344336] | norm: none | MAP: 0.0743 |
|iter:    90/2000 | vec: [0.50122431 0.16063853 0.23663674 0.10150041] | norm: none | MAP: 0.0725 |
|iter:    91/2000 | vec: [0.31213817 0.03129369 0.36215038 0.29441776] | norm: none | MAP: 0.0716 |
|iter:    92/2000 | vec: [0.27097804 0.14478843 0.31773906 0.26649447] | norm: none | MAP: 0.0735 |
|iter:    93/2000 | vec: [0.06592897 0.24221417 0.33084859 0.36100827] | norm: none | MAP: 0.0733 |
|iter:    94/2000 | vec: [0.05819618 0.24315302 0.09403187 0.60461893] | norm: none | MAP: 0.0746 |
|iter:    95/2000 | vec: [0.04203303 0.44792419 0.28110362 0.22893916] | norm: none | MAP: 0.0735 |
|iter:    96/2000 | vec: [0.2623595  0.33105654 0.32864059 0.07794337] | norm: none | MAP: 0.0741 |
|iter:    97/2000 | vec: [0.15389597 0.29054853 0.01407436 0.54148113] | norm: none | MAP: 0.0747 |
|iter:    98/2000 | vec: [0.15767429 0.10478244 0.18172713 0.55581614] | norm: none | MAP: 0.0748 |
|iter:    99/2000 | vec: [0.25099366 0.16431285 0.03580335 0.54889014] | norm: none | MAP: 0.0746 |
|iter:   100/2000 | vec: [0.10512258 0.50596359 0.14928713 0.23962669] | norm: none | MAP: 0.0745 |
|iter:   101/2000 | vec: [0.78307171 0.02157077 0.12520821 0.0701493 ] | norm: none | MAP: 0.0644 |
|iter:   102/2000 | vec: [0.0147764  0.12960898 0.76534416 0.09027047] | norm: none | MAP: 0.0705 |
|iter:   103/2000 | vec: [0.02800861 0.6642145  0.15874454 0.14903235] | norm: none | MAP: 0.0737 |
|iter:   104/2000 | vec: [0.34791042 0.50762399 0.07690453 0.06756105] | norm: none | MAP: 0.0744 |
|iter:   105/2000 | vec: [0.10496297 0.35737811 0.4975329  0.04012603] | norm: none | MAP: 0.0730 |
|iter:   106/2000 | vec: [0.27745664 0.14006492 0.49933809 0.08314035] | norm: none | MAP: 0.0724 |
|iter:   107/2000 | vec: [0.12259159 0.00863071 0.79810295 0.07067475] | norm: none | MAP: 0.0692 |
|iter:   108/2000 | vec: [0.10057066 0.08711963 0.78607763 0.02623208] | norm: none | MAP: 0.0705 |
|iter:   109/2000 | vec: [0.15822412 0.43974789 0.06977122 0.33225677] | norm: none | MAP: 0.0747 |
|iter:   110/2000 | vec: [0.28716272 0.00687125 0.48464123 0.22132481] | norm: none | MAP: 0.0706 |
|iter:   111/2000 | vec: [0.03740103 0.58148104 0.28740279 0.09371513] | norm: none | MAP: 0.0734 |
|iter:   112/2000 | vec: [0.19244224 0.00705117 0.64670856 0.15379803] | norm: none | MAP: 0.0703 |
|iter:   113/2000 | vec: [0.21917346 0.30073485 0.42745466 0.05263702] | norm: none | MAP: 0.0734 |
|iter:   114/2000 | vec: [0.04437332 0.68929705 0.02448036 0.24184926] | norm: none | MAP: 0.0739 |
|iter:   115/2000 | vec: [0.01587172 0.1007665  0.09083829 0.79252349] | norm: none | MAP: 0.0740 |
|iter:   116/2000 | vec: [0.42401825 0.08758734 0.27539378 0.21300062] | norm: none | MAP: 0.0718 |
|iter:   117/2000 | vec: [0.04628022 0.21442755 0.67255207 0.06674016] | norm: none | MAP: 0.0718 |
|iter:   118/2000 | vec: [0.12446641 0.19997479 0.00182856 0.67373024] | norm: none | MAP: 0.0750 |
