10-01-2021-23:09:44
HMR(ItemKNNCB,RP3beta)
|iter:    91/2000 | vec: [0.27737532 0.72262468] | norm: none | MAP: 0.0635 |
|iter:    92/2000 | vec: [0.55281564 0.44718436] | norm: none | MAP: 0.0703 |
|iter:    93/2000 | vec: [0.87734421 0.12265579] | norm: none | MAP: 0.0606 |
|iter:    94/2000 | vec: [0.43625729 0.56374271] | norm: none | MAP: 0.0671 |
|iter:    95/2000 | vec: [0.5756131 0.4243869] | norm: none | MAP: 0.0712 |
|iter:    96/2000 | vec: [0.48873475 0.51126525] | norm: none | MAP: 0.0681 |
|iter:    97/2000 | vec: [0.22580731 0.77419269] | norm: none | MAP: 0.0624 |
|iter:    98/2000 | vec: [0.71494442 0.28505558] | norm: none | MAP: 0.0744 |
|iter:    99/2000 | vec: [0.79221041 0.20778959] | norm: none | MAP: 0.0717 |
|iter:   100/2000 | vec: [0.97062576 0.02937424] | norm: none | MAP: 0.0418 |
|iter:   101/2000 | vec: [0.74414093 0.25585907] | norm: none | MAP: 0.0736 |
|iter:   102/2000 | vec: [0.43219405 0.56780595] | norm: none | MAP: 0.0669 |
|iter:   103/2000 | vec: [0.37488368 0.62511632] | norm: none | MAP: 0.0658 |
|iter:   104/2000 | vec: [0.84926234 0.15073766] | norm: none | MAP: 0.0656 |
|iter:   105/2000 | vec: [0.63093097 0.36906903] | norm: none | MAP: 0.0732 |
|iter:   106/2000 | vec: [0.40028487 0.59971513] | norm: none | MAP: 0.0664 |
|iter:   107/2000 | vec: [0.79455342 0.20544658] | norm: none | MAP: 0.0715 |
|iter:   108/2000 | vec: [0.187771 0.812229] | norm: none | MAP: 0.0617 |
|iter:   109/2000 | vec: [0.88018262 0.11981738] | norm: none | MAP: 0.0602 |
|iter:   110/2000 | vec: [0.04569607 0.95430393] | norm: none | MAP: 0.0593 |
|iter:   111/2000 | vec: [0.63528116 0.36471884] | norm: none | MAP: 0.0730 |
|iter:   112/2000 | vec: [0.90263855 0.09736145] | norm: none | MAP: 0.0561 |
|iter:   113/2000 | vec: [0.88669002 0.11330998] | norm: none | MAP: 0.0586 |
|iter:   114/2000 | vec: [0.24336183 0.75663817] | norm: none | MAP: 0.0626 |
|iter:   115/2000 | vec: [2.05008297e-04 9.99794992e-01] | norm: none | MAP: 0.0589 |
|iter:   116/2000 | vec: [0.11560144 0.88439856] | norm: none | MAP: 0.0603 |
|iter:   117/2000 | vec: [0.37286031 0.62713969] | norm: none | MAP: 0.0657 |
|iter:   118/2000 | vec: [0.21959684 0.78040316] | norm: none | MAP: 0.0623 |
|iter:   119/2000 | vec: [0.41007223 0.58992777] | norm: none | MAP: 0.0665 |
|iter:   120/2000 | vec: [0.23324041 0.76675959] | norm: none | MAP: 0.0625 |
|iter:   121/2000 | vec: [0.18226684 0.81773316] | norm: none | MAP: 0.0616 |
|iter:   122/2000 | vec: [0.2506009 0.7493991] | norm: none | MAP: 0.0628 |
|iter:   123/2000 | vec: [0.81058499 0.18941501] | norm: none | MAP: 0.0696 |
|iter:   124/2000 | vec: [0.109675 0.890325] | norm: none | MAP: 0.0602 |
|iter:   125/2000 | vec: [0.65373821 0.34626179] | norm: none | MAP: 0.0736 |
|iter:   126/2000 | vec: [0.68604069 0.31395931] | norm: none | MAP: 0.0742 |
|iter:   127/2000 | vec: [0.31366953 0.68633047] | norm: none | MAP: 0.0644 |
|iter:   128/2000 | vec: [0.80249644 0.19750356] | norm: none | MAP: 0.0704 |
|iter:   129/2000 | vec: [0.01208782 0.98791218] | norm: none | MAP: 0.0590 |
|iter:   130/2000 | vec: [0.42869839 0.57130161] | norm: none | MAP: 0.0669 |
|iter:   131/2000 | vec: [0.17377985 0.82622015] | norm: none | MAP: 0.0615 |
|iter:   132/2000 | vec: [0.90329197 0.09670803] | norm: none | MAP: 0.0558 |
|iter:   133/2000 | vec: [0.38422165 0.61577835] | norm: none | MAP: 0.0660 |
|iter:   134/2000 | vec: [0.15514826 0.84485174] | norm: none | MAP: 0.0612 |
|iter:   135/2000 | vec: [0.28847175 0.71152825] | norm: none | MAP: 0.0638 |
|iter:   136/2000 | vec: [0.62518355 0.37481645] | norm: none | MAP: 0.0732 |
|iter:   137/2000 | vec: [0.45825884 0.54174116] | norm: none | MAP: 0.0673 |
|iter:   138/2000 | vec: [0.88481824 0.11518176] | norm: none | MAP: 0.0592 |
|iter:   139/2000 | vec: [0.38252966 0.61747034] | norm: none | MAP: 0.0661 |
|iter:   140/2000 | vec: [0.70422071 0.29577929] | norm: none | MAP: 0.0742 |
|iter:   141/2000 | vec: [0.36550644 0.63449356] | norm: none | MAP: 0.0656 |
|iter:   142/2000 | vec: [0.12925582 0.87074418] | norm: none | MAP: 0.0605 |
|iter:   143/2000 | vec: [0.73853793 0.26146207] | norm: none | MAP: 0.0738 |
|iter:   144/2000 | vec: [0.95503995 0.04496005] | norm: none | MAP: 0.0447 |
|iter:   145/2000 | vec: [0.80715722 0.19284278] | norm: none | MAP: 0.0699 |
|iter:   146/2000 | vec: [0.02396674 0.97603326] | norm: none | MAP: 0.0591 |
|iter:   147/2000 | vec: [0.41384378 0.58615622] | norm: none | MAP: 0.0667 |
|iter:   148/2000 | vec: [0.23879813 0.76120187] | norm: none | MAP: 0.0626 |
|iter:   149/2000 | vec: [0.81142131 0.18857869] | norm: none | MAP: 0.0695 |
|iter:   150/2000 | vec: [0.44406997 0.55593003] | norm: none | MAP: 0.0672 |
|iter:   151/2000 | vec: [0.01155253 0.98844747] | norm: none | MAP: 0.0590 |
|iter:   152/2000 | vec: [0.6710068 0.3289932] | norm: none | MAP: 0.0742 |
|iter:   153/2000 | vec: [0.51748707 0.48251293] | norm: none | MAP: 0.0690 |
|iter:   154/2000 | vec: [0.90874025 0.09125975] | norm: none | MAP: 0.0546 |
|iter:   155/2000 | vec: [0.16785457 0.83214543] | norm: none | MAP: 0.0614 |
|iter:   156/2000 | vec: [0.01956001 0.98043999] | norm: none | MAP: 0.0591 |
|iter:   157/2000 | vec: [0.9755314 0.0244686] | norm: none | MAP: 0.0410 |
|iter:   158/2000 | vec: [0.08730261 0.91269739] | norm: none | MAP: 0.0597 |
|iter:   159/2000 | vec: [0.23935207 0.76064793] | norm: none | MAP: 0.0626 |
