17-12-2020-08:45:23
HMR(ItemKNNCF,ItemKNNCB,RP3beta,UserKNNCB,PureSVD)
|iter:    74/2500 | vec: [0.09719692 0.33844917 0.24703806 0.1408286  0.17648725] | norm: none | MAP: 0.0710 |
|iter:    75/2500 | vec: [0.4245801  0.14588604 0.14380732 0.06837664 0.21734989] | norm: none | MAP: 0.0631 |
|iter:    76/2500 | vec: [0.48062223 0.08645479 0.09224684 0.26109601 0.07958012] | norm: none | MAP: 0.0601 |
|iter:    77/2500 | vec: [0.02676086 0.10667641 0.37491318 0.21927322 0.27237633] | norm: none | MAP: 0.0646 |
|iter:    78/2500 | vec: [0.09867458 0.07679742 0.32606416 0.16686442 0.33159942] | norm: none | MAP: 0.0639 |
|iter:    79/2500 | vec: [0.1588752  0.21747942 0.18707593 0.38062833 0.05594111] | norm: none | MAP: 0.0678 |
|iter:    80/2500 | vec: [0.08953496 0.00273796 0.01603026 0.74462364 0.14707317] | norm: none | MAP: 0.0615 |
|iter:    81/2500 | vec: [0.03392136 0.02985782 0.19066161 0.27570015 0.46985906] | norm: none | MAP: 0.0628 |
|iter:    82/2500 | vec: [0.27574927 0.13222869 0.39268629 0.06764938 0.13168637] | norm: none | MAP: 0.0631 |
|iter:    83/2500 | vec: [0.04464812 0.39544558 0.26872658 0.20052345 0.09065626] | norm: none | MAP: 0.0727 |
|iter:    84/2500 | vec: [0.30296259 0.0824285  0.39730005 0.05177512 0.16553374] | norm: none | MAP: 0.0619 |
|iter:    85/2500 | vec: [0.4097216  0.05681386 0.06157143 0.44319778 0.02869532] | norm: none | MAP: 0.0600 |
|iter:    86/2500 | vec: [0.10629874 0.01412211 0.54186669 0.2945152  0.04319726] | norm: none | MAP: 0.0607 |
|iter:    87/2500 | vec: [0.39596664 0.29394171 0.02451382 0.06630333 0.21927451] | norm: none | MAP: 0.0681 |
|iter:    88/2500 | vec: [0.313765   0.10756602 0.03528204 0.17448518 0.36890177] | norm: none | MAP: 0.0636 |
|iter:    89/2500 | vec: [0.21985207 0.06454473 0.1083565  0.42287337 0.18437332] | norm: none | MAP: 0.0631 |
|iter:    90/2500 | vec: [0.21992391 0.02937989 0.17527019 0.24392268 0.33150332] | norm: none | MAP: 0.0621 |
|iter:    91/2500 | vec: [0.08753421 0.60092227 0.21770032 0.08607375 0.00776944] | norm: none | MAP: 0.0747 |
|iter:    92/2500 | vec: [0.19209056 0.52456859 0.15022247 0.06277539 0.07034299] | norm: none | MAP: 0.0741 |
|iter:    93/2500 | vec: [0.10311577 0.63169352 0.08606111 0.07484998 0.10427961] | norm: none | MAP: 0.0689 |
|iter:    94/2500 | vec: [0.05062347 0.06938076 0.33548533 0.45112686 0.09338359] | norm: none | MAP: 0.0636 |
|iter:    95/2500 | vec: [0.08192913 0.29115999 0.15561399 0.07621077 0.39508613] | norm: none | MAP: 0.0731 |
|iter:    96/2500 | vec: [0.30561565 0.08757338 0.03031751 0.25504056 0.3214529 ] | norm: none | MAP: 0.0628 |
|iter:    97/2500 | vec: [0.20698558 0.30394851 0.00356587 0.17998767 0.30551238] | norm: none | MAP: 0.0716 |
|iter:    98/2500 | vec: [0.07185698 0.03604005 0.47199631 0.32544754 0.09465912] | norm: none | MAP: 0.0616 |
|iter:    99/2500 | vec: [0.20944897 0.06285243 0.09778868 0.2819333  0.34797663] | norm: none | MAP: 0.0633 |
|iter:   100/2500 | vec: [0.33716091 0.17129299 0.25585785 0.03347167 0.20221658] | norm: none | MAP: 0.0636 |
