name: ItemKNNCF, r_hat => type <class 'numpy.ndarray'>  shape (7947, 25975) 
training SLIM_MSE...
tune CBCFP3A_SM
| iter:   242/722 | topk: 140 | alpha: 0.750 | MAP: 0.0678 |
| iter:   243/722 | topk: 140 | alpha: 0.800 | MAP: 0.0679 |
| iter:   244/722 | topk: 140 | alpha: 0.850 | MAP: 0.0679 |
| iter:   245/722 | topk: 140 | alpha: 0.900 | MAP: 0.0680 |
| iter:   246/722 | topk: 140 | alpha: 0.950 | MAP: 0.0682 |
| iter:   247/722 | topk: 150 | alpha: 0.050 | MAP: 0.0576 |
| iter:   248/722 | topk: 150 | alpha: 0.100 | MAP: 0.0595 |
| iter:   249/722 | topk: 150 | alpha: 0.150 | MAP: 0.0602 |
| iter:   250/722 | topk: 150 | alpha: 0.200 | MAP: 0.0613 |
| iter:   251/722 | topk: 150 | alpha: 0.250 | MAP: 0.0624 |
| iter:   252/722 | topk: 150 | alpha: 0.300 | MAP: 0.0634 |
| iter:   253/722 | topk: 150 | alpha: 0.350 | MAP: 0.0639 |
| iter:   254/722 | topk: 150 | alpha: 0.400 | MAP: 0.0648 |
| iter:   255/722 | topk: 150 | alpha: 0.450 | MAP: 0.0653 |
| iter:   256/722 | topk: 150 | alpha: 0.500 | MAP: 0.0655 |
| iter:   257/722 | topk: 150 | alpha: 0.550 | MAP: 0.0662 |
| iter:   258/722 | topk: 150 | alpha: 0.600 | MAP: 0.0665 |
| iter:   259/722 | topk: 150 | alpha: 0.650 | MAP: 0.0669 |
| iter:   260/722 | topk: 150 | alpha: 0.700 | MAP: 0.0675 |
| iter:   261/722 | topk: 150 | alpha: 0.750 | MAP: 0.0677 |
| iter:   262/722 | topk: 150 | alpha: 0.800 | MAP: 0.0679 |
| iter:   263/722 | topk: 150 | alpha: 0.850 | MAP: 0.0681 |
| iter:   264/722 | topk: 150 | alpha: 0.900 | MAP: 0.0681 |
| iter:   265/722 | topk: 150 | alpha: 0.950 | MAP: 0.0683 |
| iter:   266/722 | topk: 160 | alpha: 0.050 | MAP: 0.0581 |
| iter:   267/722 | topk: 160 | alpha: 0.100 | MAP: 0.0596 |
| iter:   268/722 | topk: 160 | alpha: 0.150 | MAP: 0.0607 |
| iter:   269/722 | topk: 160 | alpha: 0.200 | MAP: 0.0617 |
| iter:   270/722 | topk: 160 | alpha: 0.250 | MAP: 0.0627 |
| iter:   271/722 | topk: 160 | alpha: 0.300 | MAP: 0.0634 |
| iter:   272/722 | topk: 160 | alpha: 0.350 | MAP: 0.0640 |
| iter:   273/722 | topk: 160 | alpha: 0.400 | MAP: 0.0649 |
| iter:   274/722 | topk: 160 | alpha: 0.450 | MAP: 0.0654 |
| iter:   275/722 | topk: 160 | alpha: 0.500 | MAP: 0.0656 |
| iter:   276/722 | topk: 160 | alpha: 0.550 | MAP: 0.0661 |
| iter:   277/722 | topk: 160 | alpha: 0.600 | MAP: 0.0668 |
| iter:   278/722 | topk: 160 | alpha: 0.650 | MAP: 0.0672 |
| iter:   279/722 | topk: 160 | alpha: 0.700 | MAP: 0.0675 |
| iter:   280/722 | topk: 160 | alpha: 0.750 | MAP: 0.0676 |
| iter:   281/722 | topk: 160 | alpha: 0.800 | MAP: 0.0679 |
| iter:   282/722 | topk: 160 | alpha: 0.850 | MAP: 0.0680 |
| iter:   283/722 | topk: 160 | alpha: 0.900 | MAP: 0.0680 |
| iter:   284/722 | topk: 160 | alpha: 0.950 | MAP: 0.0683 |
| iter:   285/722 | topk: 170 | alpha: 0.050 | MAP: 0.0579 |
| iter:   286/722 | topk: 170 | alpha: 0.100 | MAP: 0.0595 |
| iter:   287/722 | topk: 170 | alpha: 0.150 | MAP: 0.0607 |
| iter:   288/722 | topk: 170 | alpha: 0.200 | MAP: 0.0619 |
| iter:   289/722 | topk: 170 | alpha: 0.250 | MAP: 0.0627 |
| iter:   290/722 | topk: 170 | alpha: 0.300 | MAP: 0.0634 |
| iter:   291/722 | topk: 170 | alpha: 0.350 | MAP: 0.0639 |
| iter:   292/722 | topk: 170 | alpha: 0.400 | MAP: 0.0647 |
| iter:   293/722 | topk: 170 | alpha: 0.450 | MAP: 0.0653 |
| iter:   294/722 | topk: 170 | alpha: 0.500 | MAP: 0.0655 |
| iter:   295/722 | topk: 170 | alpha: 0.550 | MAP: 0.0661 |
| iter:   296/722 | topk: 170 | alpha: 0.600 | MAP: 0.0667 |
| iter:   297/722 | topk: 170 | alpha: 0.650 | MAP: 0.0671 |
| iter:   298/722 | topk: 170 | alpha: 0.700 | MAP: 0.0675 |
| iter:   299/722 | topk: 170 | alpha: 0.750 | MAP: 0.0677 |
| iter:   300/722 | topk: 170 | alpha: 0.800 | MAP: 0.0679 |
| iter:   301/722 | topk: 170 | alpha: 0.850 | MAP: 0.0680 |
| iter:   302/722 | topk: 170 | alpha: 0.900 | MAP: 0.0680 |
| iter:   303/722 | topk: 170 | alpha: 0.950 | MAP: 0.0683 |
| iter:   304/722 | topk: 180 | alpha: 0.050 | MAP: 0.0579 |
| iter:   305/722 | topk: 180 | alpha: 0.100 | MAP: 0.0595 |
| iter:   306/722 | topk: 180 | alpha: 0.150 | MAP: 0.0607 |
| iter:   307/722 | topk: 180 | alpha: 0.200 | MAP: 0.0619 |
| iter:   308/722 | topk: 180 | alpha: 0.250 | MAP: 0.0628 |
| iter:   309/722 | topk: 180 | alpha: 0.300 | MAP: 0.0635 |
| iter:   310/722 | topk: 180 | alpha: 0.350 | MAP: 0.0639 |
| iter:   311/722 | topk: 180 | alpha: 0.400 | MAP: 0.0648 |
