| iter: 104/684 | topk: 70 | alpha: 0.7500000000000001 | MAP: 0.0631 |
| iter: 105/684 | topk: 70 | alpha: 0.8 | MAP: 0.0647 |
| iter: 106/684 | topk: 70 | alpha: 0.8500000000000001 | MAP: 0.0668 |
| iter: 107/684 | topk: 70 | alpha: 0.9000000000000001 | MAP: 0.0683 |
| iter: 108/684 | topk: 80 | alpha: 0.05 | MAP: 0.0543 |
| iter: 109/684 | topk: 80 | alpha: 0.1 | MAP: 0.0548 |
| iter: 110/684 | topk: 80 | alpha: 0.15000000000000002 | MAP: 0.0552 |
| iter: 111/684 | topk: 80 | alpha: 0.2 | MAP: 0.0556 |
| iter: 112/684 | topk: 80 | alpha: 0.25 | MAP: 0.0564 |
| iter: 113/684 | topk: 80 | alpha: 0.3 | MAP: 0.0567 |
| iter: 114/684 | topk: 80 | alpha: 0.35000000000000003 | MAP: 0.0571 |
| iter: 115/684 | topk: 80 | alpha: 0.4 | MAP: 0.0578 |
| iter: 116/684 | topk: 80 | alpha: 0.45 | MAP: 0.0584 |
| iter: 117/684 | topk: 80 | alpha: 0.5 | MAP: 0.0589 |
| iter: 118/684 | topk: 80 | alpha: 0.55 | MAP: 0.0597 |
| iter: 119/684 | topk: 80 | alpha: 0.6000000000000001 | MAP: 0.0607 |
| iter: 120/684 | topk: 80 | alpha: 0.6500000000000001 | MAP: 0.0613 |
| iter: 121/684 | topk: 80 | alpha: 0.7000000000000001 | MAP: 0.0624 |
| iter: 122/684 | topk: 80 | alpha: 0.7500000000000001 | MAP: 0.0632 |
| iter: 123/684 | topk: 80 | alpha: 0.8 | MAP: 0.0647 |
| iter: 124/684 | topk: 80 | alpha: 0.8500000000000001 | MAP: 0.0671 |
| iter: 125/684 | topk: 80 | alpha: 0.9000000000000001 | MAP: 0.0688 |
| iter: 126/684 | topk: 90 | alpha: 0.05 | MAP: 0.0548 |
| iter: 127/684 | topk: 90 | alpha: 0.1 | MAP: 0.0553 |
| iter: 128/684 | topk: 90 | alpha: 0.15000000000000002 | MAP: 0.0558 |
