13-12-2020-12:56:02
|ItemKNNCB| iter: 86/420 | topk: 180 | shrink: 120 | sim type: splus | MAP: 0.0348 |
|ItemKNNCB| iter: 87/420 | topk: 180 | shrink: 140 | sim type: splus | MAP: 0.0348 |
|ItemKNNCB| iter: 88/420 | topk: 180 | shrink: 160 | sim type: splus | MAP: 0.0347 |
|ItemKNNCB| iter: 89/420 | topk: 180 | shrink: 180 | sim type: splus | MAP: 0.0347 |
|ItemKNNCB| iter: 90/420 | topk: 200 | shrink: 0 | sim type: splus | MAP: 0.0377 |
|ItemKNNCB| iter: 91/420 | topk: 200 | shrink: 20 | sim type: splus | MAP: 0.0361 |
|ItemKNNCB| iter: 92/420 | topk: 200 | shrink: 40 | sim type: splus | MAP: 0.0353 |
|ItemKNNCB| iter: 93/420 | topk: 200 | shrink: 60 | sim type: splus | MAP: 0.0350 |
|ItemKNNCB| iter: 94/420 | topk: 200 | shrink: 80 | sim type: splus | MAP: 0.0348 |
|ItemKNNCB| iter: 95/420 | topk: 200 | shrink: 100 | sim type: splus | MAP: 0.0348 |
|ItemKNNCB| iter: 96/420 | topk: 200 | shrink: 120 | sim type: splus | MAP: 0.0347 |
|ItemKNNCB| iter: 97/420 | topk: 200 | shrink: 140 | sim type: splus | MAP: 0.0347 |
|ItemKNNCB| iter: 98/420 | topk: 200 | shrink: 160 | sim type: splus | MAP: 0.0344 |
|ItemKNNCB| iter: 99/420 | topk: 200 | shrink: 180 | sim type: splus | MAP: 0.0344 |
|ItemKNNCB| iter: 100/420 | topk: 220 | shrink: 0 | sim type: splus | MAP: 0.0379 |
|ItemKNNCB| iter: 101/420 | topk: 220 | shrink: 20 | sim type: splus | MAP: 0.0361 |
|ItemKNNCB| iter: 102/420 | topk: 220 | shrink: 40 | sim type: splus | MAP: 0.0356 |
|ItemKNNCB| iter: 103/420 | topk: 220 | shrink: 60 | sim type: splus | MAP: 0.0353 |
|ItemKNNCB| iter: 104/420 | topk: 220 | shrink: 80 | sim type: splus | MAP: 0.0352 |
|ItemKNNCB| iter: 105/420 | topk: 220 | shrink: 100 | sim type: splus | MAP: 0.0351 |
|ItemKNNCB| iter: 106/420 | topk: 220 | shrink: 120 | sim type: splus | MAP: 0.0348 |
|ItemKNNCB| iter: 107/420 | topk: 220 | shrink: 140 | sim type: splus | MAP: 0.0346 |
|ItemKNNCB| iter: 108/420 | topk: 220 | shrink: 160 | sim type: splus | MAP: 0.0346 |
|ItemKNNCB| iter: 109/420 | topk: 220 | shrink: 180 | sim type: splus | MAP: 0.0345 |
|ItemKNNCB| iter: 110/420 | topk: 240 | shrink: 0 | sim type: splus | MAP: 0.0384 |
|ItemKNNCB| iter: 111/420 | topk: 240 | shrink: 20 | sim type: splus | MAP: 0.0363 |
|ItemKNNCB| iter: 112/420 | topk: 240 | shrink: 40 | sim type: splus | MAP: 0.0356 |
|ItemKNNCB| iter: 113/420 | topk: 240 | shrink: 60 | sim type: splus | MAP: 0.0352 |
|ItemKNNCB| iter: 114/420 | topk: 240 | shrink: 80 | sim type: splus | MAP: 0.0349 |
|ItemKNNCB| iter: 115/420 | topk: 240 | shrink: 100 | sim type: splus | MAP: 0.0349 |
|ItemKNNCB| iter: 116/420 | topk: 240 | shrink: 120 | sim type: splus | MAP: 0.0347 |
|ItemKNNCB| iter: 117/420 | topk: 240 | shrink: 140 | sim type: splus | MAP: 0.0347 |
|ItemKNNCB| iter: 118/420 | topk: 240 | shrink: 160 | sim type: splus | MAP: 0.0345 |
|ItemKNNCB| iter: 119/420 | topk: 240 | shrink: 180 | sim type: splus | MAP: 0.0345 |
|ItemKNNCB| iter: 120/420 | topk: 260 | shrink: 0 | sim type: splus | MAP: 0.0382 |
|ItemKNNCB| iter: 121/420 | topk: 260 | shrink: 20 | sim type: splus | MAP: 0.0367 |
|ItemKNNCB| iter: 122/420 | topk: 260 | shrink: 40 | sim type: splus | MAP: 0.0356 |
|ItemKNNCB| iter: 123/420 | topk: 260 | shrink: 60 | sim type: splus | MAP: 0.0353 |
|ItemKNNCB| iter: 124/420 | topk: 260 | shrink: 80 | sim type: splus | MAP: 0.0350 |
|ItemKNNCB| iter: 125/420 | topk: 260 | shrink: 100 | sim type: splus | MAP: 0.0349 |
|ItemKNNCB| iter: 126/420 | topk: 260 | shrink: 120 | sim type: splus | MAP: 0.0347 |
|ItemKNNCB| iter: 127/420 | topk: 260 | shrink: 140 | sim type: splus | MAP: 0.0346 |
|ItemKNNCB| iter: 128/420 | topk: 260 | shrink: 160 | sim type: splus | MAP: 0.0346 |
|ItemKNNCB| iter: 129/420 | topk: 260 | shrink: 180 | sim type: splus | MAP: 0.0344 |
|ItemKNNCB| iter: 130/420 | topk: 280 | shrink: 0 | sim type: splus | MAP: 0.0382 |
|ItemKNNCB| iter: 131/420 | topk: 280 | shrink: 20 | sim type: splus | MAP: 0.0364 |
|ItemKNNCB| iter: 132/420 | topk: 280 | shrink: 40 | sim type: splus | MAP: 0.0355 |
|ItemKNNCB| iter: 133/420 | topk: 280 | shrink: 60 | sim type: splus | MAP: 0.0353 |
|ItemKNNCB| iter: 134/420 | topk: 280 | shrink: 80 | sim type: splus | MAP: 0.0349 |
|ItemKNNCB| iter: 135/420 | topk: 280 | shrink: 100 | sim type: splus | MAP: 0.0349 |
|ItemKNNCB| iter: 136/420 | topk: 280 | shrink: 120 | sim type: splus | MAP: 0.0348 |
|ItemKNNCB| iter: 137/420 | topk: 280 | shrink: 140 | sim type: splus | MAP: 0.0348 |
|ItemKNNCB| iter: 138/420 | topk: 280 | shrink: 160 | sim type: splus | MAP: 0.0348 |
|ItemKNNCB| iter: 139/420 | topk: 280 | shrink: 180 | sim type: splus | MAP: 0.0347 |
|ItemKNNCB| iter: 140/420 | topk: 20 | shrink: 0 | sim type: cosine | MAP: 0.0345 |
|ItemKNNCB| iter: 141/420 | topk: 20 | shrink: 20 | sim type: cosine | MAP: 0.0337 |
|ItemKNNCB| iter: 142/420 | topk: 20 | shrink: 40 | sim type: cosine | MAP: 0.0338 |
|ItemKNNCB| iter: 143/420 | topk: 20 | shrink: 60 | sim type: cosine | MAP: 0.0339 |
|ItemKNNCB| iter: 144/420 | topk: 20 | shrink: 80 | sim type: cosine | MAP: 0.0336 |
|ItemKNNCB| iter: 145/420 | topk: 20 | shrink: 100 | sim type: cosine | MAP: 0.0336 |
|ItemKNNCB| iter: 146/420 | topk: 20 | shrink: 120 | sim type: cosine | MAP: 0.0334 |
|ItemKNNCB| iter: 147/420 | topk: 20 | shrink: 140 | sim type: cosine | MAP: 0.0334 |
|ItemKNNCB| iter: 148/420 | topk: 20 | shrink: 160 | sim type: cosine | MAP: 0.0334 |
|ItemKNNCB| iter: 149/420 | topk: 20 | shrink: 180 | sim type: cosine | MAP: 0.0334 |
|ItemKNNCB| iter: 150/420 | topk: 40 | shrink: 0 | sim type: cosine | MAP: 0.0352 |
|ItemKNNCB| iter: 151/420 | topk: 40 | shrink: 20 | sim type: cosine | MAP: 0.0355 |
|ItemKNNCB| iter: 152/420 | topk: 40 | shrink: 40 | sim type: cosine | MAP: 0.0353 |
|ItemKNNCB| iter: 153/420 | topk: 40 | shrink: 60 | sim type: cosine | MAP: 0.0352 |
|ItemKNNCB| iter: 154/420 | topk: 40 | shrink: 80 | sim type: cosine | MAP: 0.0353 |
|ItemKNNCB| iter: 155/420 | topk: 40 | shrink: 100 | sim type: cosine | MAP: 0.0351 |
|ItemKNNCB| iter: 156/420 | topk: 40 | shrink: 120 | sim type: cosine | MAP: 0.0350 |
|ItemKNNCB| iter: 157/420 | topk: 40 | shrink: 140 | sim type: cosine | MAP: 0.0348 |
|ItemKNNCB| iter: 158/420 | topk: 40 | shrink: 160 | sim type: cosine | MAP: 0.0348 |
|ItemKNNCB| iter: 159/420 | topk: 40 | shrink: 180 | sim type: cosine | MAP: 0.0347 |
|ItemKNNCB| iter: 160/420 | topk: 60 | shrink: 0 | sim type: cosine | MAP: 0.0356 |
|ItemKNNCB| iter: 161/420 | topk: 60 | shrink: 20 | sim type: cosine | MAP: 0.0353 |
|ItemKNNCB| iter: 162/420 | topk: 60 | shrink: 40 | sim type: cosine | MAP: 0.0350 |
|ItemKNNCB| iter: 163/420 | topk: 60 | shrink: 60 | sim type: cosine | MAP: 0.0346 |
|ItemKNNCB| iter: 164/420 | topk: 60 | shrink: 80 | sim type: cosine | MAP: 0.0345 |
|ItemKNNCB| iter: 165/420 | topk: 60 | shrink: 100 | sim type: cosine | MAP: 0.0345 |
|ItemKNNCB| iter: 166/420 | topk: 60 | shrink: 120 | sim type: cosine | MAP: 0.0344 |
|ItemKNNCB| iter: 167/420 | topk: 60 | shrink: 140 | sim type: cosine | MAP: 0.0343 |
|ItemKNNCB| iter: 168/420 | topk: 60 | shrink: 160 | sim type: cosine | MAP: 0.0343 |
|ItemKNNCB| iter: 169/420 | topk: 60 | shrink: 180 | sim type: cosine | MAP: 0.0343 |
|ItemKNNCB| iter: 170/420 | topk: 80 | shrink: 0 | sim type: cosine | MAP: 0.0362 |
|ItemKNNCB| iter: 171/420 | topk: 80 | shrink: 20 | sim type: cosine | MAP: 0.0354 |
|ItemKNNCB| iter: 172/420 | topk: 80 | shrink: 40 | sim type: cosine | MAP: 0.0350 |
|ItemKNNCB| iter: 173/420 | topk: 80 | shrink: 60 | sim type: cosine | MAP: 0.0350 |
|ItemKNNCB| iter: 174/420 | topk: 80 | shrink: 80 | sim type: cosine | MAP: 0.0348 |
|ItemKNNCB| iter: 175/420 | topk: 80 | shrink: 100 | sim type: cosine | MAP: 0.0347 |
|ItemKNNCB| iter: 176/420 | topk: 80 | shrink: 120 | sim type: cosine | MAP: 0.0346 |
|ItemKNNCB| iter: 177/420 | topk: 80 | shrink: 140 | sim type: cosine | MAP: 0.0344 |
|ItemKNNCB| iter: 178/420 | topk: 80 | shrink: 160 | sim type: cosine | MAP: 0.0344 |
|ItemKNNCB| iter: 179/420 | topk: 80 | shrink: 180 | sim type: cosine | MAP: 0.0343 |
|ItemKNNCB| iter: 180/420 | topk: 100 | shrink: 0 | sim type: cosine | MAP: 0.0372 |
|ItemKNNCB| iter: 181/420 | topk: 100 | shrink: 20 | sim type: cosine | MAP: 0.0356 |
|ItemKNNCB| iter: 182/420 | topk: 100 | shrink: 40 | sim type: cosine | MAP: 0.0352 |
|ItemKNNCB| iter: 183/420 | topk: 100 | shrink: 60 | sim type: cosine | MAP: 0.0347 |
|ItemKNNCB| iter: 184/420 | topk: 100 | shrink: 80 | sim type: cosine | MAP: 0.0345 |
|ItemKNNCB| iter: 185/420 | topk: 100 | shrink: 100 | sim type: cosine | MAP: 0.0344 |
|ItemKNNCB| iter: 186/420 | topk: 100 | shrink: 120 | sim type: cosine | MAP: 0.0342 |
|ItemKNNCB| iter: 187/420 | topk: 100 | shrink: 140 | sim type: cosine | MAP: 0.0343 |
|ItemKNNCB| iter: 188/420 | topk: 100 | shrink: 160 | sim type: cosine | MAP: 0.0342 |
|ItemKNNCB| iter: 189/420 | topk: 100 | shrink: 180 | sim type: cosine | MAP: 0.0342 |
|ItemKNNCB| iter: 190/420 | topk: 120 | shrink: 0 | sim type: cosine | MAP: 0.0376 |
|ItemKNNCB| iter: 191/420 | topk: 120 | shrink: 20 | sim type: cosine | MAP: 0.0356 |
|ItemKNNCB| iter: 192/420 | topk: 120 | shrink: 40 | sim type: cosine | MAP: 0.0351 |
|ItemKNNCB| iter: 193/420 | topk: 120 | shrink: 60 | sim type: cosine | MAP: 0.0350 |
|ItemKNNCB| iter: 194/420 | topk: 120 | shrink: 80 | sim type: cosine | MAP: 0.0348 |
|ItemKNNCB| iter: 195/420 | topk: 120 | shrink: 100 | sim type: cosine | MAP: 0.0348 |
|ItemKNNCB| iter: 196/420 | topk: 120 | shrink: 120 | sim type: cosine | MAP: 0.0348 |
|ItemKNNCB| iter: 197/420 | topk: 120 | shrink: 140 | sim type: cosine | MAP: 0.0347 |
